frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
50,6.565866,1,1,0.659290,-0.554657,0.362558,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.116834,0.136643,0.191643,0.116834,0.030774,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
52,6.851710,1,2,0.664466,-0.535385,0.366057,0.000000,0.069509,0.069509,0.058141,0.017759,0.066121,0.012005,0.122058,0.145165,0.200165,0.122058,0.034253,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
53,7.002390,1,3,0.664654,-0.538580,0.363388,0.000000,0.038102,0.038102,0.072994,0.012044,0.036101,0.001864,0.117175,0.135743,0.190743,0.117175,0.034572,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
54,7.160010,1,4,0.662927,-0.529552,0.356416,0.010413,0.043588,0.043588,0.045802,0.006073,0.041927,-0.010257,0.122646,0.146227,0.201227,0.122646,0.036363,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
55,7.312225,1,5,0.654536,-0.529981,0.362016,0.000000,0.033311,0.033311,0.079796,-0.006300,0.032702,-0.000719,0.115340,0.145676,0.200676,0.115340,0.043965,0,0,0,0,"speed_ok,valid_streak_not_ready"
56,7.456980,1,6,0.670732,-0.512683,0.367800,0.017207,0.038780,0.038780,0.081426,0.010290,0.037280,0.002862,0.113603,0.141746,0.196746,0.113603,0.034851,0,0,0,0,"speed_ok,valid_streak_not_ready"
57,7.608869,1,7,0.679168,-0.505113,0.368352,0.029912,0.060765,0.060765,0.049272,0.023956,0.055239,0.008193,0.119362,0.149552,0.204552,0.119362,0.021997,0,0,0,0,"speed_ok,valid_streak_not_ready"
58,7.780634,1,8,0.692978,-0.497084,0.373959,0.040110,0.076485,0.076485,0.032678,0.048296,0.052179,0.028194,0.118383,0.144682,0.199682,0.118383,0.015042,0,0,0,0,"speed_ok,valid_streak_not_ready"
59,7.953744,1,9,0.691205,-0.506420,0.374711,0.038137,0.072481,0.072481,0.055163,0.058546,0.037618,0.020269,0.116748,0.140743,0.195743,0.116748,0.010255,0,0,0,0,"speed_ok,valid_streak_not_ready"
60,8.097314,1,10,0.683609,-0.498923,0.369027,0.000000,0.029627,0.029627,0.046019,0.020201,0.021587,0.001925,0.121398,0.141074,0.196074,0.121398,0.021115,0,0,0,0,"speed_ok,valid_streak_not_ready"
