tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.151211956,left_link,medium,0.180553058
0.040000,0.148576649,left_link,medium,0.180871391
0.080000,0.145721627,left_link,medium,0.181189725
0.120000,0.142582061,left_link,medium,0.181508059
0.160000,0.139213618,left_link,medium,0.181826393
0.200000,0.135736182,left_link,medium,0.182144726
0.240000,0.132279988,left_link,medium,0.182463060
0.280000,0.128946116,left_link,medium,0.182781394
0.320000,0.125798340,left_link,medium,0.183099728
0.360000,0.122866133,left_link,medium,0.183418062
0.400000,0.120147065,left_link,medium,0.183736395
0.440000,0.117608008,left_link,medium,0.184054729
0.480000,0.115191407,left_link,medium,0.184373063
0.520000,0.112839153,left_link,medium,0.184691397
0.560000,0.110526460,left_link,medium,0.185009730
0.600000,0.108299073,left_link,medium,0.185328064
0.640000,0.106309321,left_link,medium,0.185646398
0.680000,0.104815171,left_link,medium,0.185964732
0.720000,0.104091638,left_link,medium,0.186283066
0.760000,0.104313098,left_link,medium,0.186601399
0.800000,0.105436036,left_link,medium,0.186919733
0.840000,0.107072255,left_link,medium,0.187238067
0.880000,0.108456476,left_link,medium,0.187556401
0.920000,0.108720246,left_link,medium,0.187874734
0.960000,0.107328798,left_link,medium,0.188193068
1.000000,0.104558808,left_link,medium,0.188511402
