t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.65338212,-0.22351862,1.31501746,-0.03223096,1.57084775,0.65337849,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.65338061,-0.22351760,1.31501831,-0.03223062,1.57084803,0.65337694,-0.00044592,0.00030209,0.00025056,0.00009954,0.00008187,-0.00045765,-0.08633694,0.05824373,0.04883619,0.01913343,0.01547214,-0.08861288
0.020000,0.65337061,-0.22351085,1.31502398,-0.03222841,1.57084981,0.65336667,-0.00167176,0.00112301,0.00095185,0.00036781,0.00029226,-0.00171590,-0.15617935,0.10392944,0.09020949,0.03380840,0.02579052,-0.16031992
0.030000,0.65334511,-0.22349381,1.31503860,-0.03222285,1.57085414,0.65334049,-0.00351843,0.00234210,0.00203120,0.00076207,0.00058222,-0.00361165,-0.21069857,0.13804137,0.12451519,0.04439436,0.03147027,-0.21630945
0.040000,0.65329866,-0.22346306,1.31506563,-0.03221288,1.57086158,0.65329281,-0.00583856,0.00384854,0.00341991,0.00124330,0.00090792,-0.00599366,-0.25106593,0.16156376,0.15214857,0.05126078,0.03302651,-0.25776978
0.050000,0.65322721,-0.22341622,1.31510782,-0.03219781,1.57087229,0.65321947,-0.00849648,0.00554136,0.00505324,0.00177612,0.00123072,-0.00872258,-0.27845279,0.17548082,0.17350490,0.05477709,0.03097436,-0.28588925
0.060000,0.65312802,-0.22335191,1.31516731,-0.03217729,1.57088607,0.65311763,-0.01136825,0.00732942,0.00687040,0.00232890,0.00151710,-0.01167094,-0.29403049,0.18077680,0.18897947,0.05531278,0.02582894,-0.30185619
0.070000,0.65299951,-0.22326959,1.31524565,-0.03215126,1.57090241,0.65298570,-0.01434163,0.00913144,0.00881454,0.00287367,0.00173871,-0.01472316,-0.29897037,0.17843591,0.19896757,0.05323728,0.01810538,-0.30685892
0.080000,0.65284118,-0.22316948,1.31534384,-0.03211992,1.57092055,0.65282317,-0.01731610,0.01087597,0.01083278,0.00338618,0.00187233,-0.01777553,-0.29444377,0.16944239,0.20386446,0.04892005,0.00831879,-0.30208578
0.090000,0.65265348,-0.22305247,1.31546239,-0.03208371,1.57093951,0.65263050,-0.02020285,0.01250139,0.01287618,0.00384583,0.00189992,-0.02073625,-0.28162204,0.15478048,0.20406543,0.04273056,-0.00301570,-0.28872509
0.100000,0.65243768,-0.22292002,1.31560130,-0.03204324,1.57095815,0.65240902,-0.02292479,0.01395596,0.01489976,0.00423578,0.00180857,-0.02352537,-0.26167652,0.13543439,0.19996577,0.03503825,-0.01538298,-0.26796518
0.110000,0.65219576,-0.22277406,1.31576018,-0.03199927,1.57097526,0.65216079,-0.02541654,0.01519775,0.01686248,0.00454282,0.00159054,-0.02607485,-0.23577855,0.11238837,0.19196076,0.02621258,-0.02826791,-0.24099438
0.120000,0.65193029,-0.22261688,1.31593822,-0.03195269,1.57098953,0.65188851,-0.02762443,0.01619468,0.01872727,0.00475748,0.00124321,-0.02832852,-0.20509948,0.08662664,0.18044566,0.01662301,-0.04115539,-0.20900101
0.130000,0.65164435,-0.22245106,1.31613429,-0.03190445,1.57099970,0.65159536,-0.02950650,0.01692451,0.02046101,0.00487397,0.00076914,-0.03024209,-0.17081065,0.05913343,0.16581578,0.00663899,-0.05353028,-0.17317340
0.140000,0.65134135,-0.22227932,1.31634691,-0.03185555,1.57100452,0.65128491,-0.03103251,0.01737485,0.02203452,0.00489018,0.00017603,-0.03178316,-0.13408341,0.03089297,0.14846638,-0.00337001,-0.06487748,-0.13469989
0.150000,0.65102495,-0.22210450,1.31657436,-0.03180698,1.57100286,0.65096100,-0.03218394,0.01754316,0.02342259,0.00480772,-0.00052327,-0.03293123,-0.09608909,0.00288949,0.12879275,-0.01303455,-0.07468185,-0.09476880
0.160000,0.65069895,-0.22192938,1.31681467,-0.03175971,1.57099376,0.65062763,-0.03295398,0.01743671,0.02460395,0.00463187,-0.00131075,-0.03367764,-0.05799905,-0.02389278,0.10719017,-0.02198517,-0.08242827,-0.05456845
