tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.151211956,left_link,medium,0.180553058
0.040000,0.148568640,left_link,medium,0.180871391
0.080000,0.145677778,left_link,medium,0.181189725
0.120000,0.142490591,left_link,medium,0.181508059
0.160000,0.139102768,left_link,medium,0.181826393
0.200000,0.135671429,left_link,medium,0.182144726
0.240000,0.132334281,left_link,medium,0.182463060
0.280000,0.129153947,left_link,medium,0.182781394
0.320000,0.126122222,left_link,medium,0.183099728
0.360000,0.123187113,left_link,medium,0.183418062
0.400000,0.120280125,left_link,medium,0.183736395
0.440000,0.117342786,left_link,medium,0.184054729
0.480000,0.114345221,left_link,medium,0.184373063
0.520000,0.111285322,left_link,medium,0.184691397
0.560000,0.108180390,left_link,medium,0.185009730
0.600000,0.105058604,left_link,medium,0.185328064
0.640000,0.101950715,left_link,medium,0.185646398
0.680000,0.098882966,left_link,medium,0.185964732
0.720000,0.095872768,left_link,medium,0.186283066
0.760000,0.092925462,left_link,medium,0.186601399
0.800000,0.090031170,left_link,medium,0.186919733
0.840000,0.087161890,left_link,medium,0.187238067
0.880000,0.084274280,left_link,medium,0.187556401
0.920000,0.081326667,left_link,medium,0.187874734
0.960000,0.078301362,left_link,medium,0.188193068
1.000000,0.075065684,left_link,medium,0.188511402
