frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
39,5.144071,0,1,0,82,0.615670,-0.647864,0.319779,0.128540,0.215249,0.082452,0.216953,
61,8.014449,0,1,0,105,0.645111,-0.598393,0.350915,0.113484,0.182876,0.093721,0.206801,
64,8.414107,0,1,0,118,0.655017,-0.584859,0.355333,0.119426,0.171748,0.132826,0.216828,
65,8.574289,0,1,0,158,0.643233,-0.586030,0.358683,0.120173,0.199560,0.137871,0.218995,0.077014
67,8.854483,0,1,0,127,0.653606,-0.584534,0.360282,0.117902,0.156847,0.136258,0.214772,
69,9.149501,0,1,0,142,0.655046,-0.578005,0.356611,0.119022,0.179761,0.134020,0.207855,
70,9.318693,0,1,0,138,0.661067,-0.578702,0.355427,0.119437,0.142693,0.133319,0.203960,0.035640
71,9.475950,0,1,0,151,0.658469,-0.571688,0.361814,0.112968,0.171599,0.147334,0.208851,0.062781
72,9.645196,0,1,0,165,0.655290,-0.564459,0.353417,0.125382,0.218716,0.150332,0.221896,0.069686
73,9.815367,0,1,0,175,0.661577,-0.560022,0.356295,0.124808,0.169018,0.153906,0.218366,0.046621
74,9.989596,0,1,0,188,0.658420,-0.558376,0.374200,0.117785,0.179082,0.153257,0.204793,0.110756
75,10.151178,0,1,0,182,0.662987,-0.554968,0.364681,0.127746,0.173320,0.181177,0.205291,0.066968
76,10.297758,0,1,0,221,0.663547,-0.550110,0.367986,0.130777,0.167607,0.200939,0.219243,0.039071
77,10.459311,0,1,0,230,0.661137,-0.551950,0.363835,0.138767,0.177350,0.217289,0.209360,0.033479
78,10.604513,0,1,0,241,0.665131,-0.542871,0.367572,0.135476,0.163483,0.236907,0.216373,0.070944
79,10.767815,0,1,0,254,0.665418,-0.542080,0.372565,0.131346,0.160914,0.247679,0.212971,0.030712
80,10.926806,0,1,0,263,0.661340,-0.527628,0.373861,0.132134,0.165436,0.234297,0.213648,0.097238
81,11.082519,0,1,0,249,0.663973,-0.523327,0.376504,0.131097,0.156821,0.243818,0.211162,0.035369
82,11.237381,0,1,0,266,0.665339,-0.516874,0.376865,0.128442,0.147946,0.234282,0.207750,0.042795
83,11.389770,0,1,0,259,0.664211,-0.510332,0.371519,0.129189,0.153664,0.247250,0.207378,0.054630
84,11.549702,0,1,0,253,0.662714,-0.506659,0.367965,0.130379,0.168142,0.253732,0.213963,0.033962
85,11.702497,0,1,0,273,0.661558,-0.497968,0.375910,0.131127,0.163599,0.252729,0.215071,0.076792
86,11.857230,0,1,0,269,0.662373,-0.479515,0.375617,0.126994,0.156619,0.228160,0.214413,0.119424
87,12.016108,0,1,0,250,0.662799,-0.473872,0.374134,0.125948,0.169454,0.227957,0.201948,0.037030
88,12.177993,0,1,0,248,0.660842,-0.463411,0.383107,0.127332,0.153146,0.225760,0.201003,0.086839
89,12.336134,0,1,0,268,0.661513,-0.466792,0.378168,0.131924,0.161251,0.247531,0.204849,0.037528
90,12.512204,0,1,0,253,0.659051,-0.445348,0.372632,0.131221,0.164381,0.252183,0.209254,0.128848
91,12.676629,0,1,0,303,0.656863,-0.440193,0.370273,0.135862,0.154216,0.271804,0.207857,0.037734
92,12.845753,0,1,0,252,0.661230,-0.428338,0.372941,0.126780,0.156582,0.216494,0.211575,0.075009
