frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.091586,1786344737.628534,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,91.6871,0.86976278,-0.42914096,1.02376497,-0.11806282,1.57097614,0.86977017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.188257,1786344737.720265,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,96.6185,0.86973715,-0.42909694,1.02382362,-0.11804448,1.57097614,0.86974078,-0.00026513,0.00045534,0.00060670,0.00018967,0.00000000,-0.00030397
2,0.283243,1786344737.816927,2511,50000,1,0,0,0.416733,upperArm_Link,0,0.603732,-0.557522,0.382763,,,,SAFE,SAFE,,154.1870,0.86950237,-0.42877045,1.02446926,-0.11793811,1.57097614,0.86958677,-0.00247177,0.00343719,0.00679720,0.00111987,0.00000000,-0.00162149
3,0.424412,1786344737.971133,2644,50000,1,0,0,0.407164,upperArm_Link,0,0.602017,-0.548966,0.387393,,,,SAFE,SAFE,,132.1981,0.86863309,-0.42743528,1.02648664,-0.11716048,1.57097614,0.86858904,-0.00615771,0.00945801,0.01429057,0.00550848,0.00000000,-0.00706760
4,0.555386,1786344738.103351,2592,50000,1,1,1,0.427159,upperArm_Link,0,0.604220,-0.555448,0.387817,0.353856,upperArm_Link,0.000,SAFE,SAFE,0.012025,131.1204,0.86736029,-0.42551690,1.02933300,-0.11610775,1.57097614,0.86734188,-0.00971794,0.01464699,0.02173225,0.00803770,0.00000000,-0.00952225
5,0.690231,1786344738.234490,2687,50000,1,1,1,0.414695,upperArm_Link,0,0.598897,-0.557636,0.393112,0.330231,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.7342,0.86581969,-0.42325377,1.03277361,-0.11485696,1.57097614,0.86584169,-0.01142494,0.01678313,0.02551527,0.00927577,0.00000000,-0.01112525
6,0.820092,1786344738.367243,2676,50000,1,1,1,0.426289,upperArm_Link,0,0.599856,-0.550370,0.400205,0.351802,upperArm_Link,0.000,SAFE,SAFE,0.000000,126.0390,0.86431950,-0.42107862,1.03621066,-0.11370888,1.57097614,0.86434144,-0.01155228,0.01674986,0.02646710,0.00884086,0.00000000,-0.01155274
7,0.945125,1786344738.493315,2669,50000,1,1,1,0.423764,upperArm_Link,0,0.600756,-0.551280,0.394781,0.349862,upperArm_Link,0.000,SAFE,SAFE,0.000000,117.5687,0.86290729,-0.41900983,1.03937972,-0.11264514,1.57097614,0.86290729,-0.01129470,0.01654590,0.02534573,0.00850761,0.00000000,-0.01147012
8,1.062841,1786344738.610890,2544,50000,1,1,1,0.426372,upperArm_Link,0,0.603578,-0.554236,0.386126,0.324885,upperArm_Link,0.000,SAFE,SAFE,0.000000,125.2576,0.86153907,-0.41699976,1.04238391,-0.11160342,1.57097614,0.86152077,-0.01162308,0.01707562,0.02552064,0.00884946,0.00000000,-0.01177852
9,1.199078,1786344738.736167,2603,50000,1,1,1,0.411498,upperArm_Link,0,0.600589,-0.555869,0.390085,0.343327,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.8916,0.85996181,-0.41479895,1.04581714,-0.11040031,1.57097614,0.85997289,-0.01157736,0.01615436,0.02520052,0.00883101,0.00000000,-0.01136167
