t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.00000000,-0.17364444,1.36866605,-0.02070602,1.57079637,0.00000000,0.00000000,-0.18213872,-0.19985809,-0.01709009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.00000000,-0.17546615,1.36666711,-0.02087695,1.57079637,0.00000000,0.00000000,-0.18223472,-0.19996342,-0.01709910,0.00000000,0.00000000,0.00000000,-0.01812028,-0.01988311,-0.00170023,0.00000000,0.00000000
0.020000,0.00000000,-0.17728963,1.36466624,-0.02104805,1.57079637,0.00000000,0.00000000,-0.18248061,-0.20023323,-0.01712217,0.00000000,0.00000000,0.00000000,-0.03008462,-0.03301140,-0.00282284,0.00000000,0.00000000
0.030000,0.00000000,-0.17911607,1.36266211,-0.02121942,1.57079637,0.00000000,0.00000000,-0.18281797,-0.20060342,-0.01715382,-0.00000000,0.00000000,0.00000000,-0.03651790,-0.04007054,-0.00342648,-0.00000000,0.00000000
0.040000,0.00000000,-0.18094612,1.36065403,-0.02139114,1.57079637,0.00000000,0.00000000,-0.18319461,-0.20101670,-0.01718916,-0.00000000,0.00000000,0.00000000,-0.03804499,-0.04174620,-0.00356976,0.00000000,0.00000000
0.050000,0.00000000,-0.18277994,1.35864180,-0.02156320,1.57079637,0.00000000,0.00000000,-0.18356460,-0.20142268,-0.01722388,-0.00000000,0.00000000,0.00000000,-0.03529078,-0.03872405,-0.00331134,0.00000000,0.00000000
0.060000,0.00000000,-0.18461726,1.35662574,-0.02173560,1.57079637,0.00000000,0.00000000,-0.18388824,-0.20177781,-0.01725425,0.00000000,0.00000000,0.00000000,-0.02888014,-0.03168974,-0.00270983,0.00000000,0.00000000
0.070000,0.00000000,-0.18645744,1.35460654,-0.02190826,1.57079637,0.00000000,0.00000000,-0.18413210,-0.20204539,-0.01727713,-0.00000000,0.00000000,0.00000000,-0.01943794,-0.02132896,-0.00182386,0.00000000,0.00000000
0.080000,0.00000000,-0.18829954,1.35258523,-0.02208111,1.57079637,0.00000000,0.00000000,-0.18426898,-0.20219558,-0.01728997,0.00000000,0.00000000,0.00000000,-0.00758907,-0.00832737,-0.00071208,0.00000000,0.00000000
0.090000,0.00000000,-0.19014239,1.35056310,-0.02225402,1.57079637,0.00000000,0.00000000,-0.18427794,-0.20220542,-0.01729081,0.00000000,0.00000000,0.00000000,0.00604161,0.00662937,0.00056688,0.00000000,0.00000000
0.100000,0.00000000,-0.19198463,1.34854164,-0.02242688,1.57079637,0.00000000,0.00000000,-0.18414429,-0.20205876,-0.01727827,-0.00000000,0.00000000,0.00000000,0.02082921,0.02285558,0.00195441,0.00000000,0.00000000
0.110000,0.00000000,-0.19382477,1.34652247,-0.02259954,1.57079637,0.00000000,0.00000000,-0.18385958,-0.20174636,-0.01725156,-0.00000000,0.00000000,0.00000000,0.03614886,0.03966561,0.00339185,0.00000000,0.00000000
0.120000,0.00000000,-0.19566131,1.34450727,-0.02277186,1.57079637,0.00000000,0.00000000,-0.18342162,-0.20126579,-0.01721046,0.00000000,0.00000000,0.00000000,0.05137569,0.05637377,0.00482058,0.00000000,0.00000000
0.130000,0.00000000,-0.19749271,1.34249771,-0.02294370,1.57079637,0.00000000,0.00000000,-0.18283446,-0.20062151,-0.01715537,0.00000000,0.00000000,0.00000000,0.06588481,0.07229441,0.00618198,0.00000000,0.00000000
0.140000,0.00000000,-0.19931753,1.34049535,-0.02311493,1.57079637,0.00000000,0.00000000,-0.18210840,-0.19982481,-0.01708724,0.00000000,0.00000000,0.00000000,0.07905135,0.08674186,0.00741739,0.00000000,0.00000000
0.150000,0.00000000,-0.20113447,1.33850166,-0.02328541,1.57079637,0.00000000,0.00000000,-0.18125999,-0.19889387,-0.01700764,0.00000000,0.00000000,0.00000000,0.09025044,0.09903045,0.00846820,0.00000000,0.00000000
0.160000,0.00000000,-0.20294240,1.33651784,-0.02345505,1.57079637,0.00000000,0.00000000,-0.18031203,-0.19785369,-0.01691869,-0.00000000,0.00000000,0.00000000,0.09885719,0.10847451,0.00927578,0.00000000,0.00000000
0.170000,0.00000000,-0.20474047,1.33454484,-0.02362376,1.57079637,0.00000000,0.00000000,-0.17929357,-0.19673615,-0.01682313,0.00000000,0.00000000,0.00000000,0.10424673,0.11438838,0.00978148,0.00000000,0.00000000
0.180000,0.00000000,-0.20652815,1.33258325,-0.02379150,1.57079637,0.00000000,0.00000000,-0.17823990,-0.19557997,-0.01672426,-0.00000000,0.00000000,0.00000000,0.10579419,0.11608638,0.00992668,0.00000000,0.00000000
0.190000,0.00000000,-0.20830529,1.33063322,-0.02395825,1.57079637,0.00000000,0.00000000,-0.17719258,-0.19443076,-0.01662599,-0.00000000,0.00000000,0.00000000,0.10287469,0.11288285,0.00965274,0.00000000,0.00000000
0.200000,0.00000000,-0.21007218,1.32869444,-0.02412404,1.57079637,0.00000000,0.00000000,-0.17619938,-0.19334094,-0.01653280,-0.00000000,0.00000000,0.00000000,0.09486335,0.10409213,0.00890103,0.00000000,0.00000000
