frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.095704,1786347101.633383,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,96.0716,0.00000000,0.00000367,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.198841,1786347101.729499,3085,50000,2,0,0,0.397797,upperArm_Link,0,-0.071449,-0.818891,0.430829,,,,SAFE,SAFE,,0.000000,0.397560,,0,1.000000,SAFE,current,50000,202.6435,0.00000000,0.00000000,1.57080364,-0.00000367,1.57079637,0.00000000,0.00000000,-0.00003556,0.00003468,-0.00003556,0.00000000,0.00000000
2,0.377865,1786347101.932173,2734,50000,1,0,0,0.521462,right_link,0,0.640548,0.399331,0.199216,,,,SAFE,SAFE,,0.000000,0.533481,,0,1.000000,SAFE,current,50000,149.9529,0.00000000,-0.00309948,1.56777394,-0.00204309,1.57079637,0.00000000,0.00000000,-0.01731324,-0.01692347,-0.01139191,0.00000000,0.00000000
3,0.528682,1786347102.082155,2674,50000,1,1,1,0.504074,right_link,0,0.634371,0.395879,0.194075,0.463941,right_link,0.000,SAFE,SAFE,0.000000,0.000000,0.515937,,0,1.000000,SAFE,current,50000,146.6775,0.00000000,-0.01470879,1.55601776,-0.00505821,1.57079637,0.00000000,0.00000000,-0.07697618,-0.07795003,-0.01999192,0.00000000,0.00000000
4,0.676487,1786347102.228851,2687,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,129.8837,0.00000000,-0.03480225,1.53590977,-0.00769185,1.57079637,0.00000000,0.00000000,-0.13594491,-0.13604319,-0.01781826,0.00000000,0.00000000
5,0.828798,1786347102.358755,2667,50000,1,0,0,0.491996,right_link,0,0.632478,0.402904,0.192794,,,,SAFE,SAFE,,0.000000,0.505161,,0,1.000000,SAFE,current,50000,154.6951,0.00000000,-0.06390438,1.50438666,-0.01061527,1.57079637,0.00000000,0.00000000,-0.19107067,-0.20696565,-0.01919376,0.00000000,0.00000000
6,0.975466,1786347102.513479,2713,50000,1,0,0,0.490413,right_link,0,0.638476,0.386062,0.202169,,,,SAFE,SAFE,,0.000000,0.503583,,0,1.000000,SAFE,current,50000,153.1423,0.00000000,-0.09322293,1.46739829,-0.01326359,1.57079637,0.00000000,0.00000000,-0.19989812,-0.25219212,-0.01805661,0.00000000,0.00000000
7,1.111785,1786347102.666639,2622,50000,1,1,1,0.487499,right_link,0,0.640433,0.406736,0.204948,0.456814,right_link,0.000,SAFE,SAFE,0.013266,0.000000,0.501168,,0,1.000000,SAFE,current,50000,151.9225,0.00000000,-0.12063777,1.43082070,-0.01576152,1.57079637,0.00000000,0.00000000,-0.20110723,-0.26832239,-0.01832406,0.00000000,0.00000000
8,1.267784,1786347102.818599,2619,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,133.8997,0.00000000,-0.15204343,1.39194322,-0.01864092,1.57079637,0.00000000,0.00000000,-0.20132037,-0.24921721,-0.01845789,0.00000000,0.00000000
9,1.401811,1786347102.952516,2644,50000,1,0,0,0.481945,right_link,0,0.637592,0.400751,0.198465,,,,SAFE,SAFE,,0.000000,0.496649,,0,1.000000,SAFE,current,50000,146.7521,0.00000000,-0.17704104,1.36521065,-0.02108016,1.57079637,0.00000000,0.00000000,-0.18651116,-0.19945595,-0.01819956,0.00000000,0.00000000
