frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.095257,1786348102.469364,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,95.6271,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.196099,1786348102.565025,2598,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,153.6056,0.00000000,0.00001467,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00014550,0.00003546,0.00000000,0.00000000,0.00000000
2,0.327939,1786348102.718660,2695,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,121.1306,0.00000000,-0.00112608,1.56973624,-0.00088033,1.57079637,0.00000000,0.00000000,-0.00865262,-0.00809621,-0.00667726,0.00000000,0.00000000
3,0.455698,1786348102.839810,2635,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.2027,0.00000000,-0.00706829,1.56370604,-0.00343694,1.57079637,0.00000000,0.00000000,-0.04651109,-0.04719986,-0.02001125,0.00000000,0.00000000
4,0.593937,1786348102.976033,2613,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.4902,0.00000000,-0.02061065,1.55009019,-0.00595321,1.57079637,0.00000000,0.00000000,-0.09796278,-0.09849437,-0.01820218,0.00000000,0.00000000
5,0.716219,1786348103.101554,2629,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.1308,0.00000000,-0.03992648,1.53055072,-0.00825306,1.57079637,0.00000000,0.00000000,-0.15796144,-0.15979033,-0.01880779,0.00000000,0.00000000
6,0.845325,1786348103.237704,2680,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.9973,0.00000000,-0.06485807,1.50311387,-0.01070697,1.57079637,0.00000000,0.00000000,-0.19311047,-0.21251529,-0.01900705,0.00000000,0.00000000
7,0.975262,1786348103.366735,2653,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.5827,0.00000000,-0.09113583,1.47005403,-0.01306918,1.57079637,0.00000000,0.00000000,-0.20223344,-0.25442826,-0.01817955,0.00000000,0.00000000
8,1.105399,1786348103.495347,2797,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.7308,0.00000000,-0.11753829,1.43480051,-0.01547174,1.57079637,0.00000000,0.00000000,-0.20288243,-0.27089602,-0.01846180,0.00000000,0.00000000
9,1.239930,1786348103.630097,2702,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8142,0.00000000,-0.14493112,1.40004587,-0.01801369,1.57079637,0.00000000,0.00000000,-0.20361820,-0.25834040,-0.01889494,0.00000000,0.00000000
10,1.376710,1786348103.760940,2691,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.3945,0.00000000,-0.17095213,1.37135458,-0.02042725,1.57079637,0.00000000,0.00000000,-0.19023864,-0.20976102,-0.01764548,0.00000000,0.00000000
11,1.506459,1786348103.894366,2572,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.8681,0.00000000,-0.19096488,1.35123551,-0.02290317,1.57079637,0.00000000,0.00000000,-0.15424274,-0.15506217,-0.01908245,0.00000000,0.00000000
12,1.636648,1786348104.027259,2686,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.7475,0.00000000,-0.20365258,1.33853316,-0.02525437,1.57079637,0.00000000,0.00000000,-0.09745567,-0.09756818,-0.01805990,0.00000000,0.00000000
