frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092134,1786351462.245448,0,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,92.5381,0.00000000,0.00000367,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.196634,1786351462.338027,2701,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,154.2987,0.00000000,-0.00000367,1.57080364,-0.00000734,1.57079637,0.00000000,0.00000000,-0.00007020,0.00003422,-0.00007020,0.00000000,0.00000000
2,0.327431,1786351462.492356,2605,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.4166,0.00000000,-0.00162494,1.56942081,-0.00118111,1.57079637,0.00000000,0.00000000,-0.01239532,-0.01057233,-0.00897398,0.00000000,0.00000000
3,0.457854,1786351462.623796,2596,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.6968,0.00000000,-0.00819437,1.56258726,-0.00374872,1.57079637,0.00000000,0.00000000,-0.05037043,-0.05239550,-0.01968693,0.00000000,0.00000000
4,0.592074,1786351462.752512,2713,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.2647,0.00000000,-0.02261339,1.54811323,-0.00620997,1.57079637,0.00000000,0.00000000,-0.10742815,-0.10783806,-0.01833739,0.00000000,0.00000000
5,0.714130,1786351462.880807,2608,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.9639,0.00000000,-0.04171648,1.52872765,-0.00845114,1.57079637,0.00000000,0.00000000,-0.15651127,-0.15882566,-0.01836183,0.00000000,0.00000000
6,0.842287,1786351463.012801,2615,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.4286,0.00000000,-0.06686448,1.50076997,-0.01089404,1.57079637,0.00000000,0.00000000,-0.19622735,-0.21815098,-0.01906176,0.00000000,0.00000000
7,0.973396,1786351463.140249,2619,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.9402,0.00000000,-0.09317891,1.46741295,-0.01325625,1.57079637,0.00000000,0.00000000,-0.20070680,-0.25442244,-0.01801717,0.00000000,0.00000000
8,1.103812,1786351463.268219,2690,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.0723,0.00000000,-0.11957038,1.43218160,-0.01566982,1.57079637,0.00000000,0.00000000,-0.20236406,-0.27014637,-0.01850668,0.00000000,0.00000000
9,1.232227,1786351463.398326,2676,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.5179,0.00000000,-0.14595084,1.39880621,-0.01812006,1.57079637,0.00000000,0.00000000,-0.20543138,-0.25990266,-0.01908065,0.00000000,0.00000000
10,1.365334,1786351463.530874,2605,50000,2,0,0,0.341020,left_link,0,0.624803,-0.624862,0.345429,,,,,no_stable_track,SAFE,SAFE,,0.000000,0.355487,,0,1.000000,SAFE,1,current,50000,135.0204,0.00000000,-0.17185079,1.37040091,-0.02052995,1.57079637,0.00000000,0.00000000,-0.19457911,-0.21340120,-0.01810488,0.00000000,0.00000000
11,1.499958,1786351463.665915,2614,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.7731,0.00000000,-0.19221200,1.34997368,-0.02309391,1.57079637,0.00000000,0.00000000,-0.15124491,-0.15173525,-0.01904526,0.00000000,0.00000000
12,1.631368,1786351463.796707,2597,50000,2,0,0,0.352302,left_link,0,0.620199,-0.622860,0.345087,,,,,no_stable_track,SAFE,SAFE,,0.000000,0.363458,,0,1.000000,SAFE,1,current,50000,145.7941,0.00000000,-0.20432016,1.33788025,-0.02542677,1.57079637,0.00000000,0.00000000,-0.09214065,-0.09202850,-0.01775262,0.00000000,0.00000000
13,1.774144,1786351463.942520,2596,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.3089,0.00000000,-0.20949209,1.33269000,-0.02789902,1.57079637,0.00000000,0.00000000,-0.03622401,-0.03635238,-0.01731558,0.00000000,0.00000000
14,1.904596,1786351464.070863,2719,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.3147,0.00000000,-0.21018900,1.33210683,-0.02857394,1.57079637,0.00000000,0.00000000,-0.00534230,-0.00447040,-0.00517369,0.00000000,0.00000000
15,2.039651,1786351464.202208,2687,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.8605,0.00000000,-0.21020734,1.33205533,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00013582,-0.00038131,-0.00008148,0.00000000,0.00000000
16,2.165741,1786351464.334098,2498,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.9547,0.00081797,-0.21101432,1.33121538,-0.02942125,1.57079637,0.00074461,0.00648719,-0.00639997,-0.00666150,-0.00663265,0.00000000,0.00590538
17,2.294452,1786351464.462073,2687,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.4235,0.00548370,-0.21553700,1.32650208,-0.03251707,1.57079637,0.00551305,0.03624964,-0.03513824,-0.03661919,-0.02405243,0.00000000,0.03704759
