frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.103945,1786367574.628675,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,105.2956,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.208932,1786367574.734000,2595,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,155.7916,0.00000000,0.00000367,1.57080007,-0.00000367,1.57079256,0.00000000,0.00000000,0.00003494,0.00000000,-0.00003494,-0.00003633,0.00000000
2,0.339614,1786367574.889823,2691,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8715,0.00000000,-0.00153690,1.56954920,-0.00103072,1.57079637,0.00000000,0.00000000,-0.01178869,-0.00957180,-0.00785913,0.00002919,0.00000000
3,0.476887,1786367575.018698,2597,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8359,0.00000000,-0.00859052,1.56216538,-0.00382575,1.57079637,0.00000000,0.00000000,-0.05138398,-0.05378944,-0.02036120,0.00000000,0.00000000
4,0.597388,1786367575.146551,2672,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.1032,0.00000000,-0.02127089,1.54944837,-0.00604491,1.57079637,0.00000000,0.00000000,-0.10522968,-0.10553372,-0.01841596,0.00000000,0.00000000
5,0.725481,1786367575.274673,2670,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.9112,0.00000000,-0.04083249,1.52961171,-0.00835210,1.57079637,0.00000000,0.00000000,-0.15271511,-0.15486254,-0.01801196,0.00000000,0.00000000
6,0.853669,1786367575.404626,2642,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.5532,0.00000000,-0.06586678,1.50195479,-0.01079868,1.57079637,0.00000000,0.00000000,-0.19529226,-0.21575129,-0.01908571,0.00000000,0.00000000
7,0.984331,1786367575.534207,2734,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.2288,0.00000000,-0.09220322,1.46867847,-0.01316455,1.57079256,0.00000000,0.00000000,-0.20156262,-0.25467613,-0.01810695,-0.00002920,0.00000000
8,1.112654,1786367575.664463,2652,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.1650,0.00000000,-0.11855434,1.43343961,-0.01556344,1.57079637,0.00000000,0.00000000,-0.20535017,-0.27461099,-0.01869417,0.00002973,0.00000000
9,1.244767,1786367575.792647,2698,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,122.8178,0.00000000,-0.14494947,1.40004957,-0.01801735,1.57079256,0.00000000,0.00000000,-0.19979168,-0.25273806,-0.01857430,-0.00002887,0.00000000
