frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
89,11.668598,0,1,0,268,0.823680,-0.217101,0.416248,0.142891,0.107297,0.220561,0.253787,
90,11.832462,0,1,0,238,0.819415,-0.220352,0.423094,0.145575,0.100919,0.212356,0.254380,0.053968
91,11.995127,0,1,0,250,0.821412,-0.221684,0.414235,0.141568,0.104620,0.215867,0.249597,0.056258
92,12.162382,0,1,0,256,0.815468,-0.223404,0.420642,0.143876,0.106538,0.220700,0.245909,0.053136
93,12.315145,0,1,0,257,0.813576,-0.223722,0.417443,0.145548,0.096355,0.216588,0.255087,0.023680
94,12.473914,0,1,0,232,0.813437,-0.224703,0.408213,0.146223,0.112761,0.214362,0.253491,0.060612
95,12.623040,0,1,0,268,0.812469,-0.221729,0.412331,0.141965,0.110863,0.208352,0.256979,0.033111
96,12.798802,0,1,0,222,0.807638,-0.222068,0.422411,0.134662,0.096704,0.210668,0.248520,0.064863
97,12.957313,0,1,0,249,0.803442,-0.219203,0.422118,0.137379,0.107016,0.208824,0.240192,0.033173
98,13.113159,0,1,0,232,0.799436,-0.223963,0.418335,0.138000,0.095384,0.211868,0.245912,0.045156
99,13.272963,0,1,0,250,0.795518,-0.221352,0.414026,0.145452,0.098431,0.223327,0.256378,0.041029
100,13.425396,0,1,0,255,0.789002,-0.231810,0.414526,0.141403,0.124693,0.223105,0.260812,0.079213
101,13.588431,0,1,0,270,0.785754,-0.226036,0.415368,0.140521,0.097639,0.223486,0.271548,0.042585
102,13.746258,0,1,0,240,0.777621,-0.229289,0.418096,0.142761,0.124420,0.218138,0.246994,0.055616
103,13.902433,0,1,0,230,0.776372,-0.222000,0.421556,0.140685,0.097057,0.216154,0.256437,0.052342
104,14.051581,0,1,0,270,0.770863,-0.229614,0.410776,0.140578,0.106575,0.222549,0.252491,0.095770
105,14.217982,0,1,0,257,0.767408,-0.227639,0.405366,0.144755,0.119377,0.227180,0.255171,0.042768
106,14.373491,0,1,0,266,0.763479,-0.229884,0.411572,0.140138,0.113917,0.216712,0.245832,0.046318
107,14.527888,0,1,0,261,0.758342,-0.232124,0.414110,0.144696,0.108989,0.215223,0.261128,0.040084
108,14.680381,0,1,0,296,0.751550,-0.228407,0.405168,0.148542,0.152137,0.237240,0.275844,0.077267
109,14.859013,0,1,0,250,0.746612,-0.224411,0.408670,0.140046,0.098281,0.219930,0.256901,0.042979
110,15.015259,0,1,0,263,0.740590,-0.224553,0.419114,0.140084,0.102689,0.220354,0.243521,0.073488
111,15.171274,0,1,0,266,0.738546,-0.228277,0.403940,0.145793,0.118532,0.233159,0.268378,0.099472
112,15.326126,0,1,0,255,0.732785,-0.229294,0.411481,0.140257,0.097797,0.227707,0.247926,0.061373
113,15.488858,0,1,0,256,0.729406,-0.226942,0.411730,0.139342,0.095494,0.220105,0.258303,0.025929
114,15.651422,0,1,0,277,0.724998,-0.228541,0.412209,0.143051,0.108558,0.228978,0.257932,0.028610
115,15.816547,0,1,0,261,0.725187,-0.225286,0.411578,0.141665,0.095499,0.217521,0.249176,0.020397
116,15.968664,0,1,0,247,0.719797,-0.230308,0.410608,0.141672,0.104276,0.219807,0.246839,0.048832
117,16.122690,0,1,0,257,0.718451,-0.222984,0.407121,0.141096,0.099728,0.215057,0.241904,0.052688
118,16.290441,0,1,0,277,0.713366,-0.228941,0.406258,0.141173,0.122071,0.224839,0.255528,0.047317
119,16.454353,0,1,0,244,0.715931,-0.226364,0.410240,0.138328,0.094014,0.211049,0.250315,0.033072
120,16.606416,0,1,0,265,0.711821,-0.226201,0.413162,0.142363,0.135296,0.221597,0.252185,0.032754
121,16.767587,0,1,0,259,0.705131,-0.232888,0.401523,0.147279,0.118765,0.229638,0.262323,0.092734
122,16.919647,0,1,0,252,0.705519,-0.227489,0.399111,0.145092,0.110008,0.227474,0.258360,0.038962
123,17.079271,0,1,0,262,0.702568,-0.227759,0.411101,0.134590,0.110878,0.212931,0.252606,0.077198
124,17.230281,0,1,0,246,0.699824,-0.233017,0.408908,0.140864,0.112808,0.220344,0.253154,0.042047
125,17.386887,0,1,0,265,0.695933,-0.226843,0.404127,0.141201,0.104377,0.217880,0.247294,0.056648
126,17.553353,0,1,0,275,0.692353,-0.231897,0.396575,0.148226,0.115460,0.231655,0.259309,0.058431
127,17.705925,0,1,0,270,0.694282,-0.229548,0.407310,0.141539,0.114639,0.227643,0.251230,0.071628
128,17.868591,0,1,0,275,0.692518,-0.227963,0.396623,0.148902,0.116989,0.220500,0.261896,0.067665
129,18.022111,0,1,0,269,0.688813,-0.232348,0.402718,0.141876,0.112012,0.219061,0.253604,0.054731
130,18.174518,0,1,0,282,0.688000,-0.228679,0.406584,0.139852,0.093422,0.214706,0.255693,0.035096
131,18.320947,0,1,0,256,0.682212,-0.228541,0.406640,0.139825,0.101482,0.215764,0.252781,0.039899
132,18.487084,0,1,0,267,0.682649,-0.233833,0.394742,0.143611,0.096503,0.218194,0.255439,0.082939
