tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.172595195,upperArm_Link,medium,0.243148898
0.040000,0.169762549,upperArm_Link,medium,0.243492518
0.080000,0.167092970,upperArm_Link,medium,0.243836138
0.120000,0.164649720,upperArm_Link,medium,0.244179758
0.160000,0.162420110,upperArm_Link,medium,0.244523378
0.200000,0.160340830,upperArm_Link,medium,0.244866998
0.240000,0.158322212,upperArm_Link,medium,0.245210619
0.280000,0.156272245,upperArm_Link,medium,0.245554239
0.320000,0.154111073,upperArm_Link,medium,0.245897859
0.360000,0.151780826,upperArm_Link,medium,0.246241479
0.400000,0.149254261,upperArm_Link,medium,0.246585099
0.440000,0.146541559,upperArm_Link,medium,0.246928719
0.480000,0.143690430,upperArm_Link,medium,0.247272339
0.520000,0.140772156,upperArm_Link,medium,0.247615959
0.560000,0.137862460,upperArm_Link,medium,0.247959579
0.600000,0.135022828,upperArm_Link,medium,0.248303199
0.640000,0.132282903,upperArm_Link,medium,0.248646820
0.680000,0.129631322,upperArm_Link,medium,0.248990440
0.720000,0.127026881,upperArm_Link,medium,0.249334060
0.760000,0.124417334,upperArm_Link,medium,0.249677680
0.800000,0.121758334,upperArm_Link,medium,0.250021300
0.840000,0.119032305,upperArm_Link,medium,0.250364920
0.880000,0.116186217,upperArm_Link,medium,0.250708540
0.920000,0.113321093,upperArm_Link,medium,0.251052160
0.960000,0.110460553,upperArm_Link,medium,0.251395780
1.000000,0.107615002,upperArm_Link,medium,0.251739401
