tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.172595195,upperArm_Link,medium,0.243148898
0.040000,0.169739742,upperArm_Link,medium,0.243492518
0.080000,0.166934783,upperArm_Link,medium,0.243836138
0.120000,0.164189181,upperArm_Link,medium,0.244179758
0.160000,0.161485201,upperArm_Link,medium,0.244523378
0.200000,0.158793401,upperArm_Link,medium,0.244866998
0.240000,0.156087459,upperArm_Link,medium,0.245210619
0.280000,0.153355451,upperArm_Link,medium,0.245554239
0.320000,0.150599590,upperArm_Link,medium,0.245897859
0.360000,0.147830821,upperArm_Link,medium,0.246241479
0.400000,0.145062920,upperArm_Link,medium,0.246585099
0.440000,0.142306738,upperArm_Link,medium,0.246928719
0.480000,0.139566427,upperArm_Link,medium,0.247272339
0.520000,0.136840249,upperArm_Link,medium,0.247615959
0.560000,0.134123099,upperArm_Link,medium,0.247959579
0.600000,0.131409050,upperArm_Link,medium,0.248303199
0.640000,0.128693892,upperArm_Link,medium,0.248646820
0.680000,0.125976803,upperArm_Link,medium,0.248990440
0.720000,0.123259718,upperArm_Link,medium,0.249334060
0.760000,0.120545777,upperArm_Link,medium,0.249677680
0.800000,0.117837737,upperArm_Link,medium,0.250021300
0.840000,0.115136416,upperArm_Link,medium,0.250364920
0.880000,0.112439983,upperArm_Link,medium,0.250708540
0.920000,0.109745323,upperArm_Link,medium,0.251052160
0.960000,0.107050240,upperArm_Link,medium,0.251395780
1.000000,0.104355673,upperArm_Link,medium,0.251739401
