frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
81,10.581419,1,1,0.778431,-0.304522,0.398134,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.142629,0.166829,0.221829,0.142629,0.030603,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
82,10.745997,1,2,0.761512,-0.306477,0.400515,0.000000,0.102482,0.102482,0.066877,-0.100824,-0.011651,0.014190,0.142307,0.179697,0.234697,0.142307,0.036508,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
83,10.900595,1,3,0.755262,-0.301492,0.403857,0.011353,0.075327,0.075327,0.046518,-0.072546,0.009487,0.017921,0.139412,0.167780,0.222780,0.139412,0.033757,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
84,11.063160,1,4,0.738093,-0.306573,0.399718,0.023848,0.083435,0.083435,0.065265,-0.083263,-0.004234,0.003270,0.145421,0.179561,0.234561,0.145421,0.041168,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
85,11.221998,1,5,0.741994,-0.304972,0.398354,0.026250,0.056612,0.056612,0.070154,-0.056607,-0.000700,0.000342,0.140687,0.167608,0.222608,0.140687,0.036909,0,0,0,0,"speed_ok,valid_streak_not_ready"
86,11.391451,1,6,0.746409,-0.304323,0.399382,0.000000,0.023674,0.023674,0.051364,-0.023372,0.003335,-0.001753,0.139822,0.170548,0.225548,0.139822,0.026477,0,0,0,0,"speed_ok,valid_streak_not_ready"
87,11.549477,1,7,0.746064,-0.304325,0.399752,0.000000,0.016143,0.016143,0.061137,-0.014191,-0.004370,-0.006334,0.142131,0.165614,0.220614,0.142131,0.029754,0,0,0,0,"speed_ok,valid_streak_not_ready"
88,11.694409,1,8,0.742290,-0.306844,0.399040,0.000000,0.006708,0.006708,0.052871,0.006609,-0.000427,-0.001067,0.137793,0.163238,0.218238,0.137793,0.030293,0,0,0,0,"speed_ok,valid_streak_not_ready"
89,11.858419,1,9,0.734843,-0.306968,0.393010,0.000000,0.014313,0.014313,0.055169,-0.011190,-0.003122,-0.008361,0.141000,0.162478,0.217478,0.141000,0.032134,0,0,0,0,"speed_ok,valid_streak_not_ready"
90,12.010005,1,10,0.728391,-0.302278,0.394825,0.000000,0.030174,0.030174,0.059978,-0.029078,0.003300,-0.007355,0.145306,0.184501,0.239501,0.145306,0.026156,0,0,0,0,"speed_ok,valid_streak_not_ready"
91,12.165609,1,11,0.726740,-0.307125,0.401406,0.000000,0.031726,0.031726,0.065352,-0.031286,-0.004534,0.002678,0.137489,0.169267,0.224267,0.137489,0.030373,0,0,0,0,"speed_ok,valid_streak_not_ready"
92,12.315119,1,12,0.702781,-0.322210,0.393305,0.021393,0.068830,0.068830,0.111243,-0.063570,-0.024724,-0.009228,0.150439,0.195858,0.250858,0.150439,0.054595,0,0,0,0,"speed_ok,valid_streak_not_ready"
93,12.469586,1,13,0.714882,-0.307571,0.399629,0.000000,0.034422,0.034422,0.106145,-0.032659,-0.000987,0.010829,0.139160,0.177912,0.232912,0.139160,0.031942,0,0,0,0,"speed_ok,valid_streak_not_ready"
94,12.618203,1,14,0.697472,-0.310409,0.384222,0.017176,0.055348,0.055348,0.137413,-0.050807,-0.013361,-0.017422,0.153409,0.188463,0.243463,0.153409,0.041891,0,0,0,0,"speed_ok,valid_streak_not_ready"
95,12.773325,1,15,0.700315,-0.308374,0.392605,0.000000,0.045605,0.045605,0.073908,-0.043225,-0.002043,-0.014396,0.144507,0.176450,0.231450,0.144507,0.032953,0,0,0,0,"speed_ok,valid_streak_not_ready"
96,12.919502,1,16,0.683153,-0.303368,0.391076,0.017069,0.045205,0.045205,0.061506,-0.032502,0.031201,-0.003691,0.138427,0.172922,0.227922,0.138427,0.040534,0,0,0,0,"speed_ok,valid_streak_not_ready"
97,13.072543,1,17,0.685949,-0.301313,0.393626,0.022591,0.050509,0.050509,0.061380,-0.048383,0.010465,-0.010038,0.147088,0.177538,0.232538,0.147088,0.030247,0,0,0,0,"speed_ok,valid_streak_not_ready"
