tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,-0.029279371,upperArm_Link,medium,0.238589640
0.040000,-0.033945723,upperArm_Link,medium,0.239122964
0.080000,-0.038472308,upperArm_Link,medium,0.239656288
0.120000,-0.042838306,upperArm_Link,medium,0.240189612
0.160000,-0.047075949,upperArm_Link,medium,0.240722936
0.200000,-0.051240451,upperArm_Link,medium,0.241256260
0.240000,-0.055380136,upperArm_Link,medium,0.241789584
0.280000,-0.059514696,upperArm_Link,medium,0.242322909
0.320000,-0.063636221,upperArm_Link,medium,0.242856233
0.360000,-0.067719767,upperArm_Link,medium,0.243389557
0.400000,-0.072496158,upperArm_Link,medium,0.243922881
0.440000,-0.077902868,upperArm_Link,medium,0.244456205
0.480000,-0.083272544,upperArm_Link,medium,0.244989529
0.520000,-0.088620293,upperArm_Link,medium,0.245522853
0.560000,-0.093986608,upperArm_Link,medium,0.246056177
0.600000,-0.099339839,upperArm_Link,medium,0.246589501
0.640000,-0.104684799,upperArm_Link,medium,0.247122825
0.680000,-0.110022725,upperArm_Link,medium,0.247656149
0.720000,-0.115351553,upperArm_Link,medium,0.248189473
0.760000,-0.120667096,upperArm_Link,medium,0.248722797
0.800000,-0.125964259,upperArm_Link,medium,0.249256121
0.840000,-0.131238218,upperArm_Link,medium,0.249789445
0.880000,-0.136485175,upperArm_Link,medium,0.250322769
0.920000,-0.141702090,upperArm_Link,medium,0.250856093
0.960000,-0.146886000,upperArm_Link,medium,0.251389418
1.000000,-0.152033291,upperArm_Link,medium,0.251922742
