t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.48362216,-0.15871924,1.39576161,-0.01627871,1.57085133,0.48361483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.48361971,-0.15871875,1.39576220,-0.01627861,1.57085132,0.48361238,-0.00072364,0.00014417,0.00017371,0.00002850,-0.00000128,-0.00072287,-0.14004785,0.02790071,0.03361698,0.00551605,-0.00024774,-0.13990238
0.020000,0.48360348,-0.15871552,1.39576609,-0.01627797,1.57085129,0.48359617,-0.00271059,0.00053998,0.00065063,0.00010675,-0.00000479,-0.00270783,-0.25298686,0.05039058,0.06072032,0.00996174,-0.00044669,-0.25273838
0.030000,0.48356216,-0.15870729,1.39577601,-0.01627635,1.57085122,0.48355489,-0.00569945,0.00113524,0.00136795,0.00022443,-0.00001006,-0.00569385,-0.34074990,0.06785613,0.08177489,0.01341358,-0.00060039,-0.34043683
0.040000,0.48348696,-0.15869231,1.39579406,-0.01627338,1.57085109,0.48347976,-0.00944811,0.00188164,0.00226751,0.00037197,-0.00001666,-0.00943920,-0.40526979,0.08068384,0.09724558,0.01594806,-0.00071239,-0.40492654
0.050000,0.48337141,-0.15866930,1.39582179,-0.01626884,1.57085088,0.48336432,-0.01373381,0.00273474,0.00329580,0.00054058,-0.00002418,-0.01372144,-0.44847939,0.08926023,0.10759724,0.01764168,-0.00078620,-0.44813632
0.060000,0.48321118,-0.15863740,1.39586024,-0.01626253,1.57085060,0.48320422,-0.01835311,0.00365396,0.00440394,0.00072225,-0.00003227,-0.01833742,-0.47231153,0.09397178,0.11329475,0.01857095,-0.00082538,-0.47199498
0.070000,0.48300385,-0.15859612,1.39590999,-0.01625437,1.57085024,0.48299707,-0.02312190,0.00460258,0.00554773,0.00090971,-0.00004059,-0.02310327,-0.47869907,0.09520502,0.11480298,0.01881236,-0.00083346,-0.47843133
0.080000,0.48274879,-0.15854536,1.39597118,-0.01624434,1.57084979,0.48274221,-0.02787539,0.00554776,0.00668759,0.00109646,-0.00004885,-0.02785440,-0.46957484,0.09334642,0.11258681,0.01844242,-0.00081397,-0.46937419
0.090000,0.48244688,-0.15848528,1.39604361,-0.01623246,1.57084926,0.48244052,-0.03246813,0.00646050,0.00778860,0.00127678,-0.00005679,-0.03244554,-0.44687170,0.08878250,0.10711110,0.01753761,-0.00077046,-0.44675237
0.100000,0.48210039,-0.15841634,1.39612672,-0.01621884,1.57084866,0.48209426,-0.03677400,0.00731568,0.00882049,0.00144569,-0.00006419,-0.03675067,-0.41252247,0.08189976,0.09884073,0.01617446,-0.00070645,-0.41249468
0.110000,0.48171272,-0.15833923,1.39621970,-0.01620360,1.57084798,0.48170682,-0.04068620,0.00809205,0.00975765,0.00159899,-0.00007086,-0.04066307,-0.36846002,0.07308470,0.08824057,0.01442944,-0.00062549,-0.36852993
0.120000,0.48128827,-0.15825482,1.39632149,-0.01618692,1.57084724,0.48128260,-0.04411727,0.00877222,0.01057909,0.00173326,-0.00007665,-0.04409534,-0.31661717,0.06272381,0.07577549,0.01237907,-0.00053111,-0.31678694
0.130000,0.48083221,-0.15816415,1.39643084,-0.01616901,1.57084645,0.48082674,-0.04699905,0.00934266,0.01126849,0.00184581,-0.00008145,-0.04697932,-0.25892679,0.05120361,0.06191036,0.01009985,-0.00042685,-0.25919452
0.140000,0.48035028,-0.15806836,1.39654638,-0.01615009,1.57084562,0.48034500,-0.04928275,0.00979372,0.01181418,0.00193475,-0.00008517,-0.04926616,-0.19732170,0.03891059,0.04711006,0.00766827,-0.00031624,-0.19768148
0.150000,0.47984865,-0.15796869,1.39666662,-0.01613040,1.57084475,0.47984351,-0.05093888,0.01011959,0.01220913,0.00199892,-0.00008776,-0.05092631,-0.13373476,0.02623125,0.03183945,0.00516083,-0.00020283,-0.13417662
0.160000,0.47933363,-0.15786640,1.39679005,-0.01611019,1.57084387,0.47932860,-0.05195728,0.01031834,0.01245095,0.00203797,-0.00008923,-0.05194948,-0.07009880,0.01355209,0.01656342,0.00265404,-0.00009014,-0.07060878
0.170000,0.47881160,-0.15776274,1.39691514,-0.01608972,1.57084297,0.47880662,-0.05234714,0.01039192,0.01254193,0.00205226,-0.00008958,-0.05234470,-0.00834667,0.00125962,0.00174682,0.00022439,0.00001828,-0.00890675
0.180000,0.47828869,-0.15765896,1.39704041,-0.01606923,1.57084208,0.47828371,-0.05213694,0.01034611,0.01248897,0.00204297,-0.00008889,-0.05214027,0.04958877,-0.01025966,-0.01214547,-0.00205161,0.00011890,0.04900065
0.190000,0.47777070,-0.15755619,1.39716448,-0.01604893,1.57084120,0.47776565,-0.05137453,0.01019059,0.01230365,0.00201200,-0.00008724,-0.05138377,0.10177470,-0.02061926,-0.02464858,-0.00409747,0.00020818,0.10118460
0.200000,0.47726282,-0.15745547,1.39728610,-0.01602905,1.57084033,0.47725765,-0.05012705,0.00993888,0.01200218,0.00196204,-0.00008477,-0.05014208,0.14627827,-0.02943267,-0.03529762,-0.00583669,0.00028258,0.14571630
0.210000,0.47676949,-0.15735767,1.39740420,-0.01600974,1.57083950,0.47676415,-0.04847992,0.00960816,0.01160516,0.00189650,-0.00008165,-0.04850029,0.18160220,-0.03640086,-0.04373275,-0.00721010,0.00033940,0.18110107
0.220000,0.47629425,-0.15726351,1.39751795,-0.01599116,1.57083870,0.47628868,-0.04652479,0.00921684,0.01113470,0.00181902,-0.00007804,-0.04654974,0.20799151,-0.04157472,-0.05001407,-0.00822788,0.00037924,0.20758074
0.230000,0.47583974,-0.15717348,1.39762672,-0.01597339,1.57083794,0.47583389,-0.04434761,0.00878218,0.01061151,0.00173303,-0.00007412,-0.04437611,0.22612678,-0.04509260,-0.05430672,-0.00891756,0.00040353,0.22583131
0.240000,0.47540777,-0.15708795,1.39773007,-0.01595652,1.57083722,0.47540163,-0.04202750,0.00832005,0.01005465,0.00164167,-0.00007002,-0.04205829,0.23668860,-0.04709284,-0.05677582,-0.00930667,0.00041370,0.23652873
0.250000,0.47499942,-0.15700712,1.39782776,-0.01594057,1.57083654,0.47499297,-0.03963681,0.00784492,0.00948152,0.00154781,-0.00006588,-0.03966846,0.24035756,-0.04771381,-0.05758651,-0.00942272,0.00041118,0.24034899
0.260000,0.47461505,-0.15693105,1.39791970,-0.01592556,1.57083590,0.47460829,-0.03724106,0.00736991,0.00890789,0.00145404,-0.00006183,-0.03727198,0.23781424,-0.04709386,-0.05690391,-0.00929323,0.00039740,0.23796807
0.270000,0.47425442,-0.15685969,1.39800596,-0.01591148,1.57083530,0.47424735,-0.03489896,0.00690672,0.00834787,0.00136267,-0.00005797,-0.03492751,0.22973922,-0.04537135,-0.05489314,-0.00894573,0.00037379,0.23006195
