t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.57979423,-0.18819919,1.35969770,-0.02287749,1.57085133,0.57978314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.57979126,-0.18819819,1.35969872,-0.02287730,1.57085132,0.57978092,-0.00087590,0.00029529,0.00030246,0.00005693,-0.00000137,-0.00065515,-0.16915312,0.05710756,0.05853435,0.01101781,-0.00026491,-0.12679284
0.020000,0.57977166,-0.18819157,1.35970551,-0.02287602,1.57085129,0.57976623,-0.00326678,0.00110448,0.00113288,0.00021323,-0.00000512,-0.00245404,-0.30342277,0.10291482,0.10572514,0.01989757,-0.00047766,-0.22904021
0.030000,0.57972200,-0.18817475,1.35972278,-0.02287277,1.57085121,0.57972882,-0.00683658,0.00231857,0.00238185,0.00044827,-0.00001076,-0.00515997,-0.40535990,0.13821867,0.14238210,0.02679208,-0.00064202,-0.30849235
0.040000,0.57963204,-0.18814419,1.35975420,-0.02286686,1.57085107,0.57966074,-0.01127471,0.00383650,0.00394810,0.00074296,-0.00001782,-0.00855374,-0.47751546,0.16381601,0.16931492,0.03185417,-0.00076177,-0.36689952
0.050000,0.57949456,-0.18809732,1.35980248,-0.02285777,1.57085085,0.57955613,-0.01629612,0.00556519,0.00573844,0.00107975,-0.00002586,-0.01243364,-0.52244038,0.18050375,0.18733333,0.03523665,-0.00084071,-0.40601195
0.060000,0.57930504,-0.18803247,1.35986943,-0.02284517,1.57085055,0.57941106,-0.02164125,0.00741953,0.00766775,0.00144261,-0.00003451,-0.01661549,-0.54268563,0.18907877,0.19724704,0.03709235,-0.00088260,-0.42757990
0.070000,0.57906144,-0.18794877,1.35995604,-0.02282888,1.57085016,0.57922337,-0.02707607,0.00932238,0.00965906,0.00181702,-0.00004340,-0.02093259,-0.54080214,0.19033798,0.19986576,0.03757408,-0.00089124,-0.43335360
0.080000,0.57876392,-0.18784609,1.36006259,-0.02280884,1.57084968,0.57899246,-0.03239204,0.01120456,0.01164345,0.00219002,-0.00005223,-0.02523575,-0.51934087,0.18507828,0.19599919,0.03683466,-0.00087040,-0.42508332
0.090000,0.57841461,-0.18772495,1.36018869,-0.02278512,1.57084912,0.57871914,-0.03740613,0.01300487,0.01356013,0.00255015,-0.00006072,-0.02939328,-0.48085275,0.17409656,0.18645707,0.03502692,-0.00082387,-0.40451928
0.100000,0.57801733,-0.18758645,1.36033339,-0.02275791,1.57084847,0.57840546,-0.04196084,0.01467008,0.01535637,0.00288750,-0.00006864,-0.03329099,-0.42788873,0.15818973,0.17204909,0.03230367,-0.00075543,-0.37341174
0.110000,0.57757736,-0.18743215,1.36049526,-0.02272748,1.57084775,0.57805451,-0.04592415,0.01615491,0.01698759,0.00319368,-0.00007577,-0.03683220,-0.36299977,0.13815467,0.15358497,0.02881772,-0.00066885,-0.33351095
0.120000,0.57710118,-0.18726407,1.36067247,-0.02269417,1.57084696,0.57767027,-0.04918959,0.01742207,0.01841725,0.00346183,-0.00008197,-0.03993773,-0.28873680,0.11478830,0.13187443,0.02472191,-0.00056793,-0.28656714
0.130000,0.57659617,-0.18708454,1.36086284,-0.02265839,1.57084611,0.57725742,-0.05167615,0.01844223,0.01961695,0.00368660,-0.00008710,-0.04254590,-0.20765077,0.08888751,0.10772717,0.02016904,-0.00045644,-0.23433057
0.140000,0.57607044,-0.18689612,1.36106397,-0.02262059,1.57084522,0.57682116,-0.05332836,0.01919403,0.02056637,0.00386419,-0.00009107,-0.04461254,-0.12229263,0.06124919,0.08195291,0.01531194,-0.00033817,-0.17855148
0.150000,0.57553249,-0.18670160,1.36127329,-0.02258127,1.57084430,0.57636706,-0.05411626,0.01966408,0.02125329,0.00399233,-0.00009385,-0.04611096,-0.03521333,0.03267025,0.05536136,0.01030343,-0.00021689,-0.12098013
0.160000,0.57499101,-0.18650380,1.36148815,-0.02254091,1.57084335,0.57590087,-0.05403539,0.01984695,0.02167357,0.00407027,-0.00009541,-0.04703200,0.05103619,0.00394758,0.02876224,0.00529632,-0.00009639,-0.06336674
0.170000,0.57445461,-0.18630561,1.36170589,-0.02250003,1.57084239,0.57542832,-0.05310681,0.01974520,0.02183121,0.00409877,-0.00009579,-0.04738399,0.13390499,-0.02412191,0.00296525,0.00044343,0.00001954,-0.00746158
0.180000,0.57393155,-0.18610981,1.36192394,-0.02245909,1.57084144,0.57495500,-0.05137707,0.01936935,0.02173825,0.00408016,-0.00009505,-0.04719276,0.21084211,-0.05074134,-0.02121988,-0.00410241,0.00012714,0.04498512
0.190000,0.57342950,-0.18591907,1.36213988,-0.02241857,1.57084049,0.57448613,-0.04891824,0.01873787,0.02141488,0.00401826,-0.00009329,-0.04650165,0.27929661,-0.07511380,-0.04298346,-0.00818839,0.00022261,0.09222311
0.200000,0.57295529,-0.18573582,1.36235156,-0.02237886,1.57083957,0.57402643,-0.04582791,0.01787722,0.02088935,0.00391843,-0.00009065,-0.04537149,0.33671754,-0.09644238,-0.06151575,-0.01166169,0.00030217,0.13250213
0.210000,0.57251464,-0.18556218,1.36255712,-0.02234030,1.57083868,0.57357991,-0.04222780,0.01682143,0.02019758,0.00378749,-0.00008731,-0.04387965,0.38110363,-0.11408734,-0.07619002,-0.01440413,0.00036293,0.16446647
0.220000,0.57211200,-0.18539992,1.36275509,-0.02230318,1.57083783,0.57314977,-0.03824863,0.01560779,0.01937806,0.00363272,-0.00008345,-0.04210914,0.41265222,-0.12803740,-0.08711135,-0.01643607,0.00040553,0.18833842
0.230000,0.57175052,-0.18525043,1.36294437,-0.02226770,1.57083701,0.57273840,-0.03401506,0.01427251,0.01846690,0.00346095,-0.00007925,-0.04013780,0.43211036,-0.13843847,-0.09456778,-0.01781253,0.00043151,0.20473482
0.240000,0.57143215,-0.18511476,1.36312423,-0.02223400,1.57083624,0.57234744,-0.02964424,0.01285036,0.01749730,0.00327847,-0.00007487,-0.03803731,0.44022506,-0.14543642,-0.09884735,-0.01858850,0.00044238,0.21427249
0.250000,0.57115772,-0.18499360,1.36329423,-0.02220215,1.57083552,0.57197786,-0.02524588,0.01137464,0.01649958,0.00309100,-0.00007045,-0.03587316,0.43774336,-0.14917713,-0.10023812,-0.01881899,0.00043968,0.21756824
0.260000,0.57092699,-0.18488733,1.36345422,-0.02217218,1.57083483,0.57162999,-0.02092220,0.00987719,0.01550120,0.00290372,-0.00006612,-0.03370469,0.42541227,-0.14980649,-0.09902812,-0.01855901,0.00042495,0.21523892
0.270000,0.57073871,-0.18479603,1.36360433,-0.02214406,1.57083419,0.57130360,-0.01676797,0.00838840,0.01452673,0.00272127,-0.00006199,-0.03158507,0.40397883,-0.14747037,-0.09550541,-0.01786357,0.00039970,0.20790133
0.280000,0.57059077,-0.18471944,1.36374491,-0.02211773,1.57083359,0.57099797,-0.01287047,0.00693718,0.01359784,0.00254772,-0.00005816,-0.02956130,0.37419006,-0.14231466,-0.08995802,-0.01678766,0.00036548,0.19617231
0.290000,0.57048018,-0.18465707,1.36387650,-0.02209307,1.57083303,0.57071192,-0.00930953,0.00555101,0.01273336,0.00238660,-0.00005470,-0.02767421,0.33679299,-0.13448525,-0.08267401,-0.01538630,0.00032380,0.18066868
0.300000,0.57040322,-0.18460812,1.36399984,-0.02206994,1.57083250,0.57044391,-0.00615749,0.00425590,0.01194919,0.00224090,-0.00005170,-0.02595845,0.29253464,-0.12412801,-0.07394141,-0.01371449,0.00027620,0.16200726
0.310000,0.57035545,-0.18457156,1.36411580,-0.02204819,1.57083199,0.57019209,-0.00347922,0.00307639,0.01125840,0.00211303,-0.00004919,-0.02444253,0.24216204,-0.11138883,-0.06404827,-0.01182724,0.00022422,0.14080488
0.320000,0.57033186,-0.18454613,1.36422535,-0.02202762,1.57083151,0.56995432,-0.00133214,0.00203558,0.01067114,0.00200489,-0.00004722,-0.02314877,0.18642222,-0.09641359,-0.05328265,-0.00977954,0.00016937,0.11767836
