t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.57979423,-0.18819919,1.35969770,-0.02287749,1.57085133,0.57978314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.57978481,-0.18818825,1.35969872,-0.02287730,1.57085132,0.57978092,-0.00278048,0.00322841,0.00030246,0.00005693,-0.00000137,-0.00065515,-0.53799761,0.62354431,0.05853435,0.01101781,-0.00026491,-0.12679284
0.020000,0.57972246,-0.18811601,1.35970551,-0.02287602,1.57085129,0.57976623,-0.01041036,0.01204372,0.00113288,0.00021323,-0.00000512,-0.00245404,-0.97111702,1.11893926,0.10572514,0.01989757,-0.00047766,-0.22904021
0.030000,0.57956382,-0.18793287,1.35972278,-0.02287277,1.57085121,0.57972882,-0.02187796,0.02521124,0.00238185,0.00044827,-0.00001076,-0.00515997,-1.30677919,1.49554692,0.14238210,0.02679208,-0.00064202,-0.30849235
0.040000,0.57927524,-0.18760109,1.35975420,-0.02286686,1.57085107,0.57966074,-0.03624582,0.04158991,0.00394810,0.00074296,-0.00001782,-0.00855374,-1.55240510,1.76272938,0.16931492,0.03185417,-0.00076177,-0.36689952
0.050000,0.57883212,-0.18709387,1.35980248,-0.02285777,1.57085085,0.57955613,-0.05265068,0.06013228,0.00573844,0.00107975,-0.00002586,-0.01243364,-1.71541570,1.92984871,0.18733333,0.03523665,-0.00084071,-0.40601195
0.060000,0.57821808,-0.18639442,1.35986943,-0.02284517,1.57085055,0.57941106,-0.07030349,0.07988455,0.00766775,0.00144261,-0.00003451,-0.01661549,-1.80323197,2.00626699,0.19724704,0.03709235,-0.00088260,-0.42757990
0.070000,0.57742428,-0.18549503,1.35995604,-0.02282888,1.57085016,0.57922337,-0.08848941,0.09998649,0.00965906,0.00181702,-0.00004340,-0.02093259,-1.82327486,2.00134631,0.19986576,0.03757408,-0.00089124,-0.43335360
0.080000,0.57644866,-0.18439610,1.36006259,-0.02280884,1.57084968,0.57899246,-0.10656781,0.11967155,0.01164345,0.00219002,-0.00005223,-0.02523575,-1.78296535,1.92444874,0.19599919,0.03683466,-0.00087040,-0.42508332
0.090000,0.57529518,-0.18310524,1.36018869,-0.02278512,1.57084912,0.57871914,-0.12397228,0.13826675,0.01356013,0.00255015,-0.00006072,-0.02939328,-1.68972441,1.78493637,0.18645707,0.03502692,-0.00082387,-0.40451928
