tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.148261775,left_link,medium,0.213079444
0.040000,0.148173820,left_link,medium,0.213347741
0.080000,0.147833922,left_link,medium,0.213616038
0.120000,0.147189274,left_link,medium,0.213884335
0.160000,0.146337345,left_link,medium,0.214152632
0.200000,0.145441003,left_link,medium,0.214420929
0.240000,0.144644916,left_link,medium,0.214689226
0.280000,0.144016713,left_link,medium,0.214957523
0.320000,0.143550025,left_link,medium,0.215225820
0.360000,0.143191677,left_link,medium,0.215494117
0.400000,0.142869674,left_link,medium,0.215762414
0.440000,0.142520766,left_link,medium,0.216030711
0.480000,0.141657575,upperArm_Link,medium,0.216299008
0.520000,0.139769608,upperArm_Link,medium,0.216567304
0.560000,0.137898587,upperArm_Link,medium,0.216835601
0.600000,0.136036700,upperArm_Link,medium,0.217103898
0.640000,0.134174683,upperArm_Link,medium,0.217372195
0.680000,0.132303820,upperArm_Link,medium,0.217640492
0.720000,0.130417618,upperArm_Link,medium,0.217908789
0.760000,0.128513366,upperArm_Link,medium,0.218177086
0.800000,0.126593681,upperArm_Link,medium,0.218445383
0.840000,0.124667949,upperArm_Link,medium,0.218713680
0.880000,0.122751651,upperArm_Link,medium,0.218981977
0.920000,0.120860374,upperArm_Link,medium,0.219250274
0.960000,0.119001756,upperArm_Link,medium,0.219518571
1.000000,0.117167315,upperArm_Link,medium,0.219786868
