frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.087822,1786430020.240714,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,88.7157,0.00000000,0.00000000,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.200954,1786430020.329480,2306,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,169.0104,0.00000000,0.00001100,1.57080734,0.00000000,1.57079637,0.00000000,0.00000000,0.00009727,0.00009694,0.00000000,0.00000000,0.00000000
2,0.333866,1786430020.498505,2390,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.4584,0.00000000,-0.00101971,1.56996369,-0.00078496,1.57079637,0.00000000,0.00000000,-0.00775485,-0.00634737,-0.00590583,0.00000000,0.00000000
3,0.470280,1786430020.627988,2289,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2737,0.00000000,-0.00744977,1.56336856,-0.00353598,1.57079256,0.00000000,0.00000000,-0.04713648,-0.04834664,-0.02016678,-0.00002796,0.00000000
4,0.595302,1786430020.757276,2300,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.8162,0.00000000,-0.02000176,1.55076146,-0.00586151,1.57079256,0.00000000,0.00000000,-0.10039807,-0.10083884,-0.01860093,0.00000000,0.00000000
5,0.732857,1786430020.891107,2354,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.5463,0.00000000,-0.04086550,1.52966297,-0.00835210,1.57079256,0.00000000,0.00000000,-0.15167520,-0.15338179,-0.01810610,0.00000000,0.00000000
6,0.866688,1786430021.022669,2333,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.1818,0.00000000,-0.06692317,1.50081766,-0.01089404,1.57079637,0.00000000,0.00000000,-0.19470659,-0.21553621,-0.01899376,0.00002850,0.00000000
7,1.001285,1786430021.156866,2320,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.1083,0.00000000,-0.09424998,1.46604848,-0.01334429,1.57079637,0.00000000,0.00000000,-0.20302696,-0.25832071,-0.01820430,0.00000000,0.00000000
8,1.131228,1786430021.283990,2279,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.3400,0.00000000,-0.12064878,1.43081343,-0.01575418,1.57079637,0.00000000,0.00000000,-0.20315660,-0.27115749,-0.01854576,0.00000000,0.00000000
9,1.251075,1786430021.412351,2285,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.7037,0.00000000,-0.14498615,1.40008998,-0.01801002,1.57079637,0.00000000,0.00000000,-0.20306972,-0.25635481,-0.01882259,0.00000000,0.00000000
