tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.111401375,upperArm_Link,medium,0.213586865
0.040000,0.108198490,upperArm_Link,medium,0.214022866
0.080000,0.105070614,upperArm_Link,medium,0.214458867
0.120000,0.102025462,upperArm_Link,medium,0.214894869
0.160000,0.099041992,upperArm_Link,medium,0.215330870
0.200000,0.096088442,upperArm_Link,medium,0.215766872
0.240000,0.093138487,upperArm_Link,medium,0.216202873
0.280000,0.090181701,upperArm_Link,medium,0.216638874
0.320000,0.087221839,upperArm_Link,medium,0.217074876
0.360000,0.084270682,upperArm_Link,medium,0.217510877
0.400000,0.081342160,upperArm_Link,medium,0.217946879
0.440000,0.078447197,upperArm_Link,medium,0.218382880
0.480000,0.075590700,upperArm_Link,medium,0.218818881
0.520000,0.072772423,upperArm_Link,medium,0.219254883
0.560000,0.069989087,upperArm_Link,medium,0.219690884
0.600000,0.067236275,upperArm_Link,medium,0.220126886
0.640000,0.064510090,upperArm_Link,medium,0.220562887
0.680000,0.061808268,upperArm_Link,medium,0.220998888
0.720000,0.059130392,upperArm_Link,medium,0.221434890
0.760000,0.056477751,upperArm_Link,medium,0.221870891
0.800000,0.053853147,upperArm_Link,medium,0.222306893
0.840000,0.051260640,upperArm_Link,medium,0.222742894
0.880000,0.048704895,upperArm_Link,medium,0.223178895
0.920000,0.046189706,upperArm_Link,medium,0.223614897
0.960000,0.043716545,upperArm_Link,medium,0.224050898
1.000000,0.041283561,upperArm_Link,medium,0.224486900
