tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.172825904,upperArm_Link,medium,0.205313744
0.040000,0.170151026,upperArm_Link,medium,0.205642696
0.080000,0.167540899,upperArm_Link,medium,0.205971649
0.120000,0.164945626,upperArm_Link,medium,0.206300602
0.160000,0.162350053,upperArm_Link,medium,0.206629554
0.200000,0.159771442,upperArm_Link,medium,0.206958507
0.240000,0.157168166,upperArm_Link,medium,0.207287459
0.280000,0.154520702,upperArm_Link,medium,0.207616412
0.320000,0.151831016,upperArm_Link,medium,0.207945365
0.360000,0.149114710,upperArm_Link,medium,0.208274317
0.400000,0.146392752,upperArm_Link,medium,0.208603270
0.440000,0.143683281,upperArm_Link,medium,0.208932223
0.480000,0.140995811,upperArm_Link,medium,0.209261175
0.520000,0.138331359,upperArm_Link,medium,0.209590128
0.560000,0.135684898,upperArm_Link,medium,0.209919081
0.600000,0.133047871,upperArm_Link,medium,0.210248033
0.640000,0.130410706,upperArm_Link,medium,0.210576986
0.680000,0.127765031,upperArm_Link,medium,0.210905939
0.720000,0.125105122,upperArm_Link,medium,0.211234891
0.760000,0.122429041,upperArm_Link,medium,0.211563844
0.800000,0.119739755,upperArm_Link,medium,0.211892797
0.840000,0.117046172,upperArm_Link,medium,0.212221749
0.880000,0.114362425,upperArm_Link,medium,0.212550702
0.920000,0.111702741,upperArm_Link,medium,0.212879655
0.960000,0.109074596,upperArm_Link,medium,0.213208607
1.000000,0.106471780,upperArm_Link,medium,0.213537560
