t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.61509895,-0.20358656,1.34040391,-0.02676560,1.57084036,0.61508793,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000
0.010000,0.61509468,-0.20358504,1.34040501,-0.02676538,1.57084036,0.61508598,-0.00125641,0.00044908,0.00032514,0.00006527,-0.00000111,-0.00057473,-0.24135693,0.08650840,0.06292631,0.01263212,-0.00021548,-0.11123235
0.020000,0.61506675,-0.20357502,1.34041230,-0.02676391,1.57084033,0.61507309,-0.00463637,0.00166647,0.00121794,0.00024449,-0.00000417,-0.00215295,-0.42548195,0.15390745,0.11367652,0.02281891,-0.00038852,-0.20095480
0.030000,0.61499671,-0.20354976,1.34043087,-0.02676019,1.57084027,0.61504027,-0.00959073,0.00346841,0.00256098,0.00051408,-0.00000875,-0.00452723,-0.55701204,0.20366164,0.15311847,0.03073475,-0.00052221,-0.27069950
0.040000,0.61487137,-0.20350427,1.34046466,-0.02675341,1.57084015,0.61498054,-0.01561675,0.00568577,0.00424551,0.00085220,-0.00001449,-0.00750545,-0.64058414,0.23723544,0.18212000,0.03655400,-0.00061962,-0.32199861
0.050000,0.61468233,-0.20343518,1.34051658,-0.02674298,1.57083998,0.61488874,-0.02225801,0.00816407,0.00617147,0.00123875,-0.00002104,-0.01091082,-0.68083522,0.25609334,0.20154894,0.04045100,-0.00068383,-0.35638429
0.060000,0.61442553,-0.20334058,1.34058859,-0.02672853,1.57083973,0.61476144,-0.02910450,0.01076346,0.00824747,0.00165539,-0.00002807,-0.01458187,-0.68240224,0.26169983,0.21227313,0.04260012,-0.00071791,-0.37538870
0.070000,0.61410077,-0.20321992,1.34068176,-0.02670983,1.57083941,0.61459671,-0.03579257,0.01335877,0.01039081,0.00208551,-0.00003530,-0.01837243,-0.64992216,0.25551939,0.21516040,0.04317573,-0.00072493,-0.38054400
0.080000,0.61371127,-0.20307379,1.34079638,-0.02668682,1.57083902,0.61439403,-0.04200491,0.01583944,0.01252745,0.00251424,-0.00004249,-0.02215169,-0.58803194,0.23901651,0.21107859,0.04235217,-0.00070798,-0.37338234
0.090000,0.61326317,-0.20290384,1.34093206,-0.02665959,1.57083856,0.61415410,-0.04747063,0.01810958,0.01459204,0.00292847,-0.00004939,-0.02580413,-0.50136854,0.21365567,0.20089555,0.04030381,-0.00067013,-0.35543589
0.100000,0.61276510,-0.20271258,1.34108779,-0.02662834,1.57083804,0.61387870,-0.05196516,0.02008791,0.01652791,0.00331682,-0.00005583,-0.02922957,-0.39456891,0.18090135,0.18547910,0.03720501,-0.00061446,-0.32823680
0.110000,0.61222770,-0.20250327,1.34126203,-0.02659338,1.57083745,0.61357055,-0.05531034,0.02170784,0.01828707,0.00366965,-0.00006163,-0.03234313,-0.27227003,0.14221804,0.16569709,0.03323013,-0.00054404,-0.29331723
0.120000,0.61166317,-0.20227979,1.34145281,-0.02655509,1.57083681,0.61323311,-0.05737436,0.02291739,0.01983020,0.00397908,-0.00006667,-0.03507528,-0.13910884,0.09907022,0.14241734,0.02855353,-0.00046195,-0.25220934
0.130000,0.61108477,-0.20204642,1.34165781,-0.02651396,1.57083612,0.61287050,-0.05807177,0.02367924,0.02112665,0.00423896,-0.00007084,-0.03737180,0.00027768,0.05292239,0.11650771,0.02334957,-0.00037127,-0.20644529
0.140000,0.61050642,-0.20180777,1.34187445,-0.02647049,1.57083539,0.61248726,-0.05736351,0.02397072,0.02215448,0.00444490,-0.00007408,-0.03919378,0.14125259,0.00523902,0.08883602,0.01779260,-0.00027506,-0.15755724
0.150000,0.60994217,-0.20156860,1.34209996,-0.02642525,1.57083464,0.61208828,-0.05525688,0.02378379,0.02290039,0.00459422,-0.00007634,-0.04051764,0.27917892,-0.04251541,0.06027011,0.01205699,-0.00017642,-0.10707734
0.160000,0.60940577,-0.20133367,1.34233150,-0.02637880,1.57083387,0.61167860,-0.05180555,0.02312506,0.02335979,0.00468602,-0.00007761,-0.04133512,0.40941970,-0.08887640,0.03167781,0.00631710,-0.00007841,-0.05653776
0.170000,0.60891021,-0.20110760,1.34256622,-0.02633172,1.57083309,0.61126325,-0.04710956,0.02201579,0.02353675,0.00472113,-0.00007792,-0.04165330,0.52733799,-0.13237948,0.00392698,0.00074728,0.00001590,-0.00747064
0.180000,0.60846725,-0.20089474,1.34280134,-0.02628456,1.57083232,0.61084712,-0.04131532,0.02049188,0.02344403,0.00470211,-0.00007731,-0.04149455,0.62829682,-0.17156015,-0.02211457,-0.00447810,0.00010341,0.03859183
0.190000,0.60808693,-0.20069898,1.34303427,-0.02623784,1.57083155,0.61043482,-0.03461561,0.01860387,0.02310305,0.00463330,-0.00007588,-0.04089659,0.70765923,-0.20495394,-0.04557899,-0.00918469,0.00018107,0.08011752
0.200000,0.60777716,-0.20052366,1.34326267,-0.02619204,1.57083080,0.61003048,-0.02724958,0.01641697,0.02254393,0.00452073,-0.00007374,-0.03991243,0.76078826,-0.23109636,-0.06559844,-0.01319812,0.00024578,0.11557427
0.210000,0.60754322,-0.20037138,1.34348455,-0.02614755,1.57083008,0.60963764,-0.01949971,0.01401015,0.02180497,0.00437213,-0.00007102,-0.03860958,0.78426032,-0.24886305,-0.08150049,-0.01638333,0.00029521,0.14377439
0.220000,0.60738747,-0.20024391,1.34369831,-0.02610469,1.57082938,0.60925911,-0.01165846,0.01146684,0.02092728,0.00419575,-0.00006788,-0.03706050,0.77950527,-0.25849017,-0.09339432,-0.01876246,0.00032986,0.16490819
0.230000,0.60730945,-0.20014223,1.34390276,-0.02606370,1.57082872,0.60889702,-0.00399489,0.00886556,0.01994943,0.00399936,-0.00006447,-0.03533318,0.74916633,-0.26055399,-0.10158453,-0.02039692,0.00035098,0.17951044
0.240000,0.60730617,-0.20006655,1.34409708,-0.02602475,1.57082809,0.60855283,0.00324839,0.00627905,0.01890692,0.00379009,-0.00006090,-0.03349028,0.69588676,-0.25563078,-0.10637571,-0.02134815,0.00035983,0.18811593
0.250000,0.60737230,-0.20001638,1.34428079,-0.02598792,1.57082750,0.60822741,0.00985519,0.00377431,0.01783223,0.00357447,-0.00005731,-0.03158907,0.62230976,-0.24429684,-0.10807243,-0.02167756,0.00035764,0.19125944
0.260000,0.60750051,-0.19999059,1.34445372,-0.02595326,1.57082695,0.60792107,0.01563574,0.00141256,0.01675477,0.00335841,-0.00005378,-0.02968151,0.53107858,-0.22712844,-0.10697928,-0.02144659,0.00034565,0.18947574
0.270000,0.60768171,-0.19998746,1.34461597,-0.02592074,1.57082643,0.60763364,0.02042672,-0.00075073,0.01570093,0.00314720,-0.00005042,-0.02781420,0.42483645,-0.20470186,-0.10340086,-0.02071666,0.00032512,0.18329962
