tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.173218443,left_link,medium,0.184665580
0.040000,0.171050989,left_link,medium,0.184975198
0.080000,0.168659532,left_link,medium,0.185284817
0.120000,0.165980837,left_link,medium,0.185594435
0.160000,0.163077031,left_link,medium,0.185904054
0.200000,0.160073011,left_link,medium,0.186213672
0.240000,0.157095789,left_link,medium,0.186523291
0.280000,0.154231815,left_link,medium,0.186832909
0.320000,0.151526051,left_link,medium,0.187142527
0.360000,0.148996638,left_link,medium,0.187452146
0.400000,0.146649394,left_link,medium,0.187761764
0.440000,0.144491435,left_link,medium,0.188071383
0.480000,0.142538223,left_link,medium,0.188381001
0.520000,0.140805211,left_link,medium,0.188690620
0.560000,0.139293901,left_link,medium,0.189000238
0.600000,0.137978208,left_link,medium,0.189309856
0.640000,0.136791678,left_link,medium,0.189619475
0.680000,0.135624599,left_link,medium,0.189929093
0.720000,0.134345440,left_link,medium,0.190238712
0.760000,0.132831686,left_link,medium,0.190548330
0.800000,0.131000882,left_link,medium,0.190857949
0.840000,0.128840779,left_link,medium,0.191167567
0.880000,0.126421065,left_link,medium,0.191477185
0.920000,0.123859170,left_link,medium,0.191786804
0.960000,0.121268165,left_link,medium,0.192096422
1.000000,0.118704356,left_link,medium,0.192406041
