frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.201871,0,1,0,271,0.709723,-0.423472,0.393236,0.140102,0.164603,0.226159,0.245804,
2,0.383761,0,1,0,191,0.698541,-0.459575,0.377401,0.124680,0.152453,0.158948,0.234466,0.200602
3,0.542921,0,1,0,212,0.689369,-0.503863,0.381985,0.131462,0.151257,0.180238,0.220762,0.276636
4,0.692766,0,1,0,227,0.685672,-0.514497,0.393269,0.133135,0.145891,0.195044,0.250886,0.103789
5,0.831958,0,1,0,222,0.686443,-0.502957,0.396608,0.135743,0.131444,0.183421,0.258137,0.089349
6,0.980785,0,1,0,192,0.690799,-0.506909,0.399046,0.150744,0.131997,0.205152,0.281844,0.041275
7,1.140008,0,1,0,132,0.694864,-0.515870,0.388593,0.135438,0.120711,0.224299,0.254948,0.090799
75,9.971864,0,1,1,37,0.689126,-0.564775,0.307019,0.070055,0.164935,0.041210,0.086786,
79,10.463668,0,1,0,137,0.698155,-0.534546,0.357964,0.117312,0.156568,0.116604,0.216876,
82,10.881310,0,1,0,137,0.695145,-0.530894,0.364389,0.120273,0.177146,0.137308,0.210089,
86,11.415283,0,1,0,165,0.698829,-0.511965,0.386421,0.123149,0.173849,0.182343,0.200299,
87,11.569461,0,1,0,196,0.703593,-0.497960,0.383370,0.123525,0.148598,0.178453,0.208095,0.101175
89,11.846978,0,1,0,200,0.702834,-0.496031,0.375106,0.128940,0.159526,0.224828,0.200261,
90,12.016752,0,1,0,224,0.707935,-0.478575,0.389418,0.123082,0.151132,0.198053,0.199958,0.139029
91,12.172986,0,1,0,218,0.708919,-0.465418,0.390231,0.121975,0.151622,0.206338,0.201409,0.082457
92,12.347410,0,1,0,218,0.707492,-0.466720,0.380756,0.125977,0.158046,0.205326,0.203472,0.057399
93,12.500737,0,1,0,266,0.699939,-0.452788,0.385365,0.127074,0.174800,0.201155,0.202078,0.106309
94,12.653977,0,1,0,233,0.703509,-0.446442,0.388437,0.124433,0.155174,0.206614,0.201031,0.049433
95,12.821418,0,1,0,237,0.706393,-0.440274,0.384528,0.121562,0.139393,0.206444,0.200473,0.048107
96,12.992402,0,1,0,235,0.703160,-0.431952,0.385735,0.124533,0.157130,0.194441,0.200928,0.052811
97,13.145847,0,1,0,235,0.700747,-0.433981,0.388657,0.124582,0.157120,0.212417,0.195003,0.027600
98,13.296797,0,1,0,242,0.703806,-0.429562,0.382646,0.128217,0.174070,0.207021,0.201261,0.052786
99,13.463023,0,1,0,234,0.703588,-0.421917,0.391031,0.122555,0.149465,0.201141,0.196335,0.068708
100,13.617044,0,1,0,234,0.704703,-0.416007,0.385223,0.119860,0.138412,0.188184,0.203296,0.054445
101,13.768991,0,1,0,241,0.697060,-0.418571,0.392913,0.122479,0.165084,0.196637,0.197992,0.072292
102,13.905020,0,1,0,232,0.702085,-0.400841,0.387482,0.121482,0.148072,0.197006,0.198005,0.141921
103,14.062298,0,1,0,211,0.706743,-0.388040,0.382041,0.124992,0.140801,0.205988,0.193876,0.093666
104,14.228384,0,1,0,234,0.701597,-0.368836,0.388099,0.121296,0.161186,0.190128,0.200681,0.126114
105,14.381298,0,1,0,223,0.699306,-0.361276,0.393862,0.117002,0.138752,0.192461,0.198937,0.064738
106,14.536684,0,1,0,208,0.702320,-0.353871,0.375050,0.129420,0.136930,0.213315,0.202840,0.129910
107,14.688804,0,1,0,229,0.701217,-0.332928,0.374262,0.126608,0.132321,0.213690,0.216372,0.136169
108,14.842534,0,1,0,205,0.702450,-0.312210,0.381592,0.121787,0.133916,0.195056,0.202049,0.144796
109,15.017842,0,1,0,224,0.695235,-0.303642,0.386318,0.121023,0.147988,0.195129,0.197464,0.071288
110,15.190652,0,1,0,224,0.699968,-0.288285,0.381540,0.123565,0.146632,0.199861,0.203357,0.094746
111,15.345925,0,1,0,220,0.696052,-0.273527,0.386496,0.127276,0.157877,0.191092,0.203734,0.103378
112,15.506601,0,1,0,192,0.697295,-0.262030,0.392287,0.122749,0.153023,0.190401,0.192070,0.082041
113,15.662068,0,1,0,211,0.698889,-0.254720,0.384722,0.125013,0.135547,0.186327,0.202097,0.066816
114,15.820116,0,1,0,192,0.695693,-0.255585,0.382140,0.120189,0.134310,0.207071,0.205768,0.027200
