frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.091664,1786591524.004700,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.1429,0.00000000,0.00000000,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.201871,1786591524.097879,2832,50000,2,0,0,0.186323,gripper_base_link,0,0.709723,-0.423472,0.393236,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.140102,1,0.021312,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.177932,,0,1.000000,SAFE,1,current,50000,204.2516,0.00000000,-0.00000734,1.57080007,-0.00001100,1.57079637,0.00000000,0.00000000,-0.00006657,0.00003353,-0.00009985,0.00000000,0.00000000
2,0.383761,1786591524.302159,2724,50000,2,0,0,0.226158,left_link,0,0.698541,-0.459575,0.377401,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.188622,-0.127516,-0.131171,-0.045957,0.124680,2,0.019439,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.232685,,0,1.000000,SAFE,1,current,50000,164.2987,0.00000000,-0.00402383,1.56685328,-0.00243557,1.57079637,0.00000000,0.00000000,-0.02208198,-0.02169873,-0.01332985,0.00000000,0.00000000
3,0.542921,1786591524.466487,2778,50000,1,1,0,0.249700,left_link,0,0.689369,-0.503863,0.381985,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.200046,-0.076529,-0.181803,-0.033311,0.131462,3,0.011880,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.045601,0.000000,0.257817,,0,1.000000,SAFE,1,current,50000,153.5724,0.00000000,-0.01694996,1.55380976,-0.00541034,1.57079637,0.00000000,0.00000000,-0.08121438,-0.08195195,-0.01869037,0.00000000,0.00000000
4,0.692766,1786591524.620074,2822,50000,1,1,0,0.240602,left_link,0,0.685672,-0.514497,0.393269,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.183108,-0.074732,-0.167158,-0.001286,0.133135,4,0.023364,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.070396,0.000000,0.252951,,0,1.000000,SAFE,1,current,50000,134.7100,0.00000000,-0.03910118,1.53148985,-0.00816136,1.57079637,0.00000000,0.00000000,-0.14782753,-0.14895329,-0.01835911,0.00000000,0.00000000
5,0.831958,1786591524.754800,2716,50000,1,1,5,0.232101,left_link,0,0.686443,-0.502957,0.396608,0.094014,left_link,0.100,1,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.115368,-0.045081,-0.106088,0.004777,0.135743,5,0.013462,1,0,valid_streak_not_ready,SAFE,SLOW,0.067117,0.000000,0.244365,,0,1.000000,SAFE,1,current,50000,154.2467,0.00000000,-0.06591447,1.50202084,-0.01081335,1.57079637,0.00000000,0.00000000,-0.19263496,-0.21171452,-0.01905267,0.00000000,0.00000000
6,0.980785,1786591524.909063,2605,50000,1,1,5,0.220772,left_link,0,0.690799,-0.506909,0.399046,0.071703,left_link,0.100,1,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.078236,-0.003780,-0.075821,0.018912,0.150744,6,0.015748,1,1,,SAFE,SLOW,0.059452,0.000000,0.235420,,0,1.000000,SAFE,1,current,50000,158.0713,0.00000000,-0.09627473,1.46334505,-0.01352402,1.57079637,0.00000000,0.00000000,-0.20399806,-0.25987207,-0.01821368,0.00000000,0.00000000
7,1.140008,1786591525.067162,2655,50000,1,1,5,0.215855,left_link,0,0.694864,-0.515870,0.388593,0.088656,left_link,0.100,1,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.038175,-0.000529,-0.034505,-0.016323,0.135438,7,0.029701,1,1,,SAFE,SLOW,0.058817,0.000000,0.226595,,0,1.000000,SAFE,1,current,50000,141.5050,0.00000000,-0.12878446,1.42022014,-0.01652447,1.57079637,0.00000000,0.00000000,-0.20417658,-0.27084500,-0.01884423,0.00000000,0.00000000
8,1.281555,1786591525.208686,2639,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.4080,0.00000000,-0.15696226,1.38638985,-0.01907741,1.57079637,0.00000000,0.00000000,-0.19907004,-0.23900364,-0.01803602,0.00000000,0.00000000
9,1.410117,1786591525.337108,2747,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.7613,0.00000000,-0.18029091,1.36194241,-0.02145796,1.57079637,0.00000000,0.00000000,-0.18145852,-0.19016090,-0.01851678,0.00000000,0.00000000
