tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.156224343,left_link,medium,0.193288806
0.040000,0.155440741,left_link,medium,0.193623716
0.080000,0.154448149,left_link,medium,0.193958626
0.120000,0.153182308,left_link,medium,0.194293537
0.160000,0.151703423,left_link,medium,0.194628447
0.200000,0.150134886,left_link,medium,0.194963357
0.240000,0.148603302,left_link,medium,0.195298267
0.280000,0.147195798,left_link,medium,0.195633177
0.320000,0.145958535,left_link,medium,0.195968087
0.360000,0.144910803,left_link,medium,0.196302997
0.400000,0.144059162,left_link,medium,0.196637907
0.440000,0.143410924,left_link,medium,0.196972817
0.480000,0.142981304,left_link,medium,0.197307727
0.520000,0.142785307,left_link,medium,0.197642637
0.560000,0.142823954,left_link,medium,0.197977547
0.600000,0.143070706,left_link,medium,0.198312458
0.640000,0.143458609,left_link,medium,0.198647368
0.680000,0.143877285,left_link,medium,0.198982278
0.720000,0.144194376,left_link,medium,0.199317188
0.760000,0.144286486,left_link,medium,0.199652098
0.800000,0.144070407,left_link,medium,0.199987008
0.840000,0.143533488,left_link,medium,0.200321918
0.880000,0.142745551,left_link,medium,0.200656828
0.920000,0.141824501,left_link,medium,0.200991738
0.960000,0.140883808,left_link,medium,0.201326648
1.000000,0.139979554,left_link,medium,0.201661558
