tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.173218443,left_link,medium,0.184665580
0.040000,0.171058549,left_link,medium,0.184975198
0.080000,0.168714378,left_link,medium,0.185284817
0.120000,0.166147313,left_link,medium,0.185594435
0.160000,0.163428391,left_link,medium,0.185904054
0.200000,0.160676415,left_link,medium,0.186213672
0.240000,0.157997459,left_link,medium,0.186523291
0.280000,0.155442611,left_link,medium,0.186832909
0.320000,0.153009848,left_link,medium,0.187142527
0.360000,0.150662889,left_link,medium,0.187452146
0.400000,0.148350363,left_link,medium,0.187761764
0.440000,0.146024559,left_link,medium,0.188071383
0.480000,0.143655313,left_link,medium,0.188381001
0.520000,0.141231961,left_link,medium,0.188690620
0.560000,0.138760600,left_link,medium,0.189000238
0.600000,0.136261168,left_link,medium,0.189309856
0.640000,0.133764463,left_link,medium,0.189619475
0.680000,0.131307383,left_link,medium,0.189929093
0.720000,0.128923733,left_link,medium,0.190238712
0.760000,0.126633454,left_link,medium,0.190548330
0.800000,0.124431998,left_link,medium,0.190857949
0.840000,0.122280317,left_link,medium,0.191167567
0.880000,0.120105957,left_link,medium,0.191477185
0.920000,0.117831884,left_link,medium,0.191786804
0.960000,0.115286843,left_link,medium,0.192096422
1.000000,0.112461087,left_link,medium,0.192406041
