tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.129937910,left_link,medium,0.184665580
0.040000,0.127947211,left_link,medium,0.184975198
0.080000,0.125441355,left_link,medium,0.185284817
0.120000,0.122160243,left_link,medium,0.185594435
0.160000,0.118444166,left_link,medium,0.185904054
0.200000,0.114538500,left_link,medium,0.186213672
0.240000,0.110661361,left_link,medium,0.186523291
0.280000,0.106922864,left_link,medium,0.186832909
0.320000,0.103353163,left_link,medium,0.187142527
0.360000,0.099967558,left_link,medium,0.187452146
0.400000,0.096831019,left_link,medium,0.187761764
0.440000,0.094121390,left_link,medium,0.188071383
0.480000,0.092150127,left_link,medium,0.188381001
0.520000,0.091276721,left_link,medium,0.188690620
0.560000,0.091482694,left_link,medium,0.189000238
0.600000,0.091846909,left_link,medium,0.189309856
0.640000,0.093227657,left_link,medium,0.189619475
0.680000,0.095105444,left_link,medium,0.189929093
0.720000,0.096736797,left_link,medium,0.190238712
0.760000,0.097368693,left_link,medium,0.190548330
0.800000,0.096471656,left_link,medium,0.190857949
0.840000,0.093973867,left_link,medium,0.191167567
0.880000,0.090356891,left_link,medium,0.191477185
0.920000,0.086403206,left_link,medium,0.191786804
0.960000,0.082805563,left_link,medium,0.192096422
1.000000,0.079773625,left_link,medium,0.192406041
