t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62032124,-0.19881689,1.34190576,-0.02367605,1.57540166,0.60647757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.010000,0.62031824,-0.19881467,1.34190638,-0.02367636,1.57540089,0.60647541,-0.00088360,0.00065110,0.00018348,-0.00008824,-0.00022380,-0.00063562,-0.17128804,0.12503637,0.03606116,-0.01647324,-0.04274591,-0.12307713
0.020000,0.62029839,-0.19880021,1.34191057,-0.02367825,1.57539595,0.60646115,-0.00332073,0.00240109,0.00070874,-0.00030721,-0.00081641,-0.00238336,-0.31106632,0.22018110,0.06837617,-0.02626863,-0.07393834,-0.22269841
0.030000,0.62024767,-0.19876395,1.34192157,-0.02368273,1.57538370,0.60642479,-0.00700709,0.00496314,0.00153892,-0.00059379,-0.00166758,-0.00501690,-0.42149479,0.28785288,0.09706698,-0.03011810,-0.09463522,-0.30051346
0.040000,0.62015503,-0.19869911,1.34194224,-0.02369017,1.57536207,0.60635856,-0.01165999,0.00807463,0.00263840,-0.00089219,-0.00267765,-0.00832644,-0.50473344,0.33047041,0.12225555,-0.02875355,-0.10589444,-0.35817189
0.050000,0.62001212,-0.19860142,1.34197512,-0.02370045,1.57532992,0.60625666,-0.01701833,0.01149710,0.00397276,-0.00115392,-0.00375754,-0.01211865,-0.56294223,0.35045237,0.14406383,-0.02290688,-0.10877392,-0.39732332
0.060000,0.61981311,-0.19846885,1.34202237,-0.02371299,1.57528695,0.60611517,-0.02284260,0.01501629,0.00550882,-0.00133782,-0.00482872,-0.01621671,-0.59828112,0.35021745,0.16261379,-0.01331002,-0.10433158,-0.41961739
0.070000,0.61955444,-0.19830141,1.34208586,-0.02372683,1.57523360,0.60593184,-0.02891492,0.01844212,0.00721459,-0.00141006,-0.00582329,-0.02046030,-0.61291010,0.33218434,0.17802738,-0.00069486,-0.09362531,-0.42670369
0.080000,0.61923464,-0.19810088,1.34216713,-0.02374072,1.57517093,0.60570596,-0.03503897,0.02160871,0.00905932,-0.00134410,-0.00668388,-0.02470559,-0.60898913,0.29877173,0.19042655,0.01420668,-0.07771303,-0.42023187
0.090000,0.61885408,-0.19787057,1.34226741,-0.02375319,1.57510053,0.60543815,-0.04104007,0.02437435,0.01101348,-0.00112074,-0.00736372,-0.02882525,-0.58867817,0.25239831,0.19993327,0.03066269,-0.05765265,-0.40185154
0.100000,0.61841476,-0.19761512,1.34238767,-0.02376257,1.57502438,0.60513024,-0.04676510,0.02662154,0.01304875,-0.00072810,-0.00782663,-0.03270843,-0.55413721,0.19548277,0.20666949,0.04794126,-0.03450208,-0.37321231
0.110000,0.61792013,-0.19734019,1.34252857,-0.02376717,1.57494480,0.60478509,-0.05208258,0.02825693,0.01513804,-0.00016162,-0.00804699,-0.03626079,-0.50752620,0.13044380,0.21075716,0.06531049,-0.00931923,-0.33596381
0.120000,0.61737484,-0.19705225,1.34269052,-0.02376524,1.57486430,0.60440639,-0.05688259,0.02921140,0.01725547,0.00057597,-0.00800977,-0.03940450,-0.45100512,0.05970008,0.21231825,0.08203846,0.01683800,-0.29175566
0.130000,0.61678450,-0.19675838,1.34287369,-0.02375511,1.57478548,0.60399856,-0.06107685,0.02943998,0.01937639,0.00147458,-0.00771051,-0.04207821,-0.38673394,-0.01432970,0.21147470,0.09739326,0.04291168,-0.24223749
0.140000,0.61615554,-0.19646595,1.34307798,-0.02373526,1.57471095,0.60356654,-0.06459864,0.02892191,0.02147735,0.00251682,-0.00715534,-0.04423705,-0.31687263,-0.08922683,0.20834849,0.11064299,0.06784392,-0.18905890
0.150000,0.61549493,-0.19618242,1.34330309,-0.02370438,1.57464318,0.60311564,-0.06740286,0.02766061,0.02353615,0.00367798,-0.00636096,-0.04585268,-0.24358115,-0.16257265,0.20306155,0.12105573,0.09057680,-0.13386952
0.160000,0.61480996,-0.19591512,1.34354849,-0.02366141,1.57458443,0.60265134,-0.06946603,0.02568369,0.02553179,0.00492603,-0.00535466,-0.04691324,-0.16901948,-0.23194844,0.19573586,0.12789957,0.11005241,-0.07831898
0.170000,0.61410808,-0.19567096,1.34381345,-0.02360570,1.57453666,0.60217921,-0.07078622,0.02304294,0.02744448,0.00622163,-0.00417430,-0.04742336,-0.09534758,-0.29493554,0.18649336,0.13044262,0.12521285,-0.02405688
0.180000,0.61339665,-0.19545623,1.34409704,-0.02353698,1.57450137,0.60170464,-0.07138314,0.01981434,0.02925567,0.00751811,-0.00286831,-0.04740417,-0.02472543,-0.34911525,0.17545602,0.12795295,0.13500019,0.02726714
0.190000,0.61268270,-0.19527631,1.34439817,-0.02345551,1.57447952,0.60123276,-0.07129809,0.01609806,0.03094803,0.00876148,-0.00149573,-0.04689331,0.04068701,-0.39206887,0.16274579,0.11969865,0.13835654,0.07400347
0.200000,0.61197275,-0.19513548,1.34471555,-0.02336213,1.57447145,0.60076824,-0.07059397,0.01201845,0.03250542,0.00989043,-0.00012614,-0.04594489,0.09872976,-0.42137772,0.14848462,0.10494782,0.13422398,0.11450248
0.210000,0.61127260,-0.19503666,1.34504778,-0.02325831,1.57447672,0.60031509,-0.06935406,0.00772250,0.03391292,0.01083711,0.00116119,-0.04462864,0.14772670,-0.43524248,0.13278184,0.08327736,0.12191551,0.14747644
0.220000,0.61058716,-0.19498124,1.34539327,-0.02314622,1.57449413,0.59987664,-0.06766872,0.00336282,0.03515645,0.01153562,0.00228757,-0.04301991,0.18793712,-0.43434127,0.11569624,0.05549943,0.10222777,0.17308514
0.230000,0.60992043,-0.19496914,1.34575031,-0.02302861,1.57452171,0.59945543,-0.06562212,-0.00091943,0.03622239,0.01193048,0.00318504,-0.04118975,0.22010414,-0.41997159,0.09727396,0.02273501,0.07632828,0.19185025
0.240000,0.60927566,-0.19499894,1.34611708,-0.02290877,1.57455688,0.59905336,-0.06329097,-0.00499605,0.03709762,0.01197743,0.00379732,-0.03920398,0.24497089,-0.39343092,0.07756115,-0.01389495,0.04538461,0.20429343
