t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233457,-0.20708132,1.33600311,-0.02769337,1.57084413,0.62232697,-0.00043194,0.00025901,0.00026123,0.00007033,0.00002236,-0.00049400,-0.08379085,0.05003793,0.05066169,0.01357951,0.00425607,-0.09562225
0.020000,0.62232485,-0.20707552,1.33600899,-0.02769180,1.57084462,0.62231588,-0.00162556,0.00096673,0.00098257,0.00026220,0.00008101,-0.00185107,-0.15250506,0.08986819,0.09212283,0.02434313,0.00727724,-0.17283176
0.030000,0.62230001,-0.20706082,1.33602400,-0.02768781,1.57084583,0.62228766,-0.00343516,0.00202488,0.00207509,0.00054851,0.00016415,-0.00389361,-0.20715478,0.12025011,0.12500402,0.03250201,0.00917415,-0.23293490
0.040000,0.62225455,-0.20703416,1.33605145,-0.02768060,1.57084795,0.62223628,-0.00572515,0.00334277,0.00345611,0.00090427,0.00026111,-0.00645710,-0.24875215,0.14194304,0.14992584,0.03826725,0.01005744,-0.27723804
0.050000,0.62218432,-0.20699337,1.33609383,-0.02766957,1.57085107,0.62215729,-0.00837007,0.00483731,0.00504915,0.00130658,0.00036229,-0.00939006,-0.27830932,0.15570633,0.16750891,0.04184999,0.01003776,-0.30704756
0.060000,0.62208635,-0.20693708,1.33615291,-0.02765438,1.57085518,0.62204771,-0.01125458,0.00643300,0.00678390,0.00173469,0.00045922,-0.01255409,-0.29683845,0.16229933,0.17837383,0.04346136,0.00922576,-0.32366984
0.070000,0.62195878,-0.20686460,1.33622977,-0.02763486,1.57086021,0.62190586,-0.01427345,0.00806193,0.00859630,0.00216994,0.00054453,-0.01582386,-0.30535168,0.16248137,0.18314120,0.04331247,0.00773207,-0.32841123
0.080000,0.62180075,-0.20677593,1.33632490,-0.02761101,1.57086601,0.62173125,-0.01733160,0.00966379,0.01042847,0.00259578,0.00061196,-0.01908707,-0.30486117,0.15701180,0.18243160,0.04161445,0.00566735,-0.32257813
0.090000,0.62161230,-0.20667159,1.33643823,-0.02758302,1.57087238,0.62152447,-0.02034404,0.01118586,0.01222874,0.00299777,0.00065635,-0.02224452,-0.29637906,0.14664997,0.17686566,0.03857844,0.00314223,-0.30747689
