frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.201871,1,1,0.709511,-0.444565,0.390198,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.140102,0.175210,0.230210,0.140102,0.021312,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.383761,1,2,0.683462,-0.471361,0.380810,0.016976,0.188622,0.188622,0.200602,-0.127516,-0.131171,-0.045957,0.124680,0.166091,0.221091,0.124680,0.019439,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.542921,1,3,0.681302,-0.511579,0.377919,0.045601,0.200046,0.200046,0.276636,-0.076529,-0.181803,-0.033311,0.131462,0.161991,0.216991,0.131462,0.011880,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.692766,1,4,0.670486,-0.531854,0.389527,0.070396,0.183108,0.183108,0.103789,-0.074732,-0.167158,-0.001286,0.133135,0.162583,0.217583,0.133135,0.023364,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.831958,1,5,0.679897,-0.514256,0.393337,0.067117,0.115368,0.115368,0.089349,-0.045081,-0.106088,0.004777,0.135743,0.162485,0.217485,0.135743,0.013462,1,1,1,0,valid_streak_not_ready
6,0.980785,1,6,0.681168,-0.517377,0.392288,0.059452,0.078236,0.078236,0.041275,-0.003780,-0.075821,0.018912,0.150744,0.180541,0.235541,0.150744,0.015748,2,1,1,1,
7,1.140008,1,7,0.680984,-0.532305,0.368114,0.058817,0.038175,0.038175,0.090799,-0.000529,-0.034505,-0.016323,0.135438,0.169569,0.224569,0.135438,0.029701,3,1,1,1,
75,9.971864,1,1,0.668921,-0.572370,0.317382,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.070055,0.089065,0.144065,0.070055,0.023944,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
79,10.463668,2,1,0.664754,-0.538273,0.354846,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.117312,0.138349,0.193349,0.117312,0.033753,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
82,10.881310,2,2,0.657285,-0.527243,0.361501,0.000000,0.035826,0.035826,0.019199,-0.017971,0.026538,0.016009,0.120273,0.147649,0.202649,0.120273,0.038146,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
86,11.415283,3,1,0.695145,-0.522572,0.375433,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.123149,0.140740,0.195740,0.123149,0.015711,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
87,11.569461,3,2,0.698986,-0.522690,0.372166,0.000000,0.033782,0.033782,0.101175,0.025725,-0.000793,-0.021882,0.123525,0.143450,0.198450,0.123525,0.027538,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
89,11.846978,3,3,0.686523,-0.513108,0.369297,0.000000,0.033144,0.033144,0.030532,-0.020129,0.022093,-0.014325,0.128940,0.150572,0.205572,0.128940,0.024319,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
90,12.016752,3,4,0.702128,-0.486142,0.376123,0.018863,0.062373,0.062373,0.139029,0.011739,0.061247,0.001161,0.123082,0.148236,0.203236,0.123082,0.016363,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
91,12.172986,3,5,0.704285,-0.468804,0.371594,0.036547,0.072406,0.072406,0.082457,0.012104,0.071206,-0.005084,0.121975,0.154684,0.209684,0.121975,0.019501,0,0,0,0,"speed_ok,valid_streak_not_ready"
92,12.347410,3,6,0.692188,-0.485738,0.370063,0.000000,0.048599,0.048599,0.057399,-0.008779,0.047723,-0.002716,0.125977,0.147708,0.202708,0.125977,0.026650,0,0,0,0,"speed_ok,valid_streak_not_ready"
93,12.500737,3,7,0.686722,-0.467450,0.368465,0.016518,0.070201,0.070201,0.106309,0.000305,0.070189,-0.001278,0.127074,0.146162,0.201162,0.127074,0.025986,0,0,0,0,"speed_ok,valid_streak_not_ready"
94,12.653977,3,8,0.698262,-0.462026,0.374453,0.024261,0.038020,0.038020,0.049433,-0.006002,0.037453,-0.002594,0.124433,0.143238,0.198238,0.124433,0.021586,0,0,0,0,"speed_ok,valid_streak_not_ready"
95,12.821418,3,9,0.692548,-0.457680,0.373115,0.028700,0.025111,0.025111,0.048107,-0.018146,0.017198,0.002352,0.121562,0.142111,0.197111,0.121562,0.024999,0,0,0,0,"speed_ok,valid_streak_not_ready"
96,12.992402,3,10,0.688409,-0.453384,0.368215,0.030495,0.050281,0.050281,0.052811,-0.005823,0.049862,-0.002849,0.124533,0.146086,0.201086,0.124533,0.031367,0,0,0,0,"speed_ok,valid_streak_not_ready"
