t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.60780329,-0.20019363,1.34467340,-0.02587427,1.57084036,0.60779595,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.60780056,-0.20019302,1.34467465,-0.02587427,1.57083999,0.60779429,-0.00080114,0.00017941,0.00037115,-0.00000017,-0.00010922,-0.00049120,-0.15421897,0.03483812,0.07154694,0.00011461,-0.02084420,-0.09507230
0.020000,0.60778271,-0.20018898,1.34468294,-0.02587426,1.57083758,0.60778327,-0.00296863,0.00067656,0.00137922,0.00000511,-0.00039769,-0.00184026,-0.27371174,0.06361669,0.12757766,0.00107574,-0.03593122,-0.17178782
0.030000,0.60773775,-0.20017863,1.34470386,-0.02587412,1.57083162,0.60775522,-0.00616845,0.00143287,0.00287489,0.00002385,-0.00081023,-0.00387012,-0.36112825,0.08673421,0.16926344,0.00279024,-0.04573431,-0.23145072
0.040000,0.60765693,-0.20015964,1.34474160,-0.02587371,1.57082113,0.60770415,-0.01009310,0.00239371,0.00472057,0.00006312,-0.00129634,-0.00641678,-0.41911844,0.10458920,0.19777553,0.00516497,-0.05072671,-0.27536517
0.050000,0.60753442,-0.20013024,1.34479902,-0.02587277,1.57080560,0.60762566,-0.01446157,0.00350844,0.00679039,0.00012904,-0.00181030,-0.00932927,-0.45033224,0.11758015,0.21428522,0.00810678,-0.05138168,-0.30483533
0.060000,0.60736707,-0.20008912,1.34487778,-0.02587102,1.57078497,0.60751680,-0.01901933,0.00473042,0.00897018,0.00022684,-0.00231110,-0.01246968,-0.45741960,0.12610557,0.21996377,0.01152254,-0.04817246,-0.32116538
0.070000,0.60715416,-0.20003542,1.34497845,-0.02586812,1.57075954,0.60737593,-0.02353837,0.00601700,0.01115747,0.00036076,-0.00276245,-0.01571313,-0.44303045,0.13056397,0.21598246,0.01531911,-0.04157231,-0.32565947
0.080000,0.60689711,-0.19996869,1.34510065,-0.02586368,1.57072999,0.60720257,-0.02781718,0.00732948,0.01326153,0.00053418,-0.00313282,-0.01894777,-0.40981473,0.13135385,0.20351257,0.01940333,-0.03205446,-0.31962177
0.090000,0.60659920,-0.19988886,1.34524314,-0.02585729,1.57069725,0.60699733,-0.03168074,0.00863317,0.01520333,0.00074948,-0.00339539,-0.02207480,-0.36042237,0.12887371,0.18372535,0.02368207,-0.02009219,-0.30435645
0.100000,0.60626537,-0.19979616,1.34540395,-0.02584854,1.57066251,0.60676172,-0.03498054,0.00989738,0.01691555,0.00100816,-0.00352809,-0.02500848,-0.29750332,0.12352206,0.15779209,0.02806218,-0.00615872,-0.28116768
0.110000,0.60590188,-0.19969113,1.34558050,-0.02583698,1.57062718,0.60649805,-0.03759455,0.01109537,0.01834259,0.00131075,-0.00351357,-0.02767609,-0.22370752,0.11569741,0.12688406,0.03245052,0.00927269,-0.25135961
0.120000,0.60551609,-0.19957455,1.34576970,-0.02582218,1.57059278,0.60620929,-0.03942727,0.01220441,0.01944055,0.00165688,-0.00333922,-0.03001796,-0.14168490,0.10579825,0.09217252,0.03675396,0.02572879,-0.21623642
0.130000,0.60511617,-0.19944740,1.34596810,-0.02580370,1.57056095,0.60589893,-0.04040966,0.01320575,0.02017726,0.00204524,-0.00299716,-0.03198745,-0.05408540,0.09422310,0.05482876,0.04087933,0.04273633,-0.17710227
0.140000,0.60471088,-0.19931084,1.34617197,-0.02578114,1.57053340,0.60557089,-0.04049922,0.01408461,0.02053226,0.00247357,-0.00248423,-0.03355098,0.03644104,0.08137046,0.01602404,0.04473352,0.05982206,-0.13526132
0.150000,0.60430922,-0.19916615,1.34637744,-0.02575411,1.57051183,0.60522934,-0.03967992,0.01483023,0.02049678,0.00293869,-0.00180203,-0.03468800,0.12724448,0.06763883,-0.02307037,0.04822336,0.07651274,-0.09201775
0.160000,0.60392027,-0.19901471,1.34658061,-0.02572226,1.57049791,0.60487858,-0.03796224,0.01543579,0.02007379,0.00343651,-0.00095687,-0.03539101,0.21567499,0.05342672,-0.06128319,0.05125573,0.09233510,-0.04867572
0.170000,0.60355285,-0.19885792,1.34677767,-0.02568529,1.57049320,0.60452295,-0.03538316,0.01589849,0.01927796,0.00396197,0.00004020,-0.03566554,0.29908262,0.03913264,-0.09744315,0.05373747,0.10681592,-0.00653939
0.180000,0.60321527,-0.19869721,1.34696502,-0.02564295,1.57049916,0.60416664,-0.03200616,0.01621950,0.01813567,0.00450911,0.00117340,-0.03553016,0.37481744,0.02515508,-0.13037898,0.05557544,0.11948192,0.03308707
0.190000,0.60291509,-0.19853398,1.34713936,-0.02559506,1.57051706,0.60381361,-0.02792122,0.01640397,0.01668503,0.00507102,0.00242221,-0.03501651,0.44022951,0.01189255,-0.15891941,0.05667651,0.12985988,0.06889949
0.200000,0.60265882,-0.19836955,1.34729786,-0.02554150,1.57054791,0.60346742,-0.02324481,0.01646106,0.01497584,0.00563987,0.00376139,-0.03416923,0.49266889,-0.00025644,-0.18189316,0.05694752,0.13747653,0.09959372
0.210000,0.60245170,-0.19820514,1.34743822,-0.02548227,1.57059249,0.60313114,-0.01811835,0.01640369,0.01306893,0.00620697,0.00516125,-0.03304531,0.53011134,-0.01097096,-0.19840748,0.05632294,0.14197657,0.12415648
0.220000,0.60229746,-0.19804181,1.34755879,-0.02541740,1.57065123,0.60280723,-0.01269098,0.01624646,0.01102848,0.00676350,0.00659092,-0.03170604,0.55303533,-0.02024039,-0.20868366,0.05484765,0.14347644,0.14273813
0.230000,0.60219841,-0.19788050,1.34765854,-0.02534706,1.57072431,0.60249755,-0.00710236,0.01600348,0.00891438,0.00730132,0.00802156,-0.03020902,0.56254506,-0.02813169,-0.21322151,0.05259410,0.14221053,0.15577994
0.240000,0.60215552,-0.19772198,1.34773701,-0.02527146,1.57081158,0.60220340,-0.00148111,0.01568820,0.00678152,0.00781303,0.00942669,-0.02860744,0.55974471,-0.03471180,-0.21252084,0.04963478,0.13841322,0.16372316
0.250000,0.60216851,-0.19756693,1.34779428,-0.02519091,1.57091267,0.60192559,0.00405518,0.01531339,0.00467976,0.00829191,0.01078217,-0.02695008,0.54573846,-0.04004768,-0.20708145,0.04604215,0.13231891,0.16700906
0.260000,0.60223598,-0.19741588,1.34783086,-0.02510575,1.57102698,0.60166444,0.00939998,0.01489117,0.00265402,0.00873200,0.01206619,-0.02528131,0.52163048,-0.04420628,-0.19740315,0.04188870,0.12416196,0.16607890
0.270000,0.60235555,-0.19726923,1.34784774,-0.02501641,1.57115370,0.60141986,0.01445780,0.01443296,0.00074416,0.00912806,0.01325931,-0.02364108,0.48852496,-0.04725455,-0.18398575,0.03724689,0.11417678,0.16137393
0.280000,0.60252390,-0.19712730,1.34784625,-0.02492335,1.57129181,0.60119140,0.01914417,0.01394955,-0.00101490,0.00947555,0.01434442,-0.02206494,0.44752608,-0.04925944,-0.16732907,0.03218919,0.10259775,0.15333542
0.290000,0.60273695,-0.19699029,1.34782805,-0.02482708,1.57144017,0.60097825,0.02338569,0.01345103,-0.00259329,0.00977069,0.01530674,-0.02058402,0.39973802,-0.05028792,-0.14793289,0.02678809,0.08965924,0.14240464
