tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.159928477,left_link,medium,0.181022246
0.040000,0.158514959,left_link,medium,0.181238836
0.080000,0.156839436,left_link,medium,0.181455426
0.120000,0.154849132,left_link,medium,0.181672016
0.160000,0.152642520,left_link,medium,0.181888606
0.200000,0.150383543,left_link,medium,0.182105196
0.240000,0.148217048,left_link,medium,0.182321786
0.280000,0.146209579,left_link,medium,0.182538375
0.320000,0.144353000,left_link,medium,0.182754965
0.360000,0.142592519,left_link,medium,0.182971555
0.400000,0.140855443,left_link,medium,0.183188145
0.440000,0.139079524,left_link,medium,0.183404735
0.480000,0.137233082,left_link,medium,0.183621325
0.520000,0.135314185,left_link,medium,0.183837915
0.560000,0.133341587,left_link,medium,0.184054504
0.600000,0.131345342,left_link,medium,0.184271094
0.640000,0.129357511,left_link,medium,0.184487684
0.680000,0.127404390,left_link,medium,0.184704274
0.720000,0.125502501,left_link,medium,0.184920864
0.760000,0.123656066,left_link,medium,0.185137454
0.800000,0.121854527,left_link,medium,0.185354044
0.840000,0.120070249,left_link,medium,0.185570633
0.880000,0.118261048,left_link,medium,0.185787223
0.920000,0.116385026,left_link,medium,0.186003813
0.960000,0.114420230,left_link,medium,0.186220403
1.000000,0.112384419,left_link,medium,0.186436993
