t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.60780329,-0.20019363,1.34467340,-0.02587427,1.57084036,0.60779595,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.60780163,-0.20019290,1.34467431,-0.02587409,1.57084035,0.60779430,-0.00048934,0.00021428,0.00026882,0.00005321,-0.00000111,-0.00048888,-0.09471715,0.04147656,0.05203120,0.01029841,-0.00021547,-0.09462775
0.020000,0.60779065,-0.20018810,1.34468034,-0.02587290,1.57084033,0.60778333,-0.00183350,0.00080288,0.00100715,0.00019934,-0.00000417,-0.00183176,-0.17118282,0.07495871,0.09402123,0.01860963,-0.00038851,-0.17101813
0.030000,0.60776270,-0.20017586,1.34469569,-0.02586986,1.57084027,0.60775540,-0.00385647,0.00168870,0.00211815,0.00041925,-0.00000875,-0.00385276,-0.23069253,0.10101404,0.12668389,0.02507490,-0.00052220,-0.23046586
0.040000,0.60771180,-0.20015357,1.34472364,-0.02586432,1.57084015,0.60770456,-0.00639515,0.00280030,0.00351212,0.00069516,-0.00001449,-0.00638892,-0.27454178,0.12021016,0.15073297,0.02983547,-0.00061961,-0.27426566
0.050000,0.60763358,-0.20011932,1.34476660,-0.02585582,1.57083997,0.60762641,-0.00929942,0.00407193,0.00510648,0.00101074,-0.00002103,-0.00929023,-0.30402608,0.13311467,0.16688226,0.03303258,-0.00068381,-0.30371228
0.060000,0.60752505,-0.20007180,1.34482619,-0.02584403,1.57083973,0.60751800,-0.01243211,0.00544351,0.00682581,0.00135107,-0.00002807,-0.01241964,-0.32044093,0.14029516,0.17584556,0.03480749,-0.00071789,-0.32010043
0.070000,0.60738459,-0.20001029,1.34490330,-0.02582876,1.57083941,0.60737767,-0.01566900,0.00686065,0.00860182,0.00170262,-0.00003530,-0.01565303,-0.32508186,0.14231924,0.17833666,0.03530144,-0.00072491,-0.32472485
0.080000,0.60721170,-0.19993460,1.34499821,-0.02580998,1.57083902,0.60720496,-0.01889882,0.00827460,0.01037335,0.00205330,-0.00004249,-0.01887924,-0.31924436,0.13975450,0.17506936,0.03465568,-0.00070796,-0.31888025
0.090000,0.60700696,-0.19984496,1.34511058,-0.02578774,1.57083856,0.60700044,-0.02202327,0.00964233,0.01208639,0.00239241,-0.00004939,-0.02200005,-0.30422394,0.13316856,0.16675743,0.03301144,-0.00067012,-0.30386138
0.100000,0.60677187,-0.19974203,1.34523958,-0.02576220,1.57083804,0.60676560,-0.02495701,0.01092646,0.01369406,0.00271067,-0.00005583,-0.02493020,-0.28131611,0.12312900,0.15411469,0.03050999,-0.00061445,-0.28096296
0.110000,0.60650870,-0.19962681,1.34538397,-0.02573362,1.57083745,0.60650271,-0.02762762,0.01209529,0.01515663,0.00300022,-0.00006163,-0.02759736,-0.25181639,0.11020343,0.13785491,0.02729257,-0.00054403,-0.25147971
0.120000,0.60622040,-0.19950060,1.34554212,-0.02570231,1.57083681,0.60621473,-0.02997568,0.01312280,0.01644148,0.00325461,-0.00006667,-0.02994216,-0.21702027,0.09495945,0.11869190,0.02350042,-0.00046194,-0.21670637
0.130000,0.60591042,-0.19936490,1.34571212,-0.02566866,1.57083612,0.60590510,-0.03195469,0.01398864,0.01752317,0.00346879,-0.00007084,-0.03191817,-0.17822326,0.07796466,0.09733945,0.01927479,-0.00037126,-0.17793767
0.140000,0.60558265,-0.19922141,1.34589185,-0.02563308,1.57083539,0.60557770,-0.03353113,0.01467815,0.01838335,0.00363913,-0.00007408,-0.03349191,-0.13672088,0.05978667,0.07451134,0.01475693,-0.00027506,-0.13646832
0.150000,0.60524121,-0.19907195,1.34607901,-0.02559603,1.57083464,0.60523667,-0.03468441,0.01518233,0.01901085,0.00376342,-0.00007633,-0.03464285,-0.09380863,0.04099306,0.05092138,0.01008808,-0.00017641,-0.09359306
0.160000,0.60489039,-0.19891839,1.34627127,-0.02555797,1.57083387,0.60488628,-0.03540692,0.01549785,0.01940162,0.00384086,-0.00007761,-0.03536340,-0.05078203,0.02215144,0.02728335,0.00540949,-0.00007840,-0.05060662
0.170000,0.60453449,-0.19876262,1.34646627,-0.02551937,1.57083309,0.60453082,-0.03570399,0.01562709,0.01955874,0.00387205,-0.00007792,-0.03565893,-0.00893657,0.00382942,0.00431105,0.00086241,0.00001590,-0.00880373
0.180000,0.60417767,-0.19860645,1.34666170,-0.02548068,1.57083231,0.60417446,-0.03559391,0.01557806,0.01949244,0.00385902,-0.00007731,-0.03554774,0.03043223,-0.01340542,-0.01728172,-0.00341191,0.00010341,0.03052089
0.190000,0.60382387,-0.19845160,1.34685543,-0.02544232,1.57083155,0.60382112,-0.03510792,0.01536449,0.01922008,0.00380519,-0.00007588,-0.03506109,0.06602887,-0.02898546,-0.03678119,-0.00727223,0.00018106,0.06607251
0.200000,0.60347662,-0.19829964,1.34704550,-0.02540469,1.57083080,0.60347435,-0.03429022,0.01500576,0.01876617,0.00371542,-0.00007373,-0.03424318,0.09655783,-0.04234311,-0.05347355,-0.01057731,0.00024578,0.09655640
0.210000,0.60313898,-0.19815189,1.34723025,-0.02536812,1.57083007,0.60313717,-0.03319725,0.01452662,0.01816195,0.00359589,-0.00007102,-0.03315045,0.12101249,-0.05303740,-0.06680473,-0.01321748,0.00029520,0.12096664
0.220000,0.60281339,-0.19800942,1.34740835,-0.02533285,1.57082938,0.60281205,-0.03188972,0.01395367,0.01744100,0.00345323,-0.00006788,-0.03184360,0.13954167,-0.06113396,-0.07685957,-0.01520951,0.00032985,0.13945259
0.230000,0.60250171,-0.19787305,1.34757879,-0.02529911,1.57082872,0.60250083,-0.03042471,0.01331195,0.01663486,0.00329370,-0.00006446,-0.03037968,0.15258311,-0.06682502,-0.08388261,-0.01660172,0.00035098,0.15245238
0.240000,0.60220525,-0.19774333,1.34774086,-0.02526702,1.57082809,0.60220480,-0.02885489,0.01262455,0.01577264,0.00312304,-0.00006090,-0.02881138,0.16057451,-0.07030283,-0.08811842,-0.01744246,0.00035982,0.16040418
0.250000,0.60192480,-0.19762064,1.34789414,-0.02523667,1.57082750,0.60192478,-0.02722859,0.01191263,0.01488097,0.00294653,-0.00005730,-0.02718696,0.16395358,-0.07175965,-0.08981154,-0.01778006,0.00035763,0.16374614
0.260000,0.60166072,-0.19750510,1.34803846,-0.02520809,1.57082694,0.60166111,-0.02558974,0.01119545,0.01398407,0.00276895,-0.00005378,-0.02555036,0.16315805,-0.07138772,-0.08920653,-0.01766288,0.00034564,0.16291642
0.270000,0.60141292,-0.19739669,1.34817388,-0.02518128,1.57082642,0.60141369,-0.02397789,0.01049034,0.01310369,0.00259462,-0.00005042,-0.02394108,0.15862563,-0.06937930,-0.08654794,-0.01713925,0.00032511,0.15835317
0.280000,0.60118095,-0.19729520,1.34830066,-0.02515617,1.57082594,0.60118207,-0.02242822,0.00981268,0.01225914,0.00242736,-0.00004730,-0.02239428,0.15079404,-0.06592663,-0.08208033,-0.01625752,0.00029727,0.15049454
0.290000,0.60096404,-0.19720030,1.34841924,-0.02513269,1.57082548,0.60096549,-0.02097154,0.00917598,0.01146729,0.00227050,-0.00004449,-0.02094071,0.14010098,-0.06122197,-0.07604825,-0.01506602,0.00026337,0.13977870
0.300000,0.60076112,-0.19711151,1.34853023,-0.02511072,1.57082504,0.60076286,-0.01963428,0.00859178,0.01074257,0.00212691,-0.00004205,-0.01960677,0.12698417,-0.05545756,-0.06869625,-0.01361309,0.00022466,0.12664379
0.310000,0.60057088,-0.19702825,1.34863435,-0.02509010,1.57082463,0.60057288,-0.01843848,0.00806972,0.01009695,0.00199895,-0.00004001,-0.01841444,0.11188134,-0.04882565,-0.06026889,-0.01194708,0.00018237,0.11152798
0.320000,0.60039182,-0.19694988,1.34873246,-0.02507068,1.57082424,0.60039404,-0.01740182,0.00761751,0.00953997,0.00188852,-0.00003841,-0.01738135,0.09523018,-0.04151849,-0.05101073,-0.01011632,0.00013776,0.09486941
0.330000,0.60022227,-0.19687565,1.34882547,-0.02505227,1.57082386,0.60022468,-0.01653758,0.00724096,0.00907869,0.00179701,-0.00003726,-0.01652074,0.07746843,-0.03372834,-0.04116630,-0.00816917,0.00009206,0.07710624
0.340000,0.60006046,-0.19680479,1.34891437,-0.02503467,1.57082350,0.60006302,-0.01585469,0.00694392,0.00871778,0.00172536,-0.00003657,-0.01584145,0.05903379,-0.02564744,-0.03098018,-0.00615396,0.00004653,0.05867662
0.350000,0.59990456,-0.19673650,1.34900017,-0.02501769,1.57082313,0.59990723,-0.01535769,0.00672834,0.00845941,0.00167400,-0.00003633,-0.01534796,0.04036398,-0.01746803,-0.02069690,-0.00411902,0.00000240,0.04001872
0.360000,0.59975269,-0.19666996,1.34908390,-0.02500113,1.57082277,0.59975544,-0.01504674,0.00659424,0.00830335,0.00164289,-0.00003651,-0.01504037,0.02189671,-0.00938238,-0.01056104,-0.00211271,-0.00003908,0.02157068
0.370000,0.59960302,-0.19660435,1.34916657,-0.02498477,1.57082240,0.59960582,-0.01491762,0.00653974,0.00824689,0.00163149,-0.00003710,-0.01491439,0.00406970,-0.00158273,-0.00081713,-0.00018336,-0.00007666,0.00377066
0.380000,0.59945376,-0.19653891,1.34924915,-0.02496843,1.57082203,0.59945658,-0.01496175,0.00656099,0.00828488,0.00163880,-0.00003803,-0.01496134,-0.01267933,0.00573867,0.00829026,0.00162068,-0.00010911,-0.01294318
