tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.163266807,left_link,medium,0.176206941
0.039062,0.167278460,left_link,medium,0.176965820
0.078125,0.171168553,left_link,medium,0.177724698
0.117188,0.174881278,left_link,medium,0.178483577
0.156250,0.178497802,left_link,medium,0.179242455
0.195312,0.182160896,left_link,medium,0.180001334
0.234375,0.186001359,left_link,medium,0.180760212
0.273438,0.190083038,left_link,medium,0.181519091
0.312500,0.194401541,left_link,medium,0.182277969
0.351562,0.198908539,left_link,medium,0.183036848
0.390625,0.203536690,left_link,medium,0.183795726
0.429688,0.208223790,left_link,medium,0.184554605
0.468750,0.212932256,left_link,medium,0.185313483
0.507812,0.217651774,left_link,medium,0.186072362
0.546875,0.222391808,left_link,medium,0.186831240
0.585938,0.227173538,left_link,medium,0.187590119
0.625000,0.232022053,left_link,medium,0.188348997
0.664062,0.236959342,left_link,medium,0.189107876
0.703125,0.242000078,left_link,medium,0.189866754
0.742188,0.247149514,left_link,medium,0.190625633
0.781250,0.252401591,left_link,medium,0.191384511
0.820312,0.257737090,left_link,medium,0.192143390
0.859375,0.263122983,left_link,medium,0.192902268
0.898438,0.268519871,left_link,medium,0.193661147
0.937500,0.273896995,left_link,medium,0.194420025
0.976562,0.279247860,left_link,medium,0.195178904
1.015625,0.284603653,left_link,medium,0.195937782
1.054688,0.289988444,left_link,medium,0.196696661
1.093750,0.295410554,left_link,medium,0.197455539
1.132812,0.300884140,left_link,medium,0.198214418
1.171875,0.306397113,left_link,medium,0.198973296
1.210938,0.311945152,left_link,medium,0.199732175
1.250000,0.317544250,left_link,medium,0.200491053
