frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
8,1.112991,1,1,0.612059,-0.603958,0.353698,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.130539,0.155538,0.210538,0.130539,0.036088,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
11,1.528865,1,2,0.608318,-0.626526,0.347241,0.000000,0.056911,0.056911,0.063921,-0.008956,-0.054034,-0.015459,0.115650,0.146672,0.201672,0.115650,0.038915,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
20,2.747528,2,1,0.613219,-0.617729,0.359374,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.111545,0.129716,0.184716,0.111545,0.033315,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
23,3.137122,2,2,0.617222,-0.619501,0.363316,0.000000,0.014692,0.014692,0.009033,0.009983,-0.004421,0.009831,0.120630,0.143396,0.198396,0.120630,0.035105,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
24,3.281943,2,3,0.608430,-0.618082,0.351688,0.000000,0.016605,0.016605,0.061813,-0.008774,-0.000647,-0.014082,0.114776,0.137091,0.192091,0.114776,0.035621,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
27,3.716545,2,4,0.605350,-0.625484,0.353441,0.000000,0.013206,0.013206,0.025955,-0.008286,-0.008167,-0.006248,0.118426,0.143211,0.198211,0.118426,0.044071,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
28,3.848784,2,5,0.621726,-0.607689,0.351980,0.010033,0.013630,0.013630,0.064384,0.007682,0.009066,-0.006677,0.126611,0.144410,0.199410,0.126611,0.021393,0,0,0,0,"speed_ok,valid_streak_not_ready"
29,3.990765,2,6,0.613768,-0.602860,0.354628,0.000000,0.022398,0.022398,0.081581,-0.004052,0.019527,-0.010194,0.118010,0.145774,0.200774,0.118010,0.033829,0,0,0,0,"speed_ok,valid_streak_not_ready"
33,4.531423,3,1,0.609451,-0.615093,0.356634,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.112251,0.129837,0.184837,0.112251,0.033476,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
36,4.944222,3,2,0.613611,-0.610758,0.361045,0.000000,0.018132,0.018132,0.034157,0.010120,0.010545,0.010732,0.120028,0.144827,0.199827,0.120028,0.037876,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
38,5.233396,1,1,0.622354,-0.621512,0.352008,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.119586,0.151883,0.206883,0.119586,0.028824,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
43,5.891843,2,1,0.610136,-0.618790,0.352080,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.119015,0.138448,0.193448,0.119015,0.034980,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
49,6.720251,3,1,0.616765,-0.608095,0.361267,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.113659,0.132396,0.187396,0.113659,0.031884,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
51,7.033858,3,2,0.608057,-0.613923,0.352228,0.000000,0.049956,0.049956,0.032992,-0.031436,-0.021040,-0.032630,0.124620,0.150665,0.205665,0.124620,0.039035,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
55,7.582123,4,1,0.627454,-0.595548,0.355808,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.108910,0.135157,0.190157,0.108910,0.023939,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
56,7.732799,4,2,0.620846,-0.605016,0.359373,0.000000,0.079595,0.079595,0.027149,-0.043529,-0.062364,0.023477,0.114361,0.140124,0.195124,0.114361,0.029779,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
61,8.390525,5,1,0.619030,-0.606786,0.361436,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.111294,0.137086,0.192086,0.111294,0.027712,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
