frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.186564,0,1,0,116,0.653326,-0.586526,0.360850,0.109527,0.146556,0.077765,0.208697,
3,0.468047,0,1,0,131,0.654270,-0.586620,0.355967,0.113027,0.171070,0.087245,0.213100,
6,0.877694,0,1,0,127,0.656049,-0.586131,0.354691,0.110000,0.165449,0.094808,0.203739,
9,1.290552,0,1,0,123,0.656234,-0.586027,0.355955,0.112380,0.163021,0.070721,0.206262,
13,1.823378,0,1,0,98,0.655327,-0.586495,0.353356,0.114510,0.155276,0.053536,0.200729,
16,2.235211,0,1,0,112,0.658025,-0.587285,0.348663,0.116218,0.173319,0.067596,0.210039,
17,2.377178,0,1,0,119,0.654877,-0.584332,0.362165,0.106660,0.151501,0.070139,0.207497,0.097133
22,3.038118,0,1,0,106,0.658281,-0.584161,0.349078,0.113614,0.174715,0.094190,0.208011,
24,3.334001,0,1,0,112,0.655234,-0.582344,0.356216,0.109054,0.173511,0.054452,0.202278,
28,3.866309,0,1,0,119,0.654897,-0.583051,0.354785,0.111564,0.170420,0.076990,0.203722,
35,4.812859,0,1,0,119,0.659598,-0.585098,0.350387,0.117236,0.189492,0.064722,0.215599,
37,5.093992,0,1,0,126,0.652513,-0.585762,0.342515,0.127717,0.208572,0.078828,0.224244,
40,5.517048,0,1,0,129,0.658462,-0.585478,0.351742,0.115998,0.189975,0.066105,0.218612,
41,5.685134,0,1,0,116,0.661307,-0.581686,0.354009,0.112042,0.161135,0.067175,0.211159,0.032571
42,5.824554,0,1,0,134,0.661352,-0.578439,0.358197,0.112441,0.161645,0.072102,0.203791,0.036618
44,6.115378,0,1,0,131,0.658993,-0.579487,0.349498,0.122833,0.197852,0.076201,0.215927,
45,6.263223,0,1,0,137,0.664322,-0.574703,0.357981,0.114611,0.164442,0.114239,0.205988,0.073875
47,6.556382,0,1,0,140,0.666203,-0.567221,0.368497,0.108477,0.142807,0.120035,0.203623,
48,6.716659,0,1,0,155,0.666432,-0.567026,0.355712,0.119619,0.194770,0.111327,0.216195,0.081872
49,6.885401,0,1,0,158,0.663635,-0.558100,0.367581,0.112705,0.170109,0.116222,0.210222,0.090106
50,7.051326,0,1,0,160,0.666432,-0.553419,0.371613,0.111636,0.159755,0.120063,0.205180,0.040682
51,7.196466,0,1,0,149,0.667665,-0.556692,0.357470,0.119103,0.174872,0.114043,0.211808,0.098626
52,7.342622,0,1,0,186,0.671665,-0.553582,0.365372,0.118470,0.144895,0.187621,0.208752,0.063204
53,7.521720,0,1,0,167,0.669053,-0.553404,0.365762,0.118350,0.171662,0.135553,0.202846,0.016001
54,7.666415,0,1,0,192,0.668296,-0.545434,0.369949,0.115804,0.150593,0.136812,0.206109,0.057469
55,7.816395,0,1,0,211,0.670411,-0.545547,0.369761,0.119720,0.161669,0.188783,0.205862,0.014148
56,7.971457,0,1,0,175,0.670772,-0.547246,0.369368,0.120315,0.162353,0.154404,0.215157,0.011463
57,8.125725,0,1,0,171,0.668042,-0.546849,0.378807,0.114269,0.169826,0.146087,0.200932,0.064462
58,8.277672,0,1,0,174,0.666970,-0.543840,0.371153,0.115719,0.172287,0.136119,0.205445,0.053831
59,8.426251,0,1,0,168,0.674377,-0.540859,0.376263,0.114506,0.144121,0.171961,0.217141,0.064008
60,8.584782,0,1,0,227,0.671811,-0.550834,0.365733,0.133013,0.168059,0.233316,0.211896,0.093761
61,8.738364,0,1,0,190,0.674421,-0.542108,0.370479,0.119369,0.134183,0.211316,0.202582,0.067770
62,8.887064,0,1,0,224,0.672580,-0.550403,0.368654,0.127882,0.152887,0.230219,0.208815,0.058561
63,9.050409,0,1,0,244,0.670138,-0.535533,0.375282,0.124682,0.155278,0.198216,0.213664,0.103380
64,9.203771,0,1,0,174,0.671543,-0.540921,0.383129,0.123897,0.159639,0.200026,0.196809,0.060567
65,9.353555,0,1,0,231,0.672009,-0.514630,0.380520,0.123484,0.138631,0.187130,0.196905,0.175858
66,9.508675,0,1,0,241,0.669251,-0.513555,0.379949,0.125994,0.153980,0.202570,0.206759,0.019575
67,9.671420,0,1,0,251,0.671540,-0.510899,0.380449,0.123477,0.139971,0.200013,0.201063,0.021880
68,9.825626,0,1,0,218,0.672679,-0.497838,0.383894,0.126032,0.174078,0.203832,0.203778,0.086433
69,9.989684,0,1,0,253,0.669305,-0.490373,0.379314,0.129279,0.151904,0.211613,0.207076,0.058845
70,10.156353,0,1,0,233,0.668641,-0.475603,0.386029,0.128936,0.158164,0.205125,0.199323,0.096020
71,10.309703,0,1,0,232,0.675143,-0.476166,0.371380,0.131927,0.134732,0.247219,0.206260,0.103194
72,10.462218,0,1,0,260,0.667658,-0.447236,0.379611,0.131808,0.149762,0.224073,0.214355,0.204669
73,10.607957,0,1,0,243,0.667072,-0.436621,0.386093,0.126107,0.152710,0.211225,0.201566,0.085401
74,10.758140,0,1,0,251,0.673642,-0.427551,0.377455,0.126138,0.157146,0.220130,0.197000,0.094105
75,10.920124,0,1,0,245,0.670056,-0.429700,0.383784,0.123756,0.166003,0.216283,0.200424,0.048058
76,11.075706,0,1,0,256,0.671737,-0.419623,0.376439,0.127742,0.135413,0.225307,0.205180,0.077516
77,11.242617,0,1,0,259,0.667737,-0.417466,0.386744,0.127216,0.174884,0.216763,0.204287,0.072379
78,11.404649,0,1,0,238,0.669601,-0.409966,0.381613,0.128293,0.148316,0.194957,0.198426,0.053754
79,11.578987,0,1,0,241,0.673715,-0.396747,0.379605,0.128579,0.148842,0.212644,0.213977,0.082561
80,11.754422,0,1,0,196,0.669244,-0.386191,0.383898,0.126882,0.142835,0.202029,0.199016,0.070149
81,11.910652,0,1,0,247,0.663772,-0.367327,0.383394,0.133115,0.165170,0.220307,0.210269,0.121908
82,12.067609,0,1,0,266,0.665525,-0.359446,0.371879,0.131321,0.181057,0.235906,0.206874,0.089800
83,12.216967,0,1,0,253,0.666316,-0.358174,0.375294,0.131814,0.159979,0.220050,0.213463,0.025572
84,12.382147,0,1,0,214,0.669679,-0.348088,0.388255,0.125970,0.153595,0.207537,0.200821,0.099484
85,12.541328,0,1,0,216,0.667879,-0.327831,0.383505,0.121719,0.152314,0.191721,0.198937,0.132331
86,12.691969,0,1,0,227,0.668210,-0.323961,0.380509,0.124883,0.148117,0.199134,0.206323,0.031367
87,12.863234,0,1,0,216,0.672381,-0.320115,0.378824,0.127393,0.138553,0.193617,0.196170,0.035560
88,13.022109,0,1,0,237,0.665072,-0.316140,0.389379,0.127051,0.146014,0.197991,0.205184,0.084662
89,13.178788,0,1,0,218,0.672979,-0.300657,0.375641,0.123872,0.147479,0.203377,0.198058,0.139619
90,13.335659,0,1,0,217,0.664692,-0.288692,0.392301,0.122311,0.129427,0.189964,0.203018,0.141861
91,13.494274,0,1,0,242,0.668663,-0.284364,0.378149,0.131199,0.154385,0.219940,0.215287,0.096895
92,13.654857,0,1,0,209,0.671608,-0.277242,0.377118,0.126892,0.145407,0.210172,0.197810,0.047723
93,13.818188,0,1,0,192,0.671913,-0.270115,0.382215,0.126837,0.139671,0.194116,0.200351,0.053954
94,13.982747,0,1,0,206,0.671676,-0.259086,0.383754,0.122803,0.150588,0.194360,0.198845,0.070404
95,14.141974,0,1,0,214,0.666965,-0.245949,0.378608,0.124089,0.136527,0.192031,0.201218,0.089781
96,14.304634,0,1,0,206,0.672909,-0.245491,0.381442,0.122023,0.150980,0.198225,0.198823,0.040561
97,14.477827,0,1,0,221,0.669593,-0.238372,0.381289,0.125528,0.141680,0.203055,0.205800,0.045678
98,14.649735,0,1,0,225,0.670898,-0.239154,0.375361,0.122597,0.133016,0.186602,0.206836,0.036096
99,14.801233,0,1,0,195,0.667379,-0.224369,0.394307,0.119475,0.142397,0.184237,0.191862,0.158840
100,14.968286,0,1,0,214,0.663951,-0.228263,0.375395,0.129531,0.153598,0.198906,0.209489,0.115026
