frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.088961,1786591352.428688,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,89.9029,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.186564,1786591352.518624,2519,50000,1,0,0,0.344544,left_link,0,0.653326,-0.586526,0.360850,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869858,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.109527,1,0.023793,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.352705,,0,1.000000,SAFE,1,current,50000,172.0039,0.00000000,0.00001100,1.57080364,0.00000000,1.57079637,-0.00000367,0.00000000,0.00011274,0.00003664,0.00000000,0.00000000,-0.00003758
2,0.346539,1786591352.690645,2586,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.4420,0.00000000,-0.00201375,1.56889629,-0.00144887,1.57079637,0.00000000,0.00000000,-0.01265670,-0.01192282,-0.00905688,0.00000000,0.00002293
3,0.468047,1786591352.819102,2564,50000,1,0,0,0.342140,left_link,0,0.654270,-0.586620,0.355967,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.034774,-0.025952,0.004288,-0.022744,0.113027,2,0.032608,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.351666,,0,1.000000,SAFE,1,current,50000,149.9398,0.00000000,-0.00901601,1.56173265,-0.00392846,1.57079637,0.00000000,0.00000000,-0.05762769,-0.05895581,-0.02040666,0.00000000,0.00000000
4,0.628140,1786591352.969059,2654,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.2813,0.00000000,-0.02764226,1.54308069,-0.00685554,1.57079637,0.00000000,0.00000000,-0.11634690,-0.11650754,-0.01828374,0.00000000,0.00000000
5,0.750100,1786591353.100355,2597,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.1523,0.00000000,-0.04821623,1.52184653,-0.00910771,1.57079256,0.00000000,0.00000000,-0.16869429,-0.17410743,-0.01846644,-0.00003128,0.00000000
6,0.877694,1786591353.230522,2578,50000,1,1,0,0.335273,left_link,0,0.656049,-0.586131,0.354691,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.013981,-0.006802,0.005478,-0.010917,0.110000,3,0.031391,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.344235,,0,1.000000,SAFE,1,current,50000,147.9915,0.00000000,-0.07398046,1.49215746,-0.01154695,1.57079637,0.00000000,0.00000000,-0.20192314,-0.23268348,-0.01911716,0.00002990,0.00000000
7,1.029576,1786591353.378530,2588,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.6850,0.00000000,-0.10440675,1.45242536,-0.01426129,1.57079637,0.00000000,0.00000000,-0.20032918,-0.26159935,-0.01787144,0.00000000,0.00000000
8,1.160541,1786591353.510229,2559,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.4043,0.00000000,-0.13080555,1.41761577,-0.01670787,1.57079637,0.00000000,0.00000000,-0.20157028,-0.26579157,-0.01868102,0.00000000,0.00000000
9,1.290552,1786591353.640660,2598,50000,1,1,0,0.327880,left_link,0,0.656234,-0.586027,0.355955,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.011669,-0.002257,-0.010470,-0.004631,0.112380,4,0.032625,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.336212,,0,1.000000,SAFE,1,current,50000,145.8320,0.00000000,-0.15695491,1.38633859,-0.01906641,1.57079637,0.00000000,0.00000000,-0.20113302,-0.24057464,-0.01814119,0.00000000,0.00000000
