frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,raw_radius_m,association_error_m,valid_streak,dynamic_valid,block_reason
33,4.441097,10,3,0.378367,0.754868,0.143784,0.000000,0.000000,,0.084385,0.009704,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
37,4.983275,12,3,0.396195,0.757648,0.311965,0.021752,0.021752,,0.086308,0.007556,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
41,5.521174,13,3,0.404366,0.768478,0.312714,0.011561,0.011561,,0.082170,0.014057,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
42,5.663529,13,4,0.392323,0.771102,0.308404,0.000000,0.005780,0.036868,0.086058,0.005932,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
43,5.794149,13,5,0.394042,0.772413,0.327550,0.000000,0.000000,0.057395,0.085566,0.013145,0,0,"speed_ok,valid_streak_not_ready"
44,5.927414,13,6,0.395781,0.778315,0.319386,0.000000,0.000000,0.045622,0.084523,0.012556,0,0,"speed_ok,valid_streak_not_ready"
45,6.061302,13,7,0.398396,0.770522,0.308717,0.000000,0.000000,0.073676,0.095392,0.008165,0,0,"speed_ok,valid_streak_not_ready"
50,6.755914,14,3,0.385882,0.767162,0.309455,0.000000,0.000000,,0.083368,0.004310,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
51,6.882231,14,4,0.381284,0.777818,0.311979,0.000000,0.000000,0.056986,0.074876,0.005187,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
64,8.595831,19,3,0.368695,0.786863,0.308484,0.000000,0.000000,,0.093453,0.014709,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
65,8.727628,19,4,0.374824,0.786581,0.323076,0.000000,0.000000,0.077041,0.095124,0.009160,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
66,8.867644,19,5,0.375726,0.786662,0.316214,0.000000,0.000000,0.039897,0.096545,0.015234,0,0,"speed_ok,valid_streak_not_ready"
67,9.007800,19,6,0.384233,0.779690,0.312482,0.000000,0.000000,0.044408,0.087670,0.007581,0,0,"speed_ok,valid_streak_not_ready"
68,9.139712,19,7,0.377191,0.782293,0.330799,0.000000,0.000000,0.056391,0.088370,0.012006,0,0,"speed_ok,valid_streak_not_ready"
69,9.269044,19,8,0.394901,0.778641,0.319386,0.012754,0.000000,0.025325,0.091280,0.013792,0,0,"speed_ok,valid_streak_not_ready"
70,9.397023,19,9,0.383838,0.779154,0.321395,0.000000,0.000000,0.015886,0.084453,0.005257,0,0,"speed_ok,valid_streak_not_ready"
71,9.536508,19,10,0.376799,0.783758,0.321202,0.000000,0.000000,0.103681,0.080787,0.005780,0,0,"speed_ok,valid_streak_not_ready"
72,9.670438,19,11,0.394806,0.775682,0.316765,0.000000,0.000000,0.116607,0.091240,0.008461,0,0,"speed_ok,valid_streak_not_ready"
73,9.801588,19,12,0.406730,0.769372,0.321522,0.016377,0.000000,0.019209,0.088332,0.020851,0,0,"speed_ok,valid_streak_not_ready"
74,9.938530,19,13,0.386371,0.778926,0.324468,0.000000,0.000000,0.147790,0.085348,0.017238,0,0,"speed_ok,valid_streak_not_ready"
75,10.071194,19,14,0.393563,0.775819,0.308951,0.000000,0.000000,0.123968,0.086991,0.017999,0,0,"speed_ok,valid_streak_not_ready"
76,10.211293,19,15,0.369234,0.785365,0.316182,0.015510,0.000000,0.080323,0.091693,0.014193,0,0,"speed_ok,valid_streak_not_ready"
77,10.342206,19,16,0.387038,0.781355,0.321905,0.000000,0.000000,0.013902,0.084508,0.010095,0,0,"speed_ok,valid_streak_not_ready"
78,10.477725,19,17,0.371723,0.787982,0.312880,0.011246,0.011246,0.040976,0.086665,0.012538,0,0,"speed_ok,valid_streak_not_ready"
79,10.613450,19,18,0.395429,0.774346,0.318694,0.000000,0.000000,0.077549,0.084143,0.006005,0,0,"speed_ok,valid_streak_not_ready"
80,10.746457,19,19,0.381090,0.779674,0.324511,0.000000,0.000000,0.033798,0.091837,0.007807,0,0,"speed_ok,valid_streak_not_ready"
81,10.878304,19,20,0.378892,0.781498,0.329032,0.000000,0.000000,0.097493,0.076364,0.014671,0,0,"speed_ok,valid_streak_not_ready"
82,11.013524,19,21,0.401747,0.763370,0.355958,0.028498,0.000000,0.287874,0.090435,0.014248,0,0,"speed_ok,valid_streak_not_ready"
83,11.140286,19,22,0.381667,0.781465,0.311893,0.000000,0.000000,0.377223,0.082340,0.011482,0,0,"speed_ok,valid_streak_not_ready"
84,11.272952,19,23,0.366280,0.787767,0.309732,0.018675,0.018675,0.119807,0.065624,0.004174,0,0,"speed_ok,valid_streak_not_ready"
103,13.768860,23,3,0.397940,0.771613,0.332982,0.000000,0.000000,,0.098591,0.020720,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
104,13.906509,23,4,0.393161,0.777745,0.321066,0.000000,0.000000,0.100263,0.085535,0.015419,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
105,14.040622,23,5,0.392032,0.783433,0.307386,0.013967,0.000000,0.043557,0.091355,0.016601,0,0,"speed_ok,valid_streak_not_ready"
