frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,dynamic_valid,block_reason
5,0.738194,1,1,0.667700,0.404152,0.216425,0.000000,0.000000,0.000000,,0.066099,0.077352,0.132352,0.066099,0.006716,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
8,1.135125,1,2,0.672477,0.392229,0.212931,0.000000,0.033670,0.033670,0.015760,0.068911,0.083585,0.138585,0.068911,0.007265,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
9,1.257755,2,1,-0.698592,-0.247901,0.562657,0.000000,0.000000,0.000000,,0.068926,0.081640,0.136640,0.068926,0.016809,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
9,1.257755,1,3,0.666874,0.405219,0.225579,0.000000,0.017525,0.017525,0.050593,0.070410,0.099698,0.154698,0.070410,0.016113,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
11,1.520826,3,1,-0.713854,0.005018,0.608036,0.000000,0.000000,0.000000,,0.083932,0.103670,0.158670,0.083932,0.007894,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
11,1.520826,1,4,0.660730,0.393033,0.207369,0.000000,0.020149,0.020149,0.026397,0.070111,0.086769,0.141769,0.070111,0.015852,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
13,1.786911,4,1,-0.592594,0.270675,0.664591,0.000000,0.000000,0.000000,,0.064527,0.088978,0.143978,0.064527,0.016557,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
14,1.916402,4,2,-0.538462,0.350892,0.662766,0.065781,0.730899,0.730899,0.735300,0.077247,0.101172,0.156172,0.077247,0.015425,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
14,1.916402,1,5,0.665644,0.391390,0.208178,0.000000,0.012928,0.012928,0.014519,0.076404,0.089101,0.144101,0.076404,0.012263,0,0,0,"speed_ok,valid_streak_not_ready"
14,1.916402,5,1,-0.473470,0.428396,0.253267,0.000000,0.000000,0.000000,,0.075962,0.086975,0.141975,0.075962,0.012155,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
15,2.058247,6,1,-0.371675,0.492060,0.339326,0.000000,0.000000,0.000000,,0.091547,0.097329,0.152329,0.091547,0.006449,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
16,2.186670,1,6,0.689666,0.399474,0.232246,0.010348,0.025410,0.025410,0.078154,0.070874,0.091152,0.146152,0.070874,0.016182,0,0,0,"speed_ok,valid_streak_not_ready"
18,2.448419,7,1,-0.048111,0.648045,0.103140,0.000000,0.000000,0.000000,,0.089209,0.125355,0.180355,0.089209,0.013028,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
19,2.579829,8,1,0.130599,0.659661,0.340383,0.000000,0.000000,0.000000,,0.085464,0.101102,0.156102,0.085464,0.012194,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
20,2.713653,9,1,0.289231,0.670126,0.329490,0.000000,0.000000,0.000000,,0.086016,0.115870,0.170870,0.086016,0.015405,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
22,2.975263,10,1,0.501052,0.633398,0.344337,0.000000,0.000000,0.000000,,0.099191,0.136053,0.191053,0.099191,0.024014,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
22,2.975263,11,1,0.666503,0.374508,0.215567,0.000000,0.000000,0.000000,,0.062165,0.079347,0.134347,0.062165,0.017712,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
