frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
0,0.089331,0,0,130,0.630370,-0.616076,0.344085,0.139817,0.176038,0.109866,0.259887,
5,0.740057,0,1,71,-0.558214,-0.745678,0.155283,0.075439,0.153610,0.112616,0.118270,
7,0.991789,0,0,416,-0.694815,-0.568159,0.291266,0.205651,0.285449,0.305374,0.432342,
8,1.123134,0,0,963,-0.725382,-0.429495,0.297762,0.271710,0.298408,0.414188,0.650362,
9,1.254237,0,0,375,-0.680217,-0.318130,0.403822,0.221046,0.302160,0.229945,0.477757,
10,1.385222,0,0,242,-0.714585,-0.140055,0.596725,0.142555,0.246146,0.284075,0.214151,
11,1.518343,0,0,340,-0.698819,0.032196,0.618622,0.178315,0.244599,0.347605,0.308729,
11,1.518343,1,0,158,0.627830,-0.613475,0.345114,0.151265,0.252350,0.099155,0.266934,
12,1.654303,0,0,71,-0.707724,0.102161,0.020550,0.110842,0.251937,0.050401,0.165946,
12,1.654303,1,0,436,-0.660230,0.200893,0.602352,0.186449,0.314125,0.330330,0.341025,
13,1.791213,0,0,477,-0.541277,0.312770,0.614289,0.170796,0.252287,0.329924,0.312153,
13,1.791213,1,1,61,-0.621569,0.498649,0.206042,0.099956,0.185035,0.136375,0.113317,
14,1.924580,0,0,931,-0.457252,0.433576,0.513205,0.306156,0.325925,0.408591,0.625837,
15,2.056025,0,0,1483,-0.285322,0.513541,0.396895,0.404945,0.435997,0.468656,0.862659,
15,2.056025,1,0,270,0.670478,-0.564607,0.307100,0.189989,0.303180,0.321024,0.274957,
16,2.197153,0,0,258,-0.051817,0.604216,0.089152,0.145251,0.281136,0.283555,0.220505,
16,2.197153,1,0,1239,-0.130410,0.543805,0.499659,0.287888,0.377629,0.413695,0.644577,
17,2.338961,0,0,1772,0.057077,0.618200,0.404499,0.394852,0.392852,0.486454,0.855765,
18,2.481453,0,0,1838,0.204363,0.634191,0.401637,0.386058,0.453039,0.463030,0.935705,
19,2.619951,0,0,1517,0.313261,0.614270,0.420276,0.377276,0.610919,0.302539,0.813137,0.790996
20,2.751540,0,0,184,0.521218,0.660075,0.148067,0.122273,0.235041,0.192265,0.198642,
20,2.751540,1,0,782,0.428911,0.585645,0.460569,0.259984,0.514165,0.206144,0.533688,
21,2.885035,0,0,454,0.542085,0.573695,0.426608,0.241774,0.428305,0.194291,0.429296,0.884504
21,2.885035,1,1,35,0.687635,0.387458,0.229574,0.076636,0.127610,0.118554,0.071381,
22,3.008218,0,0,307,0.604997,0.561050,0.399510,0.207982,0.351932,0.199582,0.351095,0.560257
23,3.137476,0,0,274,0.635377,0.546221,0.373798,0.161796,0.280002,0.227332,0.317500,0.323345
24,3.272388,0,0,209,0.664052,0.522776,0.375535,0.160326,0.254873,0.180162,0.295904,0.281175
25,3.409034,0,0,161,0.671834,0.521186,0.379538,0.154538,0.249753,0.176268,0.269832,0.067340
25,3.409034,1,0,186,0.627974,-0.613366,0.334456,0.144132,0.254604,0.167199,0.274563,
26,3.542344,0,0,121,0.693884,0.514311,0.369699,0.119402,0.214479,0.162447,0.207706,0.181098
27,3.674750,0,0,125,0.700258,0.512256,0.362894,0.112018,0.200458,0.154499,0.202989,0.072914
28,3.807536,0,0,151,0.689115,0.514215,0.364824,0.131693,0.239725,0.178584,0.245629,0.086298
29,3.938053,0,0,178,0.694386,0.507116,0.358253,0.142592,0.259243,0.163627,0.255576,0.082216
30,4.072544,0,0,135,0.635838,-0.595731,0.369624,0.126413,0.142228,0.115788,0.256143,
30,4.072544,1,0,150,0.693088,0.510329,0.365625,0.118663,0.219470,0.163945,0.229614,0.061726
31,4.203250,0,0,151,0.687686,0.514575,0.380040,0.159348,0.272301,0.195693,0.258364,0.120205
32,4.334710,0,0,147,0.687251,0.516964,0.376784,0.153418,0.256604,0.181990,0.240226,0.031174
32,4.334710,1,0,163,0.640344,-0.592965,0.374832,0.124768,0.113808,0.119816,0.237844,
