frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,dynamic_valid,block_reason
7,0.945493,1,1,-0.582142,-0.704495,0.202592,0.000000,0.000000,0.000000,,0.116095,0.139272,0.194272,0.116095,0.009244,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
8,1.079684,2,1,-0.627677,-0.632970,0.287652,0.000000,0.000000,0.000000,,0.217274,0.293539,0.348539,0.217274,0.032163,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
9,1.216010,3,1,-0.653934,-0.493112,0.373276,0.000000,0.000000,0.000000,,0.219324,0.266521,0.321521,0.219324,0.032524,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
10,1.347381,4,1,-0.690116,-0.361919,0.371727,0.000000,0.000000,0.000000,,0.221759,0.256059,0.311059,0.221759,0.038357,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
11,1.480396,5,1,0.614793,-0.606251,0.374942,0.000000,0.000000,0.000000,,0.145577,0.153774,0.208774,0.145577,0.036942,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
11,1.480396,6,1,-0.682982,-0.196612,0.591697,0.000000,0.000000,0.000000,,0.104443,0.128116,0.183116,0.104443,0.021817,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
12,1.617391,7,1,-0.725280,-0.061786,0.600443,0.000000,0.000000,0.000000,,0.087682,0.108323,0.163323,0.087682,0.010622,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
13,1.746819,8,1,-0.675782,0.055767,0.617998,0.000000,0.000000,0.000000,,0.101869,0.124749,0.179749,0.101869,0.030448,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
14,1.880085,9,1,-0.617515,0.160506,0.548138,0.000000,0.000000,0.000000,,0.083226,0.093961,0.148961,0.083226,0.010520,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
15,2.010324,9,2,-0.586944,0.269929,0.557889,0.078752,0.875027,0.875027,0.884329,0.074708,0.093168,0.148168,0.074708,0.018250,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
15,2.010324,10,1,-0.580705,0.324591,0.677531,0.000000,0.000000,0.000000,,0.062650,0.080691,0.135691,0.062650,0.020299,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
16,2.157705,11,1,-0.486457,0.363934,0.554801,0.000000,0.000000,0.000000,,0.068257,0.078205,0.133205,0.068257,0.015270,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
19,2.548080,12,1,-0.089347,0.634185,0.316956,0.000000,0.000000,0.000000,,0.084792,0.093020,0.148020,0.084792,0.012885,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
19,2.548080,13,1,-0.162924,0.599763,0.708110,0.000000,0.000000,0.000000,,0.058683,0.072572,0.127572,0.058683,0.009650,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
20,2.680777,14,1,-0.027877,0.662897,0.481780,0.000000,0.000000,0.000000,,0.164912,0.186234,0.241234,0.164912,0.019805,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
21,2.811669,15,1,0.047695,0.681190,0.592214,0.000000,0.000000,0.000000,,0.103872,0.119550,0.174550,0.103872,0.012171,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
21,2.811669,16,1,0.204335,0.667310,0.107415,0.000000,0.000000,0.000000,,0.053046,0.063325,0.118325,0.053046,0.013311,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
23,3.075978,17,1,0.294250,0.644074,0.433510,0.000000,0.000000,0.000000,,0.298315,0.336974,0.391974,0.298315,0.027124,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
24,3.205098,18,1,0.277570,0.663633,0.610706,0.000000,0.000000,0.000000,,0.116786,0.144029,0.199029,0.116786,0.006688,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
