t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.87473661,-0.04041800,1.52270842,0.03460785,1.69326818,0.88825703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.87473558,-0.04041816,1.52270823,0.03460779,1.69326808,0.88825599,-0.00030537,-0.00004840,-0.00005553,-0.00001742,-0.00002982,-0.00030867,-0.06045528,-0.00958283,-0.01099346,-0.00344930,-0.00590349,-0.06110720
0.020000,0.87472855,-0.04041928,1.52270695,0.03460739,1.69326739,0.88824888,-0.00119685,-0.00018971,-0.00021764,-0.00006829,-0.00011687,-0.00120976,-0.11723496,-0.01858304,-0.02131852,-0.00668889,-0.01144806,-0.11849916
0.030000,0.87470981,-0.04042225,1.52270354,0.03460632,1.69326556,0.88822995,-0.00263809,-0.00041817,-0.00047972,-0.00015052,-0.00025761,-0.00266653,-0.17041903,-0.02701331,-0.03098975,-0.00972334,-0.01664152,-0.17225674
0.040000,0.87467407,-0.04042792,1.52269704,0.03460428,1.69326207,0.88819382,-0.00459352,-0.00072812,-0.00083531,-0.00026209,-0.00044856,-0.00464305,-0.22008750,-0.03488631,-0.04002168,-0.01255719,-0.02149167,-0.22246081
0.050000,0.87461635,-0.04043707,1.52268655,0.03460098,1.69325644,0.88813547,-0.00702838,-0.00111408,-0.00127807,-0.00040101,-0.00068633,-0.00710418,-0.26632037,-0.04221473,-0.04842887,-0.01519503,-0.02600634,-0.26919223
0.060000,0.87453202,-0.04045043,1.52267121,0.03459617,1.69324820,0.88805023,-0.00990874,-0.00157064,-0.00180185,-0.00056535,-0.00096759,-0.01001559,-0.30919764,-0.04901125,-0.05622586,-0.01764141,-0.03019332,-0.31253186
0.070000,0.87441680,-0.04046870,1.52265026,0.03458960,1.69323695,0.88793377,-0.01320142,-0.00209257,-0.00240060,-0.00075321,-0.00128913,-0.01334378,-0.34879931,-0.05528856,-0.06342721,-0.01990090,-0.03406045,-0.35256057
0.080000,0.87426672,-0.04049248,1.52262297,0.03458104,1.69322230,0.88778208,-0.01687407,-0.00267473,-0.00306846,-0.00096276,-0.00164776,-0.01705603,-0.38520538,-0.06105932,-0.07004745,-0.02197807,-0.03761552,-0.38935923
0.090000,0.87407815,-0.04052237,1.52258868,0.03457028,1.69320388,0.88759147,-0.02089514,-0.00331211,-0.00379966,-0.00119218,-0.00204042,-0.02112046,-0.41849585,-0.06633623,-0.07610113,-0.02387747,-0.04086636,-0.42300869
