frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
68,10.245237,1,1,0.699163,-0.478254,0.366888,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.096467,0.103965,0.158965,0.096467,0.018067,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
69,10.401496,1,2,0.676117,-0.474697,0.368053,0.013430,0.149221,0.149221,0.228538,-0.147291,0.022732,0.007444,0.102031,0.115727,0.170727,0.102031,0.017871,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
70,10.577230,1,3,0.674837,-0.461690,0.374596,0.020964,0.091833,0.091833,0.068349,-0.073431,0.049999,0.023266,0.101786,0.116638,0.171638,0.101786,0.016023,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
71,10.742186,1,4,0.678181,-0.452631,0.369657,0.024731,0.066472,0.066472,0.031985,-0.041969,0.051249,0.005537,0.104068,0.116915,0.171915,0.104068,0.022524,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
72,10.930727,1,5,0.667305,-0.438908,0.374103,0.032893,0.074467,0.074467,0.065499,-0.046392,0.057295,0.010506,0.106513,0.131220,0.186220,0.106513,0.026081,0,0,0,0,"speed_ok,valid_streak_not_ready"
73,11.099815,1,6,0.666503,-0.451116,0.374106,0.000000,0.037426,0.037426,0.078978,-0.013746,0.033717,0.008655,0.105371,0.128921,0.183921,0.105371,0.022006,0,0,0,0,"speed_ok,valid_streak_not_ready"
74,11.277526,1,7,0.673491,-0.442655,0.369679,0.000000,0.028057,0.028057,0.062001,-0.001916,0.027102,-0.007001,0.109106,0.121799,0.176799,0.109106,0.026623,0,0,0,0,"speed_ok,valid_streak_not_ready"
75,11.453942,1,8,0.674365,-0.438339,0.376234,0.000000,0.022790,0.022790,0.042045,-0.005371,0.020120,0.009259,0.110374,0.125287,0.180287,0.110374,0.023103,0,0,0,0,"speed_ok,valid_streak_not_ready"
76,11.656839,1,9,0.695002,-0.436804,0.381997,0.011453,0.040123,0.040123,0.053636,0.038484,0.002923,0.010969,0.113325,0.126063,0.181063,0.113325,0.013592,0,0,0,0,"speed_ok,valid_streak_not_ready"
77,11.825748,1,10,0.684598,-0.425619,0.376100,0.016122,0.043139,0.043139,0.145171,0.024916,0.035109,0.002745,0.114858,0.132276,0.187276,0.114858,0.016395,0,0,0,0,"speed_ok,valid_streak_not_ready"
78,11.994584,1,11,0.690770,-0.423340,0.376545,0.020953,0.037543,0.037543,0.039766,0.024196,0.027047,0.009615,0.122313,0.140464,0.195464,0.122313,0.018336,0,0,0,0,"speed_ok,valid_streak_not_ready"
79,12.175437,1,12,0.685417,-0.413208,0.374947,0.024085,0.038062,0.038062,0.056125,0.015306,0.034803,-0.001782,0.121225,0.141864,0.196864,0.121225,0.019713,0,0,0,0,"speed_ok,valid_streak_not_ready"
80,12.347512,1,13,0.684920,-0.403095,0.370383,0.029694,0.053307,0.053307,0.058969,-0.014505,0.048498,-0.016709,0.123104,0.136180,0.191180,0.123104,0.026181,0,0,0,0,"speed_ok,valid_streak_not_ready"
81,12.521383,1,14,0.681584,-0.389070,0.373752,0.036662,0.052950,0.052950,0.154214,-0.004343,0.052663,-0.003383,0.123190,0.145633,0.200633,0.123190,0.025550,0,0,0,0,"speed_ok,valid_streak_not_ready"
82,12.693152,1,15,0.685366,-0.368069,0.375192,0.047711,0.078935,0.078935,0.101127,-0.007680,0.078537,-0.001923,0.124912,0.138925,0.193925,0.124912,0.021528,0,0,0,0,"speed_ok,valid_streak_not_ready"
83,12.869327,1,16,0.682920,-0.365991,0.377849,0.049926,0.068241,0.068241,0.035012,-0.003598,0.068017,0.004181,0.125834,0.155162,0.210162,0.125834,0.016090,0,0,0,0,"speed_ok,valid_streak_not_ready"
84,13.044309,1,17,0.681128,-0.355911,0.371705,0.051747,0.067683,0.067683,0.120915,-0.005420,0.067440,0.001889,0.125628,0.154003,0.209003,0.125628,0.025174,0,0,0,0,"speed_ok,valid_streak_not_ready"
85,13.222362,1,18,0.683448,-0.340937,0.370733,0.055490,0.068753,0.068753,0.081515,0.002655,0.068567,-0.004302,0.125557,0.146089,0.201089,0.125557,0.024681,0,0,0,0,"speed_ok,valid_streak_not_ready"
86,13.393254,1,19,0.681280,-0.337120,0.371265,0.054956,0.045198,0.045198,0.023628,-0.005869,0.044458,-0.005642,0.127210,0.144440,0.199440,0.127210,0.023562,0,0,0,0,"speed_ok,valid_streak_not_ready"
87,13.571554,1,20,0.680859,-0.327711,0.343494,0.057131,0.074318,0.074318,0.075382,-0.002975,0.055265,-0.049599,0.134959,0.184513,0.239513,0.134959,0.037289,0,0,0,0,"speed_ok,valid_streak_not_ready"
88,13.766203,1,21,0.682062,-0.310489,0.369136,0.056077,0.063065,0.063065,0.127636,0.001295,0.062952,-0.003560,0.123643,0.151965,0.206965,0.123643,0.022141,0,0,0,0,"speed_ok,valid_streak_not_ready"
89,13.935362,1,22,0.676536,-0.304347,0.376045,0.056682,0.052857,0.052857,0.032975,-0.009712,0.051418,0.007465,0.122603,0.145074,0.200074,0.122603,0.022547,0,0,0,0,"speed_ok,valid_streak_not_ready"
90,14.125439,1,23,0.684200,-0.293251,0.374625,0.056442,0.060755,0.060755,0.069389,0.004023,0.060444,0.004630,0.122599,0.142965,0.197965,0.122599,0.014430,0,0,0,0,"speed_ok,valid_streak_not_ready"
91,14.302597,1,24,0.679648,-0.300602,0.373267,0.000000,0.054873,0.054873,0.049483,-0.001650,0.036927,0.040555,0.126724,0.151828,0.206828,0.126724,0.025941,0,0,0,0,"speed_ok,valid_streak_not_ready"
92,14.475102,1,25,0.673232,-0.275121,0.371026,0.019039,0.051402,0.051402,0.045830,-0.012435,0.049804,0.002661,0.124555,0.143291,0.198291,0.124555,0.023175,0,0,0,0,"speed_ok,valid_streak_not_ready"
93,14.656329,1,26,0.679106,-0.266548,0.372006,0.030640,0.052840,0.052840,0.089980,0.003564,0.052421,-0.005602,0.120635,0.140974,0.195974,0.120635,0.020363,0,0,0,0,"speed_ok,valid_streak_not_ready"
94,14.831886,1,27,0.683826,-0.255755,0.373080,0.039353,0.052651,0.052651,0.042858,-0.000525,0.052603,-0.002167,0.118718,0.139880,0.194880,0.118718,0.019888,0,0,0,0,"speed_ok,valid_streak_not_ready"
95,15.011278,1,28,0.682726,-0.257622,0.374741,0.038856,0.060360,0.060360,0.072066,0.004310,0.060170,0.002063,0.122207,0.138991,0.193991,0.122207,0.018717,0,0,0,0,"speed_ok,valid_streak_not_ready"
96,15.183854,1,29,0.675635,-0.258332,0.371126,0.000000,0.023965,0.023965,0.014922,0.003396,0.023723,0.000142,0.122737,0.141257,0.196257,0.122737,0.027238,0,0,0,0,"speed_ok,valid_streak_not_ready"
97,15.370590,1,30,0.669585,-0.244821,0.372950,0.013229,0.033582,0.033582,0.028889,-0.013468,0.030733,0.001336,0.123439,0.148849,0.203849,0.123439,0.025474,0,0,0,0,"speed_ok,valid_streak_not_ready"
98,15.543177,1,31,0.679482,-0.237267,0.374689,0.020939,0.026797,0.026797,0.065133,-0.006107,0.025994,0.002262,0.123072,0.152545,0.207545,0.123072,0.020453,0,0,0,0,"speed_ok,valid_streak_not_ready"
