frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
50,8.430975,1,1,0.630677,-0.462473,0.370080,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.102167,0.119691,0.174691,0.102167,0.020243,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
51,8.612796,1,2,0.642298,-0.464565,0.369459,0.000000,0.067461,0.067461,0.068953,0.066303,-0.011934,-0.003542,0.101635,0.116802,0.171802,0.101635,0.020104,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
52,8.782969,1,3,0.636383,-0.462902,0.376595,0.000000,0.024860,0.024860,0.050656,0.016360,-0.001229,0.018677,0.107417,0.121546,0.176546,0.107417,0.015409,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
53,8.953005,1,4,0.637090,-0.458049,0.371373,0.000000,0.015189,0.015189,0.061363,0.012334,0.008508,0.002487,0.102851,0.119198,0.174198,0.102851,0.016719,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
54,9.125221,1,5,0.636542,-0.447845,0.374475,0.000000,0.023568,0.023568,0.104437,0.008449,0.021071,0.006330,0.107559,0.121449,0.176449,0.107559,0.024215,0,0,0,0,"speed_ok,valid_streak_not_ready"
55,9.323291,1,6,0.635216,-0.431778,0.367047,0.012004,0.046987,0.046987,0.069488,-0.009896,0.045810,-0.003371,0.110379,0.125078,0.180078,0.110379,0.028766,0,0,0,0,"speed_ok,valid_streak_not_ready"
56,9.504144,1,7,0.660155,-0.440314,0.378052,0.018014,0.045671,0.045671,0.078789,0.033076,0.031428,0.002028,0.110065,0.129995,0.184995,0.110065,0.014621,0,0,0,0,"speed_ok,valid_streak_not_ready"
57,9.702361,1,8,0.648562,-0.423858,0.375405,0.022412,0.048354,0.048354,0.125392,0.015286,0.045559,0.005372,0.115817,0.138707,0.193707,0.115817,0.016362,0,0,0,0,"speed_ok,valid_streak_not_ready"
58,9.875984,1,9,0.653972,-0.419909,0.378358,0.027183,0.044065,0.044065,0.039553,0.023164,0.037129,0.005161,0.122862,0.131683,0.186683,0.122862,0.013380,0,0,0,0,"speed_ok,valid_streak_not_ready"
59,10.044585,1,10,0.652438,-0.403982,0.372684,0.034814,0.045936,0.045936,0.155834,0.023843,0.038480,0.007805,0.120321,0.141474,0.196474,0.120321,0.024550,0,0,0,0,"speed_ok,valid_streak_not_ready"
60,10.230459,1,11,0.653808,-0.404653,0.371318,0.034551,0.050501,0.050501,0.069894,-0.008701,0.048882,-0.009231,0.120542,0.144574,0.199574,0.120542,0.023154,0,0,0,0,"speed_ok,valid_streak_not_ready"
61,10.404751,1,12,0.653145,-0.384418,0.360187,0.042282,0.060585,0.060585,0.068613,0.006530,0.056193,-0.021683,0.121995,0.142090,0.197090,0.121995,0.025002,0,0,0,0,"speed_ok,valid_streak_not_ready"
62,10.559420,1,13,0.654226,-0.377240,0.373389,0.047206,0.062927,0.062927,0.051754,0.000372,0.062504,-0.007279,0.119541,0.144548,0.199548,0.119541,0.016487,0,0,0,0,"speed_ok,valid_streak_not_ready"
63,10.730336,1,14,0.639783,-0.368587,0.369873,0.048787,0.054958,0.054958,0.044742,-0.018451,0.051606,-0.004099,0.119391,0.138909,0.193909,0.119391,0.026546,0,0,0,0,"speed_ok,valid_streak_not_ready"
64,10.907769,1,15,0.671650,-0.361759,0.381187,0.050051,0.070147,0.070147,0.049333,0.026352,0.063353,0.014576,0.123623,0.163853,0.218853,0.123623,0.009868,0,0,0,0,"speed_ok,valid_streak_not_ready"
65,11.073105,1,16,0.664736,-0.330862,0.360505,0.062474,0.081678,0.081678,0.171519,0.017277,0.079828,0.000474,0.126321,0.161924,0.216924,0.126321,0.021015,1,1,1,0,valid_streak_not_ready
66,11.260331,1,17,0.646394,-0.332492,0.375501,0.059408,0.065245,0.065245,0.096266,-0.011236,0.064198,0.003030,0.124645,0.151802,0.206802,0.124645,0.019055,2,1,1,1,
67,11.433935,1,18,0.650143,-0.299800,0.373264,0.070084,0.098820,0.098820,0.092513,0.014700,0.097602,0.004812,0.120663,0.157585,0.212585,0.120663,0.016207,3,1,1,1,
68,11.605706,1,19,0.647740,-0.305661,0.372112,0.066647,0.087765,0.087765,0.097854,-0.034036,0.079859,-0.012918,0.120659,0.152902,0.207902,0.120659,0.024933,4,1,1,1,
