frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
38,6.643554,0,1,1,57,0.592784,-0.482985,0.349305,0.089146,0.119652,0.056990,0.183290,
39,6.804497,0,1,1,93,0.580277,-0.473395,0.375325,0.096104,0.147951,0.063354,0.182631,0.188720
40,6.978735,0,1,1,95,0.585816,-0.472684,0.381311,0.097085,0.143460,0.053397,0.178442,0.046877
41,7.170248,0,1,0,116,0.579093,-0.464670,0.373193,0.100976,0.180297,0.058156,0.187709,0.072635
42,7.333505,0,1,0,113,0.594776,-0.464221,0.383343,0.104180,0.147435,0.079442,0.194074,0.109469
43,7.518804,0,1,0,128,0.585646,-0.457086,0.380298,0.105917,0.152747,0.095448,0.184239,0.064943
44,7.700860,0,1,0,114,0.590570,-0.457068,0.378173,0.102342,0.139031,0.073359,0.181947,0.029034
45,7.884204,0,1,0,131,0.589060,-0.448155,0.382770,0.102515,0.144457,0.095978,0.175489,0.055737
46,8.063251,0,1,0,148,0.596300,-0.445077,0.381239,0.104977,0.145257,0.094785,0.189216,0.044309
47,8.236685,0,1,0,153,0.592171,-0.439002,0.376782,0.107562,0.148081,0.100463,0.184637,0.049942
48,8.414165,0,1,0,150,0.592594,-0.438837,0.382679,0.108946,0.139768,0.119500,0.181518,0.032996
49,8.600992,0,1,0,189,0.590274,-0.428781,0.383736,0.112366,0.153335,0.136086,0.182494,0.056662
50,8.781359,0,1,0,189,0.596046,-0.428812,0.393952,0.109355,0.147572,0.141703,0.182955,0.065120
51,8.951819,0,1,0,175,0.595655,-0.421136,0.384214,0.110045,0.153355,0.134129,0.185798,0.072930
52,9.114904,0,1,0,179,0.603851,-0.418868,0.388211,0.111783,0.138420,0.157677,0.189568,0.059270
53,9.279018,0,1,0,220,0.599707,-0.417736,0.390090,0.117724,0.162241,0.156378,0.188273,0.027087
54,9.456066,0,1,0,235,0.598178,-0.407391,0.384518,0.117953,0.177119,0.177348,0.180472,0.067969
55,9.646084,0,1,0,211,0.602447,-0.402363,0.385843,0.116723,0.152103,0.176145,0.176514,0.035308
56,9.828136,0,1,0,246,0.611031,-0.390922,0.389171,0.119625,0.149983,0.193847,0.190534,0.081396
57,10.012099,0,1,0,243,0.607919,-0.385349,0.380918,0.122612,0.181465,0.208788,0.190375,0.055853
58,10.193185,0,1,0,261,0.606901,-0.384930,0.386465,0.122353,0.159861,0.204114,0.186724,0.031930
59,10.367485,0,1,0,263,0.605921,-0.382230,0.384317,0.123159,0.158057,0.207541,0.191548,0.020281
60,10.543162,0,1,0,255,0.607306,-0.381418,0.385618,0.118412,0.153001,0.209350,0.185365,0.011662
61,10.716650,0,1,0,245,0.610119,-0.362265,0.380509,0.118790,0.148256,0.208668,0.187962,0.114520
62,10.905271,0,1,0,255,0.613536,-0.356964,0.383427,0.122753,0.183479,0.203759,0.183867,0.037689
63,11.087568,0,1,0,220,0.614598,-0.333795,0.384203,0.120901,0.147447,0.212119,0.187047,0.125089
64,11.277968,0,1,0,262,0.615863,-0.324337,0.385017,0.118298,0.167782,0.203615,0.195675,0.050972
65,11.461164,0,1,0,222,0.616935,-0.321838,0.378103,0.122958,0.150600,0.227400,0.190271,0.040336
66,11.656979,0,1,0,247,0.614761,-0.298440,0.382394,0.120915,0.163797,0.201701,0.197936,0.126393
67,11.830493,0,1,0,234,0.618351,-0.289720,0.387359,0.118262,0.134990,0.189490,0.189143,0.059255
68,12.039670,0,1,0,225,0.615849,-0.280344,0.386995,0.116664,0.160943,0.191312,0.186071,0.048022
69,12.217251,0,1,0,229,0.618842,-0.284605,0.383972,0.122283,0.154065,0.203981,0.196317,0.032304
70,12.425868,0,1,0,212,0.621359,-0.277664,0.383812,0.119154,0.159803,0.200437,0.190492,0.035927
71,12.620149,0,1,0,258,0.619353,-0.258668,0.382127,0.124794,0.165257,0.212356,0.183831,0.097210
72,12.788408,0,1,0,238,0.618446,-0.254012,0.385273,0.118346,0.155209,0.190660,0.185592,0.033906
73,12.977901,0,1,0,220,0.621113,-0.253936,0.384359,0.118983,0.150394,0.196311,0.201785,0.015155
74,13.157428,0,1,0,249,0.618224,-0.243720,0.388303,0.118917,0.153582,0.182981,0.184316,0.062912
75,13.338078,0,1,0,228,0.623445,-0.231911,0.388017,0.123955,0.160194,0.193381,0.183528,0.070639
76,13.518107,0,1,0,214,0.627235,-0.211771,0.382514,0.118689,0.139989,0.186256,0.191390,0.116687
77,13.710104,0,1,0,219,0.628293,-0.194455,0.389972,0.117477,0.155647,0.188230,0.188957,0.113123
78,13.865157,0,1,0,182,0.633481,-0.185075,0.380854,0.117888,0.133826,0.189019,0.197939,0.078241
79,14.055188,0,1,0,188,0.636547,-0.171256,0.383900,0.115594,0.149595,0.181021,0.189254,0.075710
80,14.230056,0,1,0,180,0.633382,-0.159296,0.382067,0.120640,0.155280,0.189818,0.186940,0.073147
81,14.418696,0,1,0,209,0.635725,-0.150322,0.388456,0.121097,0.140929,0.192014,0.192800,0.059699
82,14.598319,0,1,0,203,0.633228,-0.129249,0.382080,0.122288,0.149799,0.188244,0.192429,0.125015
