frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.093557,1786951053.351572,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,94.5865,0.00000000,0.00000000,1.57079256,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.197234,1786951053.446184,3566,50000,0,3566,25,1740,0.007011,0.225784,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.266928,,0,1.000000,SAFE,1,current,50000,196.4440,0.00000000,0.00000000,1.57079256,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.376534,1786951053.642644,3582,50000,0,3582,27,1776,0.007538,0.225291,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590696,0.994410,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.267317,,0,1.000000,SAFE,1,current,50000,174.0275,0.00062356,-0.00066391,1.57015812,-0.00031912,1.57079637,0.00043283,0.00347778,-0.00370281,-0.00353838,-0.00177980,0.00000000,0.00241399
3,0.545024,1786951053.816688,3704,50000,0,3704,47,1812,0.012689,0.223181,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.586978,0.986667,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.272369,,0,1.000000,SAFE,1,current,50000,189.0252,0.00817970,-0.00774321,1.56276703,-0.00243924,1.57079637,0.00827507,0.04484617,-0.04201607,-0.04386663,-0.01258305,0.00000000,0.04654423
4,0.735610,1786951054.005732,3648,50000,0,3648,51,1774,0.013980,0.223060,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.575628,0.964138,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.283570,,0,1.000000,SAFE,1,current,50000,162.4175,0.03070873,-0.02189446,1.54681468,-0.00458504,1.57079637,0.03082978,0.11820931,-0.07425130,-0.08370162,-0.01125895,0.00000000,0.11834403
5,0.897806,1786951054.168169,3656,50000,0,3656,42,1801,0.011488,0.223930,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.559007,0.932057,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.298270,,0,1.000000,SAFE,1,current,50000,160.4261,0.06278931,-0.03457850,1.53195560,-0.00634569,1.57079256,0.06303506,0.19778977,-0.07820226,-0.09161227,-0.01085515,-0.00002352,0.19855868
6,1.061765,1786951054.328614,3599,50000,0,3599,49,1802,0.013615,0.223568,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.536500,0.889812,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.321128,,0,1.000000,SAFE,1,current,50000,175.7943,0.10503399,-0.04688106,1.51761723,-0.00810267,1.57079637,0.10542646,0.25765331,-0.07503423,-0.08745077,-0.01071598,0.00002327,0.25854815
7,1.236566,1786951054.504436,3480,50000,0,3480,37,1737,0.010632,0.224827,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.504252,0.831039,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.335877,,0,1.000000,SAFE,1,current,50000,178.6300,0.16380680,-0.06035740,1.50191808,-0.01006140,1.57079256,0.16439369,0.33622740,-0.07709539,-0.08981166,-0.01120548,-0.00002182,0.33733966
8,1.419843,1786951054.683084,3426,50000,0,3426,13,1682,0.003795,0.224613,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.461785,0.755944,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.405462,,0,1.000000,SAFE,1,current,50000,166.5091,0.23890233,-0.07458202,1.48530197,-0.01206048,1.57079637,0.23967262,0.40973775,-0.07761265,-0.09066113,-0.01090740,0.00002081,0.41073835
9,1.582955,1786951054.849621,3599,50000,0,3599,7,1686,0.001945,0.225547,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.420143,0.684296,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.455622,,0,1.000000,SAFE,1,current,50000,160.6315,0.31054991,-0.08728073,1.47049785,-0.01386881,1.57079637,0.31149992,0.43925288,-0.07785252,-0.09076028,-0.01108645,0.00000000,0.44035472
