tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.110750165,left_link,medium,0.185456098
0.040000,0.108909049,left_link,medium,0.185741773
0.080000,0.107183045,left_link,medium,0.186027448
0.120000,0.105668642,left_link,medium,0.186313123
0.160000,0.104434692,left_link,medium,0.186598797
0.200000,0.103504533,left_link,medium,0.186884472
0.240000,0.102856943,left_link,medium,0.187170147
0.280000,0.102449063,left_link,medium,0.187455822
0.320000,0.102235658,left_link,medium,0.187741497
0.360000,0.102173698,left_link,medium,0.188027171
0.400000,0.102218367,left_link,medium,0.188312846
0.440000,0.102315878,left_link,medium,0.188598521
0.480000,0.102399308,left_link,medium,0.188884196
0.520000,0.102397117,left_link,medium,0.189169871
0.560000,0.102249171,left_link,medium,0.189455546
0.600000,0.101927173,left_link,medium,0.189741220
0.640000,0.101458989,left_link,medium,0.190026895
0.680000,0.100939635,left_link,medium,0.190312570
0.720000,0.100500297,left_link,medium,0.190598245
0.760000,0.100257903,left_link,medium,0.190883920
0.800000,0.100259487,left_link,medium,0.191169595
0.840000,0.100419707,left_link,medium,0.191455269
0.880000,0.100494569,left_link,medium,0.191740944
0.920000,0.100178212,left_link,medium,0.192026619
0.960000,0.099269816,left_link,medium,0.192312294
1.000000,0.097859624,left_link,medium,0.192597969
