t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.74897099,-0.00120311,1.56958222,0.00005135,1.57080734,0.74895632,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.74896828,-0.00119751,1.56958503,0.00005338,1.57081644,0.74895629,-0.00079787,0.00165390,0.00082634,0.00059886,0.00268685,-0.00000876,-0.15368132,0.31997350,0.15958200,0.11595106,0.51993723,-0.00167770
0.020000,0.74895048,-0.00116043,1.56960351,0.00006682,1.57087670,0.74895610,-0.00296008,0.00619090,0.00308194,0.00224524,0.01006225,-0.00003211,-0.27329793,0.57737558,0.28625462,0.20976900,0.93892633,-0.00292355
0.030000,0.74890562,-0.00106610,1.56965037,0.00010106,1.57103006,0.74895562,-0.00615888,0.01300794,0.00644982,0.00472574,0.02115316,-0.00006590,-0.36143108,0.77673734,0.38244093,0.28303824,1.26425289,-0.00377024
0.040000,0.74882486,-0.00089454,1.56973524,0.00016345,1.57130913,0.74895476,-0.01009236,0.02154728,0.01063722,0.00784279,0.03505939,-0.00010630,-0.42066205,0.92258990,0.45056403,0.33734323,1.50320250,-0.00425046
0.050000,0.74870225,-0.00063112,1.56986495,0.00025943,1.57173787,0.74895348,-0.01448439,0.03129648,0.01537563,0.01141468,0.05095358,-0.00014980,-0.45357209,1.01946438,0.49304697,0.37426840,1.66306076,-0.00439691
0.060000,0.74853448,-0.00026613,1.57004377,0.00039271,1.57233231,0.74895176,-0.01908467,0.04178841,0.02042077,0.01527551,0.06808125,-0.00019323,-0.46274246,1.07189190,0.51231284,0.39539819,1.75111326,-0.00424230
0.070000,0.74832061,0.00020571,1.57027365,0.00056541,1.57310132,0.74894962,-0.02366871,0.05260127,0.02555257,0.01927527,0.08576077,-0.00023375,-0.45075443,1.08440357,0.51078470,0.40231704,1.77464560,-0.00381931
0.080000,0.74806183,0.00078570,1.57055445,0.00077823,1.57404733,0.74894711,-0.02803783,0.06335853,0.03057522,0.02327976,0.10338338,-0.00026883,-0.42018926,1.06153050,0.49088564,0.39660938,1.74094336,-0.00316064
0.090000,0.74776115,0.00147159,1.57088422,0.00103062,1.57516701,0.74894427,-0.03201917,0.07372903,0.03531713,0.02717065,0.12041314,-0.00029629,-0.37362821,1.00780381,0.45503872,0.37985966,1.65729215,-0.00229900
0.100000,0.74742323,0.00225803,1.57125937,0.00132092,1.57645206,0.74894121,-0.03546568,0.08342687,0.03963092,0.03084543,0.13638701,-0.00031425,-0.31365253,0.92775462,0.40566703,0.35365230,1.53097755,-0.00126707
0.110000,0.74705403,0.00313707,1.57167499,0.00164652,1.57788992,0.74893803,-0.03825611,0.09221148,0.04339346,0.03421745,0.15091477,-0.00032117,-0.24284350,0.82591405,0.34519364,0.31957175,1.36928516,-0.00009755
0.120000,0.74666061,0.00409856,1.57212507,0.00200402,1.57946447,0.74893483,-0.04029504,0.09988762,0.04650586,0.03721590,0.16367907,-0.00031585,-0.16378238,0.70681320,0.27604161,0.27920245,1.17950058,0.00117686
0.130000,0.74625087,0.00513063,1.57260269,0.00238941,1.58115680,0.74893175,-0.04151286,0.10630532,0.04889344,0.03978582,0.17443543,-0.00029739,-0.07905042,0.57498320,0.20063404,0.23412882,0.96890939,0.00252346
0.140000,0.74583324,0.00622012,1.57310035,0.00279818,1.58294591,0.74892893,-0.04186575,0.11135995,0.05050577,0.04188808,0.18301219,-0.00026525,0.00877111,0.43495516,0.12139398,0.18593532,0.74479719,0.00390955
0.150000,0.74541650,0.00735308,1.57361013,0.00322553,1.58480944,0.74892649,-0.04133574,0.11499220,0.05131662,0.04349941,0.18931058,-0.00021918,0.09710095,0.29126020,0.04074453,0.13620637,0.51444958,0.00530245
0.160000,0.74500945,0.00851517,1.57412400,0.00366650,1.58672443,0.74892459,-0.03993065,0.11718804,0.05132403,0.04461237,0.19330468,-0.00015928,0.18335784,0.14842943,-0.03889126,0.08652641,0.28515214,0.00666945
0.170000,0.74462069,0.00969215,1.57463401,0.00411614,1.58866800,0.74892335,-0.03768410,0.11797877,0.05055025,0.04523538,0.19504141,-0.00008598,0.26496051,0.01099397,-0.11509030,0.03847988,0.06419047,0.00797785
0.180000,0.74425837,0.01087031,1.57513255,0.00456966,1.59061812,0.74892291,-0.03465555,0.11744101,0.04904176,0.04539270,0.19464056,-0.00000003,0.33932771,-0.11651507,-0.18542952,-0.00634878,-0.14114983,0.00919496
0.190000,0.74392991,0.01203695,1.57561263,0.00502258,1.59255432,0.74892339,-0.03093027,0.11569666,0.04686927,0.04512441,0.19229477,0.00009750,0.40387818,-0.22956657,-0.24748585,-0.04637514,-0.32358318,0.01028809
0.200000,0.74364172,0.01318078,1.57606804,0.00547091,1.59445841,0.74892490,-0.02661932,0.11291297,0.04412773,0.04448648,0.18826954,0.00020521,0.45603064,-0.32362941,-0.29883620,-0.08001475,-0.47582398,0.01122453
0.210000,0.74339902,0.01429244,1.57649368,0.00591131,1.59631523,0.74892752,-0.02185804,0.10929981,0.04093489,0.04354977,0.18289895,0.00032138,0.49382305,-0.39523629,-0.33762573,-0.10605212,-0.59229357,0.01197857
0.220000,0.74320559,0.01536476,1.57688565,0.00634116,1.59811310,0.74893135,-0.01678901,0.10508047,0.03741569,0.04238991,0.17653874,0.00044418,0.51777016,-0.44517516,-0.36427245,-0.12474750,-0.67424111,0.01255237
0.230000,0.74306382,0.01639272,1.57724129,0.00675860,1.59984381,0.74893642,-0.01154501,0.10046236,0.03368663,0.04107719,0.16951935,0.00057186,0.52900594,-0.47529777,-0.37976261,-0.13673006,-0.72462266,0.01295509
0.240000,0.74297487,0.01737331,1.57755904,0.00716241,1.60150229,0.74894279,-0.00624748,0.09563440,0.02985434,0.03967559,0.16214166,0.00070274,0.52866436,-0.48745587,-0.38508244,-0.14262899,-0.74639432,0.01319587
0.250000,0.74293869,0.01830528,1.57783836,0.00755201,1.60308635,0.74895048,-0.00100653,0.09076696,0.02601560,0.03824279,0.15467698,0.00083526,0.51787938,-0.48350123,-0.38121819,-0.14307348,-0.74251217,0.01328387
0.260000,0.74295422,0.01918902,1.57807962,0.00792734,1.60459635,0.74895950,0.00407908,0.08601191,0.02225730,0.03683021,0.14736707,0.00096794,0.49778496,-0.46528559,-0.36915609,-0.13869269,-0.71593229,0.01322822
0.270000,0.74301946,0.02002634,1.57828403,0.00828883,1.60603492,0.74896984,0.00892192,0.08150261,0.01865651,0.03548293,0.14042414,0.00109938,0.46951508,-0.43466072,-0.34988238,-0.13011582,-0.66961076,0.01303809
0.280000,0.74313159,0.02082028,1.57845350,0.00863734,1.60740667,0.74898148,0.01344591,0.07735389,0.01528041,0.03423978,0.13403081,0.00122828,0.43420370,-0.39347837,-0.32438330,-0.11797205,-0.60650366,0.01272261
0.290000,0.74328709,0.02157494,1.57859058,0.00897408,1.60871788,0.74899439,0.01758630,0.07366206,0.01218631,0.03313328,0.12834016,0.00135344,0.39298478,-0.34359030,-0.29364510,-0.10289056,-0.52956709,0.01229094
0.300000,0.74348186,0.02229530,1.57869833,0.00930055,1.60997623,0.74900853,0.02128969,0.07050493,0.00942168,0.03218966,0.12347571,0.00147375,0.34699229,-0.28684826,-0.25865401,-0.08550054,-0.44175712,0.01175222
0.310000,0.74371129,0.02298702,1.57878024,0.00961848,1.61119047,0.74902385,0.02451401,0.06794177,0.00702412,0.03142887,0.11953141,0.00158816,0.29736020,-0.22510401,-0.22039627,-0.06643116,-0.34602983,0.01111560
0.320000,0.74397044,0.02365626,1.57884013,0.00992978,1.61237014,0.74904027,0.02722854,0.06601335,0.00502136,0.03086454,0.11657165,0.00169576,0.24522246,-0.16020930,-0.17985812,-0.04631161,-0.24534132,0.01039024
0.330000,0.74425410,0.02430948,1.57888204,0.01023646,1.61352530,0.74905774,0.02941389,0.06474191,0.00343127,0.03050404,0.11463127,0.00179570,0.19171305,-0.09401590,-0.13802580,-0.02577107,-0.14264765,0.00958527
0.340000,0.74455692,0.02495330,1.57891016,0.01054055,1.61466619,0.74907616,0.03106201,0.06413119,0.00226187,0.03034842,0.11371553,0.00188723,0.13796593,-0.02837555,-0.09588555,-0.00543872,-0.04090492,0.00870985
0.350000,0.74487355,0.02559426,1.57892868,0.01084409,1.61580295,0.74909545,0.03217620,0.06416638,0.00151130,0.03039247,0.11380015,0.00196969,0.08511507,0.03485999,-0.05442362,0.01405625,0.05693079,0.00777313
0.360000,0.74519871,0.02623867,1.57894174,0.01114903,1.61694535,0.74911552,0.03277108,0.06481420,0.00116785,0.03062466,0.11483127,0.00204252,0.03429443,0.09383896,-0.01462623,0.03208466,0.14790341,0.00678425
0.370000,0.74552733,0.02689241,1.57895332,0.01145715,1.61810246,0.74913627,0.03287263,0.06602280,0.00120994,0.03102718,0.11672548,0.00210524,-0.01336202,0.14670960,0.02252037,0.04801733,0.22905684,0.00575236
0.380000,0.74585465,0.02756076,1.57896712,0.01177006,1.61928236,0.74915759,0.03251817,0.06772186,0.00160613,0.03157592,0.11936982,0.00215746,-0.05672032,0.19162016,0.05602994,0.06122508,0.29743500,0.00468662
0.390000,0.74617633,0.02824819,1.57898649,0.01208906,1.62049188,0.74917938,0.03175633,0.06982250,0.00231513,0.03224050,0.12262175,0.00219889,-0.09464649,0.22671888,0.08491624,0.07107872,0.35008182,0.00359616
0.400000,0.74648861,0.02895820,1.57901430,0.01241513,1.62173625,0.74920153,0.03064712,0.07221735,0.00328576,0.03298422,0.12630917,0.00222933,-0.12600659,0.25015401,0.10819303,0.07694907,0.38404120,0.00249014
0.410000,0.74678835,0.02969311,1.57905287,0.01274886,1.62301885,0.74922393,0.02926113,0.07478188,0.00445765,0.03376458,0.13023260,0.00224867,-0.14996372,0.26061570,0.12513290,0.07839448,0.39722870,0.00137821
0.420000,0.74707316,0.03045397,1.57910391,0.01309040,1.62434101,0.74924647,0.02767135,0.07738928,0.00576832,0.03453839,0.13418917,0.00225691,-0.16686934,0.25896176,0.13604376,0.07572338,0.39104639,0.00027207
0.430000,0.74734133,0.03124065,1.57916851,0.01343948,1.62570214,0.74926903,0.02594508,0.07992540,0.00716032,0.03526697,0.13799654,0.00225417,-0.17737200,0.24659190,0.14149233,0.06943173,0.36776798,-0.00081611
0.440000,0.74759181,0.03205191,1.57924721,0.01379548,1.62709991,0.74929151,0.02414310,0.08229007,0.00858185,0.03591661,0.14149513,0.00224069,-0.18212023,0.22490584,0.14204536,0.06001551,0.32966719,-0.00187411
0.450000,0.74782412,0.03288559,1.57934009,0.01415745,1.62853055,0.74931381,0.02231970,0.08439713,0.00998679,0.03645852,0.14454806,0.00221683,-0.18176259,0.19530330,0.13826956,0.04797066,0.27901771,-0.00288974
