tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.110750165,left_link,medium,0.185456098
0.040000,0.108939885,left_link,medium,0.185741773
0.080000,0.107361298,left_link,medium,0.186027448
0.120000,0.106072713,left_link,medium,0.186313123
0.160000,0.105004834,left_link,medium,0.186598797
0.200000,0.104018639,left_link,medium,0.186884472
0.240000,0.102977771,left_link,medium,0.187170147
0.280000,0.101816882,left_link,medium,0.187455822
0.320000,0.100549286,left_link,medium,0.187741497
0.360000,0.099239845,left_link,medium,0.188027171
0.400000,0.097969245,left_link,medium,0.188312846
0.440000,0.096794407,left_link,medium,0.188598521
0.480000,0.095719974,left_link,medium,0.188884196
0.520000,0.094705850,left_link,medium,0.189169871
0.560000,0.093692153,left_link,medium,0.189455546
0.600000,0.092629287,left_link,medium,0.189741220
0.640000,0.091511876,left_link,medium,0.190026895
0.680000,0.090398817,left_link,medium,0.190312570
0.720000,0.089390002,left_link,medium,0.190598245
0.760000,0.088582778,left_link,medium,0.190883920
0.800000,0.088023223,left_link,medium,0.191169595
0.840000,0.087651377,left_link,medium,0.191455269
0.880000,0.087275694,left_link,medium,0.191740944
0.920000,0.086558555,left_link,medium,0.192026619
0.960000,0.085321229,left_link,medium,0.192312294
1.000000,0.083673481,left_link,medium,0.192597969
