frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.202314,0,1,1,40,-0.033076,-0.508653,0.048007,0.061404,0.092866,0.109840,0.070083,
1,0.202314,1,1,0,46,0.150863,-0.637870,0.222092,0.110981,0.114242,0.243304,0.088089,
2,0.339530,0,1,1,44,-0.031989,-0.495896,0.049995,0.060094,0.109634,0.102480,0.050843,0.084868
3,0.477992,0,1,1,47,-0.040670,-0.499105,0.056053,0.062776,0.100674,0.116032,0.084496,0.081198
4,0.615616,0,1,1,66,-0.025386,-0.511680,0.061510,0.083384,0.157048,0.109257,0.123498,0.151909
5,0.756759,0,1,1,46,-0.035170,-0.513983,0.063389,0.063973,0.129413,0.111608,0.049448,0.072014
6,0.898625,0,1,0,91,0.036055,-0.480401,0.105910,0.173377,0.316721,0.182277,0.136878,0.657925
7,1.039915,0,1,1,49,-0.054975,-0.519449,0.077826,0.085872,0.134146,0.133411,0.075960,0.729042
8,1.166353,0,1,1,55,-0.056411,-0.527190,0.085713,0.091111,0.152241,0.159148,0.067220,0.081918
9,1.309718,0,1,1,45,-0.068886,-0.522402,0.111667,0.061745,0.093507,0.116980,0.060700,0.213751
10,1.441152,0,1,1,36,-0.108575,-0.526359,0.119225,0.059582,0.099145,0.106254,0.056862,0.301359
12,1.706502,0,1,0,68,-0.052119,-0.522374,0.107156,0.106360,0.236346,0.129426,0.062643,
13,1.841836,0,1,1,59,-0.054587,-0.522661,0.111626,0.098363,0.208274,0.115524,0.062243,0.038282
15,2.113522,0,1,1,44,-0.125381,-0.529418,0.094474,0.062272,0.122875,0.114471,0.070946,
17,2.373616,0,1,1,38,-0.155660,-0.520926,0.098466,0.063728,0.117249,0.101453,0.052120,
18,2.511394,0,1,1,45,-0.174178,-0.515257,0.095854,0.061556,0.117199,0.091838,0.066284,0.142081
20,2.785079,0,1,1,41,-0.186525,-0.517983,0.086924,0.060564,0.091345,0.105516,0.053797,
27,3.699427,0,1,1,35,-0.252717,-0.525156,0.076979,0.064831,0.101658,0.110751,0.069782,
30,4.087150,0,1,1,42,-0.332241,-0.536281,0.038891,0.083822,0.128219,0.138155,0.074358,
37,4.997487,0,1,1,38,-0.402019,-0.541217,0.005510,0.082841,0.152665,0.107243,0.102205,
39,5.263513,0,1,0,262,0.782368,-0.333239,0.409138,0.142746,0.116689,0.224295,0.252035,
40,5.399371,0,1,0,277,0.767046,-0.337505,0.408858,0.142381,0.111563,0.225768,0.252620,0.115595
41,5.540907,0,1,0,285,0.751153,-0.341195,0.407311,0.143987,0.119631,0.228728,0.254968,0.118646
42,5.675719,0,1,0,279,0.740588,-0.343004,0.404397,0.141156,0.107111,0.223790,0.254345,0.080626
43,5.811315,0,1,0,304,0.729622,-0.344123,0.402646,0.144875,0.125416,0.221390,0.256422,0.082816
44,5.953955,0,1,0,293,0.715524,-0.347321,0.409360,0.141147,0.118059,0.217601,0.249415,0.114068
45,6.094663,0,1,0,283,0.697251,-0.347956,0.408282,0.139557,0.109469,0.221589,0.248496,0.129400
46,6.227521,0,1,0,317,0.687380,-0.357058,0.403696,0.141812,0.116074,0.242489,0.257967,0.106622
47,6.375143,0,1,0,286,0.682144,-0.351263,0.401515,0.140871,0.110709,0.224035,0.248273,0.056976
48,6.501966,0,1,0,286,0.667524,-0.355278,0.407455,0.136899,0.087511,0.219066,0.259081,0.121430
49,6.627988,0,1,0,283,0.658779,-0.358666,0.392771,0.144386,0.119400,0.238595,0.259097,0.138726
50,6.768777,0,1,0,298,0.643619,-0.357910,0.398848,0.144293,0.124086,0.236208,0.256653,0.116266
51,6.904144,0,1,0,295,0.633125,-0.359740,0.385324,0.144027,0.102537,0.231530,0.264519,0.124817
52,7.045291,0,1,0,304,0.616626,-0.360727,0.395508,0.139787,0.107907,0.224000,0.258026,0.139550
53,7.188471,0,1,0,316,0.597243,-0.360004,0.394727,0.138290,0.136061,0.228907,0.244427,0.138262
54,7.328400,0,1,0,310,0.588349,-0.364554,0.383996,0.141283,0.113217,0.244671,0.250076,0.103006
55,7.468462,0,1,0,278,0.577386,-0.368419,0.386409,0.139921,0.114283,0.231918,0.257408,0.083994
56,7.609307,0,1,0,324,0.570860,-0.367537,0.384902,0.141861,0.127437,0.236857,0.256784,0.048725
57,7.747847,0,1,0,286,0.573833,-0.369066,0.385106,0.142272,0.121349,0.236962,0.256180,0.023922
58,7.875796,0,1,0,310,0.569762,-0.366777,0.387349,0.142650,0.120901,0.241688,0.258495,0.040489
59,8.005380,0,1,0,289,0.567602,-0.368459,0.387176,0.139175,0.108918,0.232429,0.255814,0.022410
