frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.098605,1786432407.577976,0,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,,,,0,1.000000,,,,,109.0128,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.202314,1786432407.687024,2765,50000,2,0,0,0.211538,upperArm_Link,0,-0.033076,-0.508653,0.048007,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.061404,1,0.009068,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,152.6530,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.339530,1786432407.839697,2712,50000,1,0,0,0.190742,upperArm_Link,0,-0.031989,-0.495896,0.049995,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.167025,0.074966,0.148140,0.018215,0.060094,2,0.013773,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,136.2238,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.477992,1786432407.975934,2632,50000,1,1,0,0.193215,upperArm_Link,0,-0.040670,-0.499105,0.056053,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.049097,-0.003166,0.041662,0.025783,0.062776,3,0.011697,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,135.1369,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.615616,1786432408.111086,2807,50000,1,1,0,0.186997,upperArm_Link,0,-0.025386,-0.511680,0.061510,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.084728,0.049915,0.014521,0.066905,0.083384,4,0.022066,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.021271,,,,0,1.000000,,,,,141.9771,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.756759,1786432408.253084,2731,50000,1,1,0,0.209597,upperArm_Link,0,-0.035170,-0.513983,0.063389,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.030133,0.007509,0.008015,0.028060,0.063973,5,0.009791,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,136.0074,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57088077,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00002618,0.00000000
6,0.898625,1786432408.389105,2697,50000,1,1,5,0.130752,upperArm_Link,0,0.036055,-0.480401,0.105910,-0.101015,upperArm_Link,0.500,1,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.194675,0.137363,0.051613,0.127928,0.173377,6,0.029376,1,0,valid_streak_not_ready,WARNING,STOP,0.072771,,,,0,1.000000,,,,,141.2060,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,-0.00002605,0.00000000
7,1.039915,1786432408.530326,2707,50000,1,0,0,0.188875,upperArm_Link,0,-0.054975,-0.519449,0.077826,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.085872,1,0.009856,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,136.0266,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,1.166353,1786432408.666367,2682,50000,1,0,0,0.184995,upperArm_Link,0,-0.056411,-0.527190,0.085713,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.213423,0.080947,-0.157450,0.119190,0.091111,2,0.012418,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,136.5546,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,1.309718,1786432408.802935,2732,50000,1,1,0,0.214815,upperArm_Link,0,-0.068886,-0.522402,0.111667,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.125325,-0.014542,-0.037340,0.118746,0.061745,3,0.009012,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.028476,,,,0,1.000000,,,,,134.6936,0.53114879,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,-0.00002578,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10,1.441152,1786432408.937642,2691,50000,1,1,0,0.263491,upperArm_Link,0,-0.108575,-0.526359,0.119225,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.197650,-0.150455,-0.071636,0.106288,0.059582,4,0.016482,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.060887,,,,0,1.000000,,,,,135.6523,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00002812,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
11,1.576370,1786432409.073308,2647,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,,,,0,1.000000,,,,,133.2720,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,1.706502,1786432409.206594,2661,50000,1,1,0,0.200383,upperArm_Link,0,-0.052119,-0.522374,0.107156,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.056918,0.028109,0.000912,0.049485,0.106360,5,0.018866,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.036558,,,,0,1.000000,,,,,133.5763,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,1.841836,1786432409.340184,2646,50000,1,1,0,0.190541,upperArm_Link,0,-0.054587,-0.522661,0.111626,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.051738,0.006669,0.031803,0.040261,0.098363,6,0.019067,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.033478,,,,0,1.000000,,,,,138.5939,0.53114879,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,-0.00002731,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
14,1.978516,1786432409.478791,2645,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,,,,0,1.000000,,,,,131.1671,0.53115249,-0.17120154,1.38055408,-0.01891602,1.57087708,0.53114879,0.00002704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
