frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.202314,1,1,-0.029739,-0.517064,0.047407,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.061404,0.073017,0.128017,0.061404,0.009068,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
1,0.202314,2,1,0.140421,-0.636255,0.199325,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.110981,0.127212,0.182212,0.110981,0.025099,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.339530,1,2,-0.018294,-0.494447,0.050188,0.015032,0.167025,0.167025,0.084868,0.074966,0.148140,0.018215,0.060094,0.075235,0.130235,0.060094,0.013773,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.477992,1,3,-0.030654,-0.505027,0.054856,0.000000,0.049097,0.049097,0.081198,-0.003166,0.041662,0.025783,0.062776,0.072227,0.127227,0.062776,0.011697,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.615616,1,4,-0.008572,-0.510906,0.075779,0.021271,0.084728,0.084728,0.151909,0.049915,0.014521,0.066905,0.083384,0.098588,0.153588,0.083384,0.022066,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.756759,1,5,-0.025489,-0.512526,0.063291,0.000000,0.030133,0.030133,0.072014,0.007509,0.008015,0.028060,0.063973,0.080232,0.135232,0.063973,0.009791,0,0,0,0,"speed_ok,valid_streak_not_ready"
6,0.898625,1,6,0.057174,-0.466090,0.120473,0.072771,0.194675,0.194675,0.657925,0.137363,0.051613,0.127928,0.173377,0.199676,0.254676,0.173377,0.029376,1,1,1,0,valid_streak_not_ready
7,1.039915,3,1,-0.057243,-0.510285,0.074994,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.085872,0.101665,0.156665,0.085872,0.009856,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
8,1.166353,3,2,-0.046231,-0.531705,0.091208,0.019208,0.213423,0.213423,0.081918,0.080947,-0.157450,0.119190,0.091111,0.105199,0.160199,0.091111,0.012418,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
9,1.309718,3,3,-0.061208,-0.520465,0.107365,0.028476,0.125325,0.125325,0.213751,-0.014542,-0.037340,0.118746,0.061745,0.091211,0.146211,0.061745,0.009012,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
10,1.441152,3,4,-0.118526,-0.539464,0.118286,0.060887,0.197650,0.197650,0.301359,-0.150455,-0.071636,0.106288,0.059582,0.085034,0.140034,0.059582,0.016482,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
12,1.706502,3,5,-0.038234,-0.509669,0.108459,0.036558,0.056918,0.056918,0.215162,0.028109,0.000912,0.049485,0.106360,0.140757,0.195757,0.106360,0.018866,0,0,0,0,"speed_ok,valid_streak_not_ready"
13,1.841836,3,6,-0.041738,-0.510276,0.118337,0.033478,0.051738,0.051738,0.038282,0.006669,0.031803,0.040261,0.098363,0.120230,0.175230,0.098363,0.019067,0,0,0,0,"speed_ok,valid_streak_not_ready"
15,2.113522,3,7,-0.119239,-0.529957,0.078106,0.023804,0.081383,0.081383,0.271145,-0.071906,-0.011762,-0.036254,0.062272,0.101648,0.156648,0.062272,0.017490,1,1,1,0,valid_streak_not_ready
17,2.373616,3,8,-0.155514,-0.519963,0.102984,0.042064,0.047634,0.047634,0.120796,-0.039570,0.020862,-0.016371,0.063728,0.091444,0.146444,0.063728,0.004621,2,1,1,1,
18,2.511394,3,9,-0.196913,-0.511761,0.090554,0.091874,0.198791,0.198791,0.142081,-0.197520,-0.002605,-0.022287,0.061556,0.083413,0.138413,0.061556,0.023605,3,1,1,1,
20,2.785079,3,10,-0.190701,-0.522447,0.087926,0.084672,0.161874,0.161874,0.056815,-0.158097,-0.012918,-0.032275,0.060564,0.078393,0.133393,0.060564,0.006195,4,1,1,1,
27,3.699427,4,1,-0.267661,-0.527760,0.072851,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.064831,0.078535,0.133535,0.064831,0.015721,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
30,4.087150,4,2,-0.341455,-0.542749,0.033731,0.019778,0.219751,0.219751,0.230155,-0.191103,-0.038816,-0.101307,0.083822,0.096194,0.151194,0.083822,0.012384,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
37,4.997487,5,1,-0.403926,-0.538769,0.005724,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.082841,0.097453,0.152453,0.082841,0.003110,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
39,5.263513,6,1,0.753938,-0.339867,0.396709,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.142746,0.174765,0.229765,0.142746,0.031728,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
40,5.399371,6,2,0.737372,-0.358390,0.400391,0.016430,0.182555,0.182555,0.115595,-0.120379,-0.134608,0.026753,0.142381,0.173502,0.228502,0.142381,0.037261,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
41,5.540907,6,3,0.717292,-0.349060,0.395360,0.030236,0.137105,0.137105,0.118646,-0.132899,-0.033340,-0.004894,0.143987,0.173834,0.228834,0.143987,0.036759,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
