t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0.00000000,0.54097176,-0.17419831,1.37694108,-0.01963495,1.57079256,0.54099745
0.04146900,0.53977966,-0.17381318,1.37744725,-0.01955426,1.57079256,0.53977966
0.08336100,0.53858757,-0.17343903,1.37795341,-0.01946989,1.57079256,0.53856188
0.12488600,0.53724140,-0.17300254,1.37847805,-0.01937086,1.57079256,0.53720838
0.16639300,0.53602362,-0.17261374,1.37892544,-0.01929016,1.57079256,0.53601629
0.20781200,0.53480583,-0.17224693,1.37935460,-0.01920213,1.57079256,0.53482050
0.24918200,0.53345233,-0.17183611,1.37985337,-0.01910676,1.57079256,0.53345966
0.29087800,0.53226018,-0.17145830,1.38030827,-0.01902239,1.57079256,0.53224552
0.33241900,0.53105342,-0.17108783,1.38079238,-0.01894536,1.57079256,0.53104240
0.37389400,0.52967423,-0.17066967,1.38130605,-0.01885733,1.57079256,0.52968162
0.41585400,0.52845281,-0.17028454,1.38172054,-0.01876930,1.57079256,0.52847850
0.45809800,0.52723867,-0.16991405,1.38215709,-0.01868860,1.57079256,0.52725703
0.49947400,0.52588153,-0.16951425,1.38266695,-0.01860424,1.57079256,0.52588516
0.54081000,0.52466375,-0.16918045,1.38310337,-0.01853088,1.57079256,0.52467471
0.58207200,0.52343124,-0.16882466,1.38352883,-0.01844651,1.57079256,0.52345693
0.62365100,0.52204841,-0.16842116,1.38400936,-0.01836215,1.57079256,0.52209610
0.66526400,0.52083796,-0.16806905,1.38443482,-0.01828512,1.57079256,0.52087098
0.70662400,0.51963121,-0.16771692,1.38486397,-0.01821176,1.57079256,0.51964217
0.74793400,0.51840973,-0.16738680,1.38529313,-0.01813473,1.57079256,0.51843172
0.78898000,0.51701587,-0.16700532,1.38578844,-0.01805403,1.57079637,0.51706356
0.83046200,0.51578343,-0.16667520,1.38619542,-0.01798067,1.57079256,0.51582009
0.87205200,0.51455832,-0.16634141,1.38658428,-0.01789998,1.57079637,0.51456565
0.91339400,0.51334423,-0.16600396,1.38697684,-0.01783028,1.57079637,0.51332951
0.95528300,0.51196134,-0.16561881,1.38743532,-0.01774959,1.57079637,0.51196504
0.99695100,0.51071054,-0.16527401,1.38785708,-0.01767256,1.57079637,0.51072520
1.03853900,0.50946343,-0.16492555,1.38826787,-0.01760287,1.57079637,0.50948542
1.08044900,0.50809157,-0.16455507,1.38868976,-0.01752217,1.57079637,0.50808424
1.12267100,0.50687379,-0.16423963,1.38905644,-0.01745614,1.57079637,0.50683713
1.16454500,0.50547993,-0.16389483,1.38947105,-0.01737912,1.57079637,0.50546157
1.20618300,0.50422180,-0.16358304,1.38984883,-0.01730576,1.57079637,0.50422549
1.24795000,0.50298566,-0.16325659,1.39025235,-0.01723973,1.57079637,0.50299305
1.28918800,0.50160283,-0.16290079,1.39072549,-0.01716637,1.57079637,0.50157714
1.33065000,0.50037402,-0.16258167,1.39113629,-0.01710035,1.57079637,0.50034100
1.37224600,0.49911955,-0.16227722,1.39150667,-0.01703432,1.57079637,0.49911225
1.41365900,0.49786511,-0.16197646,1.39185894,-0.01697197,1.57079637,0.49789077
1.45489200,0.49646392,-0.16164632,1.39224780,-0.01689860,1.57079637,0.49648958
1.49607400,0.49522778,-0.16135289,1.39261091,-0.01683625,1.57079637,0.49523148
1.53687200,0.49398431,-0.16106310,1.39298868,-0.01677389,1.57079637,0.49399167
1.57804300,0.49273354,-0.16076599,1.39336276,-0.01670787,1.57079637,0.49275920
1.62011800,0.49130669,-0.16043220,1.39375901,-0.01663817,1.57079637,0.49135068
1.66157100,0.49005955,-0.16012043,1.39408171,-0.01658315,1.57079637,0.49009255
1.70304000,0.48881975,-0.15981965,1.39441180,-0.01652447,1.57079637,0.48883078
1.74424200,0.48742589,-0.15948953,1.39477491,-0.01645477,1.57079637,0.48744422
1.78580700,0.48615676,-0.15920708,1.39511251,-0.01639608,1.57079637,0.48619345
1.82719300,0.48488763,-0.15893200,1.39545000,-0.01633373,1.57079637,0.48493531
1.86890800,0.48347911,-0.15862754,1.39586806,-0.01627504,1.57079637,0.48350114
1.91036100,0.48223931,-0.15834144,1.39623487,-0.01621635,1.57079637,0.48222831
1.95192000,0.48097751,-0.15806633,1.39658701,-0.01616133,1.57079637,0.48098853
1.99343000,0.47969005,-0.15778390,1.39690971,-0.01610631,1.57079637,0.47973040
2.03509300,0.47826684,-0.15747212,1.39726925,-0.01604762,1.57079637,0.47829252
2.07691800,0.47701603,-0.15721168,1.39758837,-0.01598893,1.57079637,0.47700870
2.11840200,0.47576523,-0.15694758,1.39791858,-0.01593391,1.57079637,0.47574323
