t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.55538027,-0.16168111,1.37086094,-0.01784443,1.57399631,0.54859187,-0.02940331,0.00965014,0.01101790,0.00218633,0.00000000,-0.02889274,0.01509715,-0.00334984,0.00266020,-0.00181566,-0.00000000,0.01228642
0.010000,0.55508664,-0.16158901,1.37097150,-0.01782335,1.57399550,0.54830488,-0.02935658,0.00837225,0.01111716,0.00196549,-0.00023710,-0.02838098,-0.00492115,-0.24159115,0.01658271,-0.04061634,-0.04539368,0.08667431
0.020000,0.55479255,-0.16152057,1.37108369,-0.01780624,1.57399025,0.54802640,-0.02948586,0.00502147,0.01133791,0.00140716,-0.00086919,-0.02722401,-0.02017866,-0.41888607,0.02701141,-0.06946953,-0.07918114,0.14163394
0.030000,0.55449649,-0.16149355,1.37119855,-0.01779601,1.57397717,0.54776193,-0.02974575,0.00017854,0.01164681,0.00060613,-0.00178568,-0.02560690,-0.03111506,-0.54097875,0.03426711,-0.08931289,-0.10245656,0.17901369
0.040000,0.55419734,-0.16152022,1.37131682,-0.01779464,1.57395392,0.54751524,-0.03009523,-0.00563324,0.01201374,-0.00035219,-0.00288692,-0.02369618,-0.03817005,-0.61361335,0.03867061,-0.10108404,-0.11631413,0.20066193
0.050000,0.55389440,-0.16160789,1.37143893,-0.01780333,1.57391911,0.54728849,-0.03049768,-0.01194801,0.01241179,-0.00139177,-0.00408422,-0.02163994,-0.04178333,-0.64253400,0.04054271,-0.10572062,-0.12184804,0.20842702
0.060000,0.55358732,-0.16175949,1.37156508,-0.01782253,1.57387218,0.54708249,-0.03092089,-0.01835736,0.01281723,-0.00244594,-0.00529979,-0.01956775,-0.04239458,-0.63348487,0.04020422,-0.10416027,-0.12015248,0.20415734
0.070000,0.55327601,-0.16197417,1.37169523,-0.01785210,1.57381328,0.54689682,-0.03133703,-0.02451029,0.01320957,-0.00345744,-0.00646681,-0.01759074,-0.04044351,-0.59221011,0.03797594,-0.09734064,-0.11232164,0.18970124
0.080000,0.55296068,-0.16224786,1.37182917,-0.01789137,1.57374319,0.54673005,-0.03172268,-0.03011329,0.01357152,-0.00437835,-0.00752942,-0.01580152,-0.03636980,-0.52445385,0.03417868,-0.08619935,-0.09944971,0.16690710
0.090000,0.55264172,-0.16257381,1.37196651,-0.01793924,1.57366319,0.54657991,-0.03205882,-0.03493025,0.01388898,-0.00517015,-0.00844265,-0.01427423,-0.03061315,-0.43596026,0.02913323,-0.07167404,-0.08263088,0.13762329
0.100000,0.55231972,-0.16294324,1.37210676,-0.01799425,1.57357495,0.54644350,-0.03233080,-0.03878252,0.01415109,-0.00580368,-0.00917252,-0.01306453,-0.02361325,-0.33247349,0.02316041,-0.05470236,-0.06295934,0.10369818
0.110000,0.55199536,-0.16334584,1.37224932,-0.01805472,1.57348043,0.54631744,-0.03252840,-0.04154889,0.01435017,-0.00625917,-0.00969598,-0.01220958,-0.01580980,-0.21973768,0.01658101,-0.03622195,-0.04152928,0.06698012
0.120000,0.55166942,-0.16377038,1.37239354,-0.01811880,1.57338176,0.54619806,-0.03264578,-0.04316559,0.01448176,-0.00652621,-0.01000090,-0.01172807,-0.00764249,-0.10349699,0.00971585,-0.01717043,-0.01943490,0.02931750
0.130000,0.55134271,-0.16420529,1.37253873,-0.01818461,1.57328115,0.54608163,-0.03268150,-0.04362629,0.01454460,-0.00660380,-0.01008611,-0.01162022,0.00044898,0.01050443,0.00288572,0.00151455,0.00222963,-0.00744132
0.140000,0.55101605,-0.16463921,1.37268421,-0.01825027,1.57318074,0.54596447,-0.03263852,-0.04298211,0.01454066,-0.00650027,-0.00996138,-0.01186773,0.00802493,0.11652244,-0.00358858,0.01889535,0.02237011,-0.04144798
0.150000,0.55069018,-0.16506160,1.37282934,-0.01831407,1.57308255,0.54584321,-0.03252419,-0.04134160,0.01447509,-0.00623336,-0.00964743,-0.01243384,0.01464565,0.20881287,-0.00938623,0.03403434,0.03989234,-0.07085410
0.160000,0.55036576,-0.16546327,1.37297353,-0.01837449,1.57298832,0.54571492,-0.03235026,-0.03887076,0.01435626,-0.00583018,-0.00917591,-0.01326331,0.01987146,0.28163159,-0.01418643,0.04599388,0.05370215,-0.09381131
0.170000,0.55004332,-0.16583699,1.37311632,-0.01843034,1.57289942,0.54557731,-0.03213287,-0.03579297,0.01419575,-0.00532720,-0.00858940,-0.01428243,0.02326697,0.32929137,-0.01767140,0.05384561,0.06271619,-0.10848981
0.180000,0.54972319,-0.16617801,1.37325736,-0.01848084,1.57281674,0.54542893,-0.03189167,-0.03237712,0.01400771,-0.00476832,-0.00793916,-0.01540288,0.02465492,0.34952088,-0.01970372,0.05721833,0.06650243,-0.11417309
0.190000,0.54940550,-0.16648428,1.37339643,-0.01852566,1.57274068,0.54526920,-0.03164572,-0.02888391,0.01380604,-0.00419612,-0.00727486,-0.01653927,0.02425819,0.34534343,-0.02042563,0.05660437,0.06563837,-0.11187028
0.200000,0.54909023,-0.16675619,1.37353347,-0.01856485,1.57267115,0.54509834,-0.03141160,-0.02554002,0.01360301,-0.00364764,-0.00663968,-0.01761752,0.02233407,0.32023775,-0.02000340,0.05257038,0.06078833,-0.10273897
0.210000,0.54877718,-0.16699622,1.37366852,-0.01859880,1.57260767,0.54491725,-0.03120328,-0.02253732,0.01340924,-0.00315423,-0.00607016,-0.01857514,0.01913986,0.27768261,-0.01860331,0.04568299,0.05261664,-0.08793673
0.220000,0.54846604,-0.16720860,1.37380172,-0.01862820,1.57254943,0.54472741,-0.03103218,-0.02003293,0.01323365,-0.00274160,-0.00559620,-0.01936121,0.01493285,0.22115676,-0.01639163,0.03650884,0.04178763,-0.06862113
0.230000,0.54815639,-0.16739895,1.37393328,-0.01865397,1.57249535,0.54453073,-0.03090714,-0.01814916,0.01308355,-0.00242978,-0.00524105,-0.01993638,0.00997034,0.15413893,-0.01353464,0.02561456,0.02896564,-0.04594976
0.240000,0.54784772,-0.16757395,1.37406349,-0.01867718,1.57244415,0.54432948,-0.03083443,-0.01697353,0.01296456,-0.00223315,-0.00502132,-0.02027288,0.00450961,0.08010790,-0.01019862,0.01356678,0.01481498,-0.02108018
0.250000,0.54753951,-0.16774096,1.37419269,-0.01869904,1.57239443,0.54412613,-0.03081775,-0.01655878,0.01288062,-0.00216040,-0.00494697,-0.02035451,-0.00119203,0.00254240,-0.00654985,0.00093215,0.00000000,0.00483003
0.260000,0.54723118,-0.16790772,1.37432123,-0.01872081,1.57234472,0.54392326,-0.03085822,-0.01692287,0.01283405,-0.00221458,-0.00502132,-0.02017667,-0.00687730,-0.07507881,-0.00275460,-0.01172271,-0.01481498,0.03062328
0.270000,0.54692216,-0.16808196,1.37444950,-0.01874375,1.57229352,0.54372344,-0.03095438,-0.01804895,0.01282547,-0.00239304,-0.00524105,-0.01974630,-0.01228889,-0.14927698,0.00102086,-0.02383115,-0.02896564,0.05514201
0.280000,0.54661192,-0.16827107,1.37457786,-0.01876906,1.57223944,0.54352911,-0.03110222,-0.01988540,0.01285385,-0.00268749,-0.00559620,-0.01908194,-0.01716953,-0.21657336,0.00461024,-0.03482655,-0.04178763,0.07722864
0.290000,0.54629997,-0.16848175,1.37470669,-0.01879784,1.57218120,0.54334248,-0.03129514,-0.02234582,0.01291650,-0.00308397,-0.00607016,-0.01821369,-0.02126190,-0.27348920,0.00784727,-0.04414227,-0.05261664,0.09572559
0.300000,0.54598590,-0.16871967,1.37483629,-0.01883101,1.57211772,0.54316538,-0.03152398,-0.02530899,0.01300906,-0.00356285,-0.00663968,-0.01718325,-0.02430872,-0.31654575,0.01056568,-0.05121167,-0.06078833,0.10947529
0.310000,0.54566941,-0.16898909,1.37496695,-0.01886929,1.57204819,0.54299918,-0.03177698,-0.02861894,0.01312553,-0.00409883,-0.00727486,-0.01604387,-0.02605270,-0.34226425,0.01259917,-0.05546813,-0.06563837,0.11732016
0.320000,0.54535032,-0.16929257,1.37509886,-0.01891308,1.57197213,0.54284465,-0.03203983,-0.03208488,0.01325821,-0.00466094,-0.00793916,-0.01486039,-0.02623654,-0.34716597,0.01378149,-0.05634499,-0.06650243,0.11810263
0.330000,0.54502863,-0.16963056,1.37523214,-0.01896247,1.57188945,0.54270186,-0.03229565,-0.03548127,0.01339777,-0.00521257,-0.00858940,-0.01370921,-0.02460295,-0.32777213,0.01394635,-0.05327563,-0.06271619,0.11066511
0.340000,0.54470450,-0.17000110,1.37536680,-0.01901716,1.57180055,0.54257007,-0.03252503,-0.03854850,0.01353322,-0.00571154,-0.00917591,-0.01267809,-0.02092842,-0.28105771,0.01294659,-0.04576710,-0.05370215,0.09400343
0.350000,0.54437829,-0.17039954,1.37550275,-0.01907638,1.57170632,0.54244760,-0.03270797,-0.04101871,0.01365306,-0.00611431,-0.00964743,-0.01185734,-0.01538231,-0.20927200,0.01085734,-0.03418289,-0.03989234,0.06889674
0.360000,0.54405055,-0.17081874,1.37563978,-0.01913900,1.57160813,0.54233197,-0.03282785,-0.04266921,0.01374747,-0.00638466,-0.00996138,-0.01132187,-0.00838742,-0.11806709,0.00789711,-0.01943910,-0.02237011,0.03727467
0.370000,0.54372198,-0.17124963,1.37577759,-0.01920354,1.57150772,0.54222002,-0.03287231,-0.04333435,0.01380883,-0.00649564,-0.01008611,-0.01112707,-0.00037079,-0.01315181,0.00428682,-0.00246102,-0.00222963,0.00108606
0.380000,0.54339338,-0.17168177,1.37591582,-0.01926832,1.57140711,0.54210817,-0.03283328,-0.04290558,0.01383177,-0.00642952,-0.01000090,-0.01130887,0.00824057,0.09976504,0.00024738,0.01582608,0.01943490,-0.03772027
0.390000,0.54306561,-0.17210392,1.37605408,-0.01933151,1.57130844,0.54199253,-0.03270694,-0.04133141,0.01381309,-0.00617784,-0.00969598,-0.01188371,0.01701962,0.21497464,-0.00400031,0.03449689,0.04152928,-0.07719548
0.400000,0.54273953,-0.17250459,1.37619194,-0.01939126,1.57121392,0.54186919,-0.03249375,-0.03861747,0.01375181,-0.00574139,-0.00917252,-0.01284852,0.02553934,0.32676818,-0.00823532,0.05262612,0.06295934,-0.11539076
0.410000,0.54241601,-0.17287267,1.37632898,-0.01944576,1.57112568,0.54173434,-0.03219844,-0.03482646,0.01364916,-0.00513021,-0.00844265,-0.01418076,0.03337270,0.42943685,-0.01223675,0.06928850,0.08263088,-0.15035727
0.420000,0.54209581,-0.17319793,1.37646480,-0.01949335,1.57104568,0.54158449,-0.03183001,-0.03007818,0.01350859,-0.00436359,-0.00752942,-0.01583840,0.04009267,0.51727183,-0.01578369,0.08355873,0.09944971,-0.18014618
0.430000,0.54177961,-0.17347163,1.37659905,-0.01953260,1.57097559,0.54141669,-0.03140172,-0.02454950,0.01333574,-0.00347009,-0.00646681,-0.01775993,0.04527222,0.58456431,-0.01865523,0.09451151,0.11232164,-0.20280868
0.440000,0.54146792,-0.17368709,1.37673143,-0.01956245,1.57091669,0.54122868,-0.03093112,-0.01847440,0.01313847,-0.00248750,-0.00529979,-0.01986433,0.04848433,0.62560548,-0.02063044,0.10122157,0.12015248,-0.21639592
0.450000,0.54116105,-0.17384026,1.37686177,-0.01958221,1.57086976,0.54101912,-0.03044002,-0.01214392,0.01292685,-0.00146288,-0.00408422,-0.02205110,0.04930196,0.63468653,-0.02148844,0.10276361,0.12184804,-0.21895909
0.460000,0.54085910,-0.17393027,1.37698996,-0.01959175,1.57083495,0.54078778,-0.02995449,-0.00590623,0.01271316,-0.00045254,-0.00288692,-0.02420027,0.04729809,0.60609864,-0.02100829,0.09821233,0.11631413,-0.20854935
0.470000,0.54056184,-0.17396003,1.37711607,-0.01959153,1.57081170,0.54053571,-0.02950488,-0.00016654,0.01251188,0.00047797,-0.00178568,-0.02617235,0.04204570,0.53413299,-0.01896909,0.08664246,0.10245656,-0.18321788
0.480000,0.54026876,-0.17393680,1.37724030,-0.01958271,1.57079862,0.54026545,-0.02912583,0.00461281,0.01233971,0.00125383,-0.00086919,-0.02780839,0.03311774,0.41308079,-0.01514993,0.06712871,0.07918114,-0.14101585
