tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,172.299486334,wrist2_Link,medium,0.050001000
0.038462,172.299791227,wrist2_Link,medium,0.050116385
0.076923,172.300055259,wrist2_Link,medium,0.050231769
0.115385,172.300285017,wrist2_Link,medium,0.050347154
0.153846,172.300509270,wrist2_Link,medium,0.050462538
0.192308,172.300752701,wrist2_Link,medium,0.050577923
0.230769,172.301019186,wrist2_Link,medium,0.050693308
0.269231,172.301294998,wrist2_Link,medium,0.050808692
0.307692,172.301562163,wrist2_Link,medium,0.050924077
0.346154,172.301811292,wrist2_Link,medium,0.051039462
0.384615,172.302051586,wrist2_Link,medium,0.051154846
0.423077,172.302306279,wrist2_Link,medium,0.051270231
0.461538,172.302594202,wrist2_Link,medium,0.051385615
0.500000,172.302913914,wrist2_Link,medium,0.051501000
