t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.87477332,-0.04037032,1.52276361,0.03467387,1.69331944,0.88827902,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
0.010000,0.87477251,-0.04037059,1.52276252,0.03467414,1.69331885,0.88827824,-0.00024311,-0.00008101,-0.00032674,0.00008150,-0.00017539,-0.00023229,-0.04814231,-0.01604307,-0.06470559,0.01614012,-0.03473283,-0.04600008
0.020000,0.87476690,-0.04037246,1.52275498,0.03467602,1.69331481,0.88827289,-0.00095337,-0.00031771,-0.00128139,0.00031964,-0.00068783,-0.00091094,-0.09344058,-0.03114015,-0.12559371,0.03133077,-0.06741759,-0.08928316
0.030000,0.87475198,-0.04037743,1.52273492,0.03468103,1.69330404,0.88825863,-0.00210264,-0.00070073,-0.00282616,0.00070502,-0.00151706,-0.00200909,-0.13595494,-0.04531123,-0.18274495,0.04559192,-0.09809749,-0.12990668
0.040000,0.87472348,-0.04038693,1.52269662,0.03469058,1.69328348,0.88823139,-0.00366339,-0.00122091,-0.00492410,0.00122844,-0.00264324,-0.00350040,-0.17574550,-0.05857624,-0.23623991,0.05894357,-0.12681575,-0.16792807
0.050000,0.87467743,-0.04040228,1.52263472,0.03470603,1.69325025,0.88818739,-0.00560867,-0.00186930,-0.00753904,0.00188092,-0.00404698,-0.00535917,-0.21287238,-0.07095517,-0.28615918,0.07140570,-0.15361559,-0.20340474
0.060000,0.87461011,-0.04042471,1.52254423,0.03472860,1.69320168,0.88812307,-0.00791215,-0.00263713,-0.01063563,0.00265366,-0.00570930,-0.00756021,-0.24739572,-0.08246796,-0.33258338,0.08299832,-0.17854023,-0.23639412
0.070000,0.87451808,-0.04045539,1.52242051,0.03475947,1.69313526,0.88803513,-0.01054811,-0.00351584,-0.01417933,0.00353806,-0.00761168,-0.01007895,-0.27937563,-0.09313458,-0.37559309,0.09374141,-0.20163289,-0.26695365
0.080000,0.87439813,-0.04049537,1.52225926,0.03479971,1.69304870,0.88792051,-0.01349139,-0.00449707,-0.01813638,0.00452572,-0.00973600,-0.01289137,-0.30887222,-0.10297500,-0.41526891,0.10365496,-0.22293679,-0.29514074
0.090000,0.87424731,-0.04054565,1.52205652,0.03485030,1.69293986,0.88777640,-0.01671747,-0.00557265,-0.02247386,0.00560846,-0.01206459,-0.01597405,-0.33594563,-0.11200917,-0.45169143,0.11275896,-0.24249514,-0.32101283
