t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.87477332,-0.04037032,1.52276361,0.03467387,1.69331944,0.88827902,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000
0.010000,0.87477113,-0.04037105,1.52276066,0.03467460,1.69331786,0.88827692,-0.00065461,-0.00021781,-0.00087892,0.00021881,-0.00047172,-0.00062515,-0.12928438,-0.04301915,-0.17358842,0.04321724,-0.09316551,-0.12346663
0.020000,0.87475608,-0.04037606,1.52274046,0.03467963,1.69330702,0.88826256,-0.00255336,-0.00084966,-0.00342844,0.00085360,-0.00184007,-0.00243847,-0.24886897,-0.08282006,-0.33417880,0.08321223,-0.17935960,-0.23767445
0.030000,0.87471623,-0.04038932,1.52268695,0.03469296,1.69327830,0.88822450,-0.00560053,-0.00186378,-0.00752033,0.00187260,-0.00403629,-0.00534861,-0.35901506,-0.11948917,-0.48212062,0.12007124,-0.25876960,-0.34287277
0.040000,0.87464056,-0.04041450,1.52258533,0.03471826,1.69322375,0.88815223,-0.00970307,-0.00322929,-0.01302986,0.00324486,-0.00699347,-0.00926672,-0.45998395,-0.15311294,-0.61776337,0.15388056,-0.33158281,-0.43931088
0.050000,0.87451896,-0.04045497,1.52242203,0.03475893,1.69313611,0.88803609,-0.01477049,-0.00491617,-0.01983577,0.00494033,-0.01064658,-0.01410646,-0.55203693,-0.18377784,-0.74145653,0.18472648,-0.39798657,-0.52723811
0.060000,0.87434222,-0.04051380,1.52218469,0.03481805,1.69300871,0.88786730,-0.02071496,-0.00689527,-0.02782032,0.00692980,-0.01493247,-0.01978395,-0.63543531,-0.21157030,-0.85354961,0.21269528,-0.45816820,-0.60690374
0.070000,0.87410202,-0.04059376,1.52186208,0.03489841,1.69283555,0.88763789,-0.02745122,-0.00913829,-0.03686926,0.00918493,-0.01978983,-0.02621783,-0.71044038,-0.23657679,-0.95439207,0.23787323,-0.51231502,-0.67855710
0.080000,0.87379084,-0.04069735,1.52144412,0.03500254,1.69261121,0.88734069,-0.03489666,-0.01161781,-0.04687183,0.01167825,-0.02515927,-0.03332921,-0.77731343,-0.25888376,-1.04433342,0.26034661,-0.56061435,-0.74244748
0.090000,0.87340199,-0.04082681,1.52092182,0.03513268,1.69233085,0.88696930,-0.04297125,-0.01430726,-0.05772076,0.01438314,-0.03098325,-0.04104173,-0.83631577,-0.27857766,-1.12372314,0.28020173,-0.60325353,-0.79882419
0.100000,0.87292957,-0.04098411,1.52028723,0.03529082,1.69199022,0.88651810,-0.05159761,-0.01718094,-0.06931228,0.01727385,-0.03720610,-0.04928148,-0.88770869,-0.29574495,-1.19291072,0.29752484,-0.64041986,-0.84793655
0.110000,0.87236845,-0.04117096,1.51953344,0.03547870,1.69158558,0.88598216,-0.06070093,-0.02021402,-0.08154613,0.02032548,-0.04377403,-0.05797708,-0.93175348,-0.31047209,-1.25224565,0.31240224,-0.67230068,-0.89003384
0.120000,0.87171420,-0.04138884,1.51865449,0.03569779,1.69111376,0.88535727,-0.07020905,-0.02338253,-0.09432552,0.02351403,-0.05063512,-0.06705961,-0.96871145,-0.32284552,-1.30207741,0.32492021,-0.69908331,-0.92536539
0.130000,0.87096315,-0.04163899,1.51764542,0.03594936,1.69057207,0.88463990,-0.08005241,-0.02666337,-0.10755716,0.02681631,-0.05773933,-0.07646266,-0.99884389,-0.33295170,-1.34275550,0.33516503,-0.72095507,-0.95418049
0.140000,0.87011226,-0.04192241,1.51650214,0.03623442,1.68995832,0.88382716,-0.09016405,-0.03003430,-0.12115128,0.03021004,-0.06503848,-0.08612233,-1.02241210,-0.34087709,-1.37462939,0.34322298,-0.73810328,-0.97672845
0.150000,0.86915919,-0.04223990,1.51522147,0.03655379,1.68927080,0.88291680,-0.10047964,-0.03347393,-0.13502157,0.03367377,-0.07248627,-0.09597717,-1.03967737,-0.34670814,-1.39804859,0.34918035,-0.75071527,-0.99325859
0.160000,0.86810219,-0.04259205,1.51380107,0.03690806,1.68850825,0.88190716,-0.11093746,-0.03696177,-0.14908523,0.03718693,-0.08003829,-0.10596827,-1.05090101,-0.35053130,-1.41336257,0.35312341,-0.75897836,-1.00402019
0.170000,0.86694016,-0.04297924,1.51223939,0.03729763,1.68766983,0.88079717,-0.12147839,-0.04047816,-0.16326297,0.04072981,-0.08765197,-0.11603918,-1.05634430,-0.35243304,-1.42092083,0.35513846,-0.76307987,-1.00926258
0.180000,0.86567254,-0.04340165,1.51053568,0.03772269,1.68675514,0.87958629,-0.13204595,-0.04400431,-0.17747896,0.04428356,-0.09528664,-0.12613596,-1.05626855,-0.35249979,-1.42107285,0.35531176,-0.76320713,-1.00923506
0.190000,0.86429933,-0.04385929,1.50868992,0.03818327,1.68576416,0.87827453,-0.14258624,-0.04752232,-0.19166090,0.04783019,-0.10290349,-0.13620715,-1.05093505,-0.35081802,-1.41416812,0.35372961,-0.75954746,-1.00418693
0.200000,0.86282108,-0.04435201,1.50670281,0.03867922,1.68469725,0.87686240,-0.15304800,-0.05101513,-0.20573997,0.05135259,-0.11046559,-0.14620379,-1.04060510,-0.34747419,-1.40055614,0.35047829,-0.75228818,-0.99436750
0.210000,0.86123880,-0.04487946,1.50457569,0.03921019,1.68355515,0.87535086,-0.16338256,-0.05446656,-0.21965083,0.05483448,-0.11793788,-0.15607942,-1.02554000,-0.34255474,-1.38058638,0.34564407,-0.74161662,-0.98002607
0.220000,0.85955400,-0.04544115,1.50231056,0.03977572,1.68233891,0.87374136,-0.17354388,-0.05786126,-0.23333167,0.05826048,-0.12528717,-0.16579007,-1.00600104,-0.33614613,-1.35460833,0.33931324,-0.72772009,-0.96141196
0.230000,0.85776864,-0.04603645,1.49991001,0.04037517,1.68104992,0.87203575,-0.18348854,-0.06118480,-0.24672414,0.06161605,-0.13248215,-0.17529425,-0.98224951,-0.32833481,-1.32297149,0.33157209,-0.71078593,-0.93877447
0.240000,0.85588509,-0.04666456,1.49737722,0.04100776,1.67968988,0.87023629,-0.19317570,-0.06442357,-0.25977340,0.06488751,-0.13949339,-0.18455298,-0.95454673,-0.31920724,-1.28602535,0.32250689,-0.69100145,-0.91236290
