tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.215071801,left_link,medium,0.130650832
0.040000,0.215023765,left_link,medium,0.130650832
0.080000,0.214716753,left_link,medium,0.130650832
0.120000,0.213969436,left_link,medium,0.130650832
0.160000,0.212679782,left_link,medium,0.130650832
0.200000,0.210818125,left_link,medium,0.130650832
0.240000,0.207573773,left_link,medium,0.130650832
0.280000,0.203541348,left_link,medium,0.130650832
0.320000,0.198938925,left_link,medium,0.130650832
0.360000,0.193932011,left_link,medium,0.130650832
0.400000,0.188704716,left_link,medium,0.130650832
0.440000,0.183442972,left_link,medium,0.130650832
0.480000,0.178317962,left_link,medium,0.130650832
0.520000,0.173471036,left_link,medium,0.130650832
0.560000,0.169001827,left_link,medium,0.130650832
0.600000,0.164964973,left_link,medium,0.130650832
0.640000,0.161376512,left_link,medium,0.130650832
0.680000,0.158222402,left_link,medium,0.130650832
0.720000,0.155466707,left_link,medium,0.130650832
0.760000,0.153058902,left_link,medium,0.130650832
0.800000,0.150940052,left_link,medium,0.130650832
0.840000,0.149047874,left_link,medium,0.130650832
0.880000,0.147320861,left_link,medium,0.130650832
0.920000,0.145701748,left_link,medium,0.130650832
0.960000,0.144140578,left_link,medium,0.130650832
1.000000,0.142597518,left_link,medium,0.130650832
1.040000,0.141045439,left_link,medium,0.130650832
1.080000,0.139471798,left_link,medium,0.130650832
1.120000,0.137878172,left_link,medium,0.130650832
1.160000,0.136278023,left_link,medium,0.130650832
1.200000,0.134694164,left_link,medium,0.130650832
1.240000,0.133156078,left_link,medium,0.130650832
1.280000,0.131697125,left_link,medium,0.130650832
1.320000,0.130351709,left_link,medium,0.130650832
1.360000,0.129152555,left_link,medium,0.130650832
1.400000,0.128128237,left_link,medium,0.130650832
1.440000,0.127301143,left_link,medium,0.130650832
1.480000,0.126686043,left_link,medium,0.130650832
1.520000,0.126289371,left_link,medium,0.130650832
1.560000,0.126109306,left_link,medium,0.130650832
1.600000,0.126136754,left_link,medium,0.130650832
1.640000,0.126357169,left_link,medium,0.130650832
1.680000,0.126752523,left_link,medium,0.130650832
1.720000,0.127303072,left_link,medium,0.130650832
1.760000,0.127988849,left_link,medium,0.130650832
1.800000,0.128790865,left_link,medium,0.130650832
1.840000,0.129692016,left_link,medium,0.130650832
1.880000,0.130677712,left_link,medium,0.130650832
1.920000,0.131736228,left_link,medium,0.130650832
1.960000,0.132858813,left_link,medium,0.130650832
