tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.181389437,left_link,medium,0.129012316
0.040000,0.181381777,left_link,medium,0.129012316
0.080000,0.181331682,left_link,medium,0.129012316
0.120000,0.181205992,left_link,medium,0.129012316
0.160000,0.180980844,left_link,medium,0.129012316
0.200000,0.180640747,left_link,medium,0.129012316
0.240000,0.180177621,left_link,medium,0.129012316
0.280000,0.179589788,left_link,medium,0.129012316
0.320000,0.178880950,left_link,medium,0.129012316
0.360000,0.178059172,left_link,medium,0.129012316
0.400000,0.177135937,left_link,medium,0.129012316
0.440000,0.176125310,left_link,medium,0.129012316
0.480000,0.175043229,left_link,medium,0.129012316
0.520000,0.173906922,left_link,medium,0.129012316
0.560000,0.172734406,left_link,medium,0.129012316
0.600000,0.171543996,left_link,medium,0.129012316
0.640000,0.170353751,left_link,medium,0.129012316
0.680000,0.169180764,left_link,medium,0.129012316
0.720000,0.168040260,left_link,medium,0.129012316
0.760000,0.165173917,wrist1_Link,medium,0.129012316
0.800000,0.161690646,wrist1_Link,medium,0.129012316
0.840000,0.158575602,wrist1_Link,medium,0.129012316
0.880000,0.155847801,wrist1_Link,medium,0.129012316
0.920000,0.153512043,wrist1_Link,medium,0.129012316
0.960000,0.151560332,wrist1_Link,medium,0.129012316
1.000000,0.149973374,wrist1_Link,medium,0.129012316
1.040000,0.148722156,wrist1_Link,medium,0.129012316
1.080000,0.147769540,wrist1_Link,medium,0.129012316
1.120000,0.147071863,wrist1_Link,medium,0.129012316
1.160000,0.146580519,wrist1_Link,medium,0.129012316
1.200000,0.146243499,wrist1_Link,medium,0.129012316
1.240000,0.146006895,wrist1_Link,medium,0.129012316
1.280000,0.145816345,wrist1_Link,medium,0.129012316
1.320000,0.145618441,wrist1_Link,medium,0.129012316
1.360000,0.145362083,wrist1_Link,medium,0.129012316
1.400000,0.144999808,wrist1_Link,medium,0.129012316
1.440000,0.144335924,wrist1_Link,medium,0.129012316
1.480000,0.143183541,left_link,medium,0.129012316
1.520000,0.140214267,left_link,medium,0.129012316
1.560000,0.136941894,left_link,medium,0.129012316
1.600000,0.133365076,left_link,medium,0.129012316
1.640000,0.129487316,left_link,medium,0.129012316
1.680000,0.125316576,left_link,medium,0.129012316
1.720000,0.120864934,left_link,medium,0.129012316
1.760000,0.116148245,left_link,medium,0.129012316
1.800000,0.111185816,left_link,medium,0.129012316
1.840000,0.106000084,left_link,medium,0.129012316
1.880000,0.100616274,left_link,medium,0.129012316
1.920000,0.095062047,left_link,medium,0.129012316
1.960000,0.089367113,left_link,medium,0.129012316
2.000000,0.083562817,left_link,medium,0.129012316
2.040000,0.077681687,left_link,medium,0.129012316
2.080000,0.071756949,left_link,medium,0.129012316
2.120000,0.065821998,left_link,medium,0.129012316
2.160000,0.059909839,left_link,medium,0.129012316
2.200000,0.054052483,left_link,medium,0.129012316
2.240000,0.048280314,left_link,medium,0.129012316
2.280000,0.042621416,left_link,medium,0.129012316
2.320000,0.037100957,left_link,medium,0.129012316
2.360000,0.031740973,left_link,medium,0.129012316
2.400000,0.026560401,left_link,medium,0.129012316
2.440000,0.021575130,left_link,medium,0.129012316
2.480000,0.016798064,left_link,medium,0.129012316
2.520000,0.012239188,left_link,medium,0.129012316
2.560000,0.007905650,left_link,medium,0.129012316
2.600000,0.003801860,left_link,medium,0.129012316
2.640000,-0.000070365,left_link,medium,0.129012316
2.680000,-0.003711614,left_link,medium,0.129012316
2.720000,-0.007124632,left_link,medium,0.129012316
2.760000,-0.010313994,left_link,medium,0.129012316
2.800000,-0.013285690,left_link,medium,0.129012316
2.840000,-0.016046634,left_link,medium,0.129012316
2.880000,-0.018955595,left_link,medium,0.129012316
2.920000,-0.023112623,left_link,medium,0.129012316
2.960000,-0.027151515,left_link,medium,0.129012316
3.000000,-0.031072702,left_link,medium,0.129012316
3.040000,-0.034874175,left_link,medium,0.129012316
3.080000,-0.038550623,left_link,medium,0.129012316
3.120000,-0.042092590,left_link,medium,0.129012316
3.160000,-0.045485635,left_link,medium,0.129012316
3.200000,-0.048709507,left_link,medium,0.129012316
3.240000,-0.051737417,left_link,medium,0.129012316
3.280000,-0.054535509,left_link,medium,0.129012316
3.320000,-0.057062726,left_link,medium,0.129012316
