t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.75241524,-0.09457277,1.49274445,0.08939718,1.67934430,0.87390769,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000
0.010000,0.75241501,-0.09457306,1.49274410,0.08939708,1.67934402,0.87390772,-0.00006920,-0.00008608,-0.00010337,-0.00003200,-0.00008161,0.00001044,-0.01373279,-0.01707319,-0.02050313,-0.00635113,-0.01619026,0.00205889
0.020000,0.75241341,-0.09457504,1.49274171,0.08939634,1.67934214,0.87390796,-0.00027251,-0.00033862,-0.00040666,-0.00012605,-0.00032118,0.00004059,-0.02682270,-0.03329316,-0.03998646,-0.01240970,-0.03159383,0.00394079
0.030000,0.75240913,-0.09458035,1.49273533,0.08939436,1.67933710,0.87390859,-0.00060355,-0.00074915,-0.00089976,-0.00027924,-0.00071091,0.00008868,-0.03928044,-0.04867516,-0.05846813,-0.01818052,-0.04622441,0.00565016
0.040000,0.75240093,-0.09459053,1.49272312,0.08939057,1.67932744,0.87390979,-0.00105605,-0.00130938,-0.00157275,-0.00048871,-0.00124314,0.00015303,-0.05111674,-0.06323444,-0.07596630,-0.02366841,-0.06009570,0.00719145
0.050000,0.75238763,-0.09460701,1.49270331,0.08938441,1.67931179,0.87391170,-0.00162385,-0.00201115,-0.00241587,-0.00075168,-0.00191034,0.00023197,-0.06234233,-0.07698626,-0.09249910,-0.02887819,-0.07322138,0.00856911
0.060000,0.75236809,-0.09463119,1.49267426,0.08937536,1.67928881,0.87391447,-0.00230090,-0.00284647,-0.00341957,-0.00106537,-0.00270513,0.00032388,-0.07296792,-0.08994587,-0.10808469,-0.03381466,-0.08561516,0.00978761
0.070000,0.75234126,-0.09466436,1.49263442,0.08936294,1.67925728,0.87391822,-0.00308124,-0.00380748,-0.00457447,-0.00142708,-0.00362025,0.00042720,-0.08300423,-0.10212852,-0.12274122,-0.03848264,-0.09729073,0.01085140
0.080000,0.75230614,-0.09470774,1.49258230,0.08934667,1.67921603,0.87392305,-0.00395905,-0.00488650,-0.00587136,-0.00183414,-0.00464859,0.00054041,-0.09246199,-0.11354945,-0.13648683,-0.04288694,-0.10826179,0.01176493
0.090000,0.75226178,-0.09476246,1.49251655,0.08932611,1.67916396,0.87392905,-0.00492859,-0.00607598,-0.00730123,-0.00228395,-0.00578318,0.00066202,-0.10135193,-0.12422394,-0.14933968,-0.04703239,-0.11854203,0.01253267
0.100000,0.75220728,-0.09482960,1.49243586,0.08930086,1.67910003,0.87393631,-0.00598423,-0.00736854,-0.00885524,-0.00277394,-0.00701718,0.00079059,-0.10968475,-0.13416722,-0.16131791,-0.05092379,-0.12814516,0.01315906
0.110000,0.75214182,-0.09491015,1.49233906,0.08927051,1.67902330,0.87394488,-0.00712047,-0.00875694,-0.01052473,-0.00330160,-0.00834388,0.00092474,-0.11747119,-0.14339454,-0.17243967,-0.05456596,-0.13708486,0.01364857
0.120000,0.75206462,-0.09500503,1.49222501,0.08923471,1.67893287,0.87395482,-0.00833187,-0.01023409,-0.01230124,-0.00386445,-0.00975671,0.00106312,-0.12472197,-0.15192117,-0.18272311,-0.05796372,-0.14537484,0.01400564
0.130000,0.75197495,-0.09511511,1.49209270,0.08919311,1.67882790,0.87396616,-0.00961315,-0.01179308,-0.01417646,-0.00446007,-0.01124925,0.00120443,-0.13144781,-0.15976235,-0.19218639,-0.06112187,-0.15302879,0.01423474
0.140000,0.75187214,-0.09524115,1.49194118,0.08914541,1.67870764,0.87397891,-0.01095911,-0.01342711,-0.01614229,-0.00508610,-0.01281521,0.00134741,-0.13765943,-0.16693334,-0.20084764,-0.06404524,-0.16006040,0.01434033
0.150000,0.75175557,-0.09538388,1.49176958,0.08909130,1.67857138,0.87399311,-0.01236467,-0.01512956,-0.01819080,-0.00574021,-0.01444843,0.00149084,-0.14336756,-0.17344938,-0.20872501,-0.06673863,-0.16648338,0.01432685
0.160000,0.75162467,-0.09554394,1.49157712,0.08903051,1.67841847,0.87400873,-0.01382482,-0.01689396,-0.02031424,-0.00642012,-0.01614290,0.00163356,-0.14858291,-0.17932573,-0.21583667,-0.06920686,-0.17231142,0.01419876
0.170000,0.75147891,-0.09572194,1.49136307,0.08896281,1.67824833,0.87402577,-0.01533472,-0.01871399,-0.02250504,-0.00712361,-0.01789272,0.00177445,-0.15331621,-0.18457765,-0.22220074,-0.07145475,-0.17755821,0.01396052
0.180000,0.75131783,-0.09591839,1.49112681,0.08888797,1.67806045,0.87404421,-0.01688958,-0.02058348,-0.02475582,-0.00784850,-0.01969217,0.00191242,-0.15757818,-0.18922037,-0.22783539,-0.07348711,-0.18223746,0.01361659
0.190000,0.75114099,-0.09613375,1.49086778,0.08880578,1.67785434,0.87406401,-0.01848474,-0.02249642,-0.02705938,-0.00859265,-0.02153562,0.00204644,-0.16137954,-0.19326917,-0.23275876,-0.07530876,-0.18636285,0.01317142
