tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.181389437,left_link,medium,0.129012316
0.040000,0.181382517,left_link,medium,0.129012316
0.080000,0.181337187,left_link,medium,0.129012316
0.120000,0.181223258,left_link,medium,0.129012316
0.160000,0.181018858,left_link,medium,0.129012316
0.200000,0.180709678,left_link,medium,0.129012316
0.240000,0.180288143,left_link,medium,0.129012316
0.280000,0.179752500,left_link,medium,0.129012316
0.320000,0.179105831,left_link,medium,0.129012316
0.360000,0.178355060,left_link,medium,0.129012316
0.400000,0.177509994,left_link,medium,0.129012316
0.440000,0.176582476,left_link,medium,0.129012316
0.480000,0.175585676,left_link,medium,0.129012316
0.520000,0.174533532,left_link,medium,0.129012316
0.560000,0.173440300,left_link,medium,0.129012316
0.600000,0.172320171,left_link,medium,0.129012316
0.640000,0.171186862,left_link,medium,0.129012316
0.680000,0.170053130,left_link,medium,0.129012316
0.720000,0.168930141,left_link,medium,0.129012316
0.760000,0.167569713,wrist1_Link,medium,0.129012316
0.800000,0.164037272,wrist1_Link,medium,0.129012316
0.840000,0.160803567,wrist1_Link,medium,0.129012316
0.880000,0.157887289,wrist1_Link,medium,0.129012316
0.920000,0.155295973,wrist1_Link,medium,0.129012316
0.960000,0.153027194,wrist1_Link,medium,0.129012316
1.000000,0.151069729,wrist1_Link,medium,0.129012316
1.040000,0.149404692,wrist1_Link,medium,0.129012316
1.080000,0.148006634,wrist1_Link,medium,0.129012316
1.120000,0.146844616,wrist1_Link,medium,0.129012316
1.160000,0.145883282,wrist1_Link,medium,0.129012316
1.200000,0.145083922,wrist1_Link,medium,0.129012316
1.240000,0.144405566,wrist1_Link,medium,0.129012316
1.280000,0.143806090,wrist1_Link,medium,0.129012316
1.320000,0.143243356,wrist1_Link,medium,0.129012316
1.360000,0.142676380,wrist1_Link,medium,0.129012316
1.400000,0.142066518,wrist1_Link,medium,0.129012316
1.440000,0.141378663,wrist1_Link,medium,0.129012316
1.480000,0.140582435,wrist1_Link,medium,0.129012316
1.520000,0.138865645,left_link,medium,0.129012316
1.560000,0.135673267,left_link,medium,0.129012316
1.600000,0.132217297,left_link,medium,0.129012316
1.640000,0.128500669,left_link,medium,0.129012316
1.680000,0.124530086,left_link,medium,0.129012316
1.720000,0.120315682,left_link,medium,0.129012316
1.760000,0.115870686,left_link,medium,0.129012316
1.800000,0.111211074,left_link,medium,0.129012316
1.840000,0.106355222,left_link,medium,0.129012316
1.880000,0.101323562,left_link,medium,0.129012316
1.920000,0.096138218,left_link,medium,0.129012316
1.960000,0.090822652,left_link,medium,0.129012316
2.000000,0.085401299,left_link,medium,0.129012316
2.040000,0.079899197,left_link,medium,0.129012316
2.080000,0.074341620,left_link,medium,0.129012316
2.120000,0.068753703,left_link,medium,0.129012316
2.160000,0.063160077,left_link,medium,0.129012316
2.200000,0.057584504,left_link,medium,0.129012316
2.240000,0.052049521,left_link,medium,0.129012316
2.280000,0.046576103,left_link,medium,0.129012316
2.320000,0.041183388,left_link,medium,0.129012316
2.360000,0.035888650,left_link,medium,0.129012316
2.400000,0.030707402,left_link,medium,0.129012316
2.440000,0.025653529,left_link,medium,0.129012316
2.480000,0.020739418,left_link,medium,0.129012316
2.520000,0.015976098,left_link,medium,0.129012316
2.560000,0.011373380,left_link,medium,0.129012316
2.600000,0.006940013,left_link,medium,0.129012316
2.640000,0.002683834,left_link,medium,0.129012316
2.680000,-0.001388061,left_link,medium,0.129012316
2.720000,-0.005269146,left_link,medium,0.129012316
2.760000,-0.008953281,left_link,medium,0.129012316
2.800000,-0.012434518,left_link,medium,0.129012316
2.840000,-0.015706901,left_link,medium,0.129012316
2.880000,-0.019092580,left_link,medium,0.129012316
2.920000,-0.023621248,left_link,medium,0.129012316
2.960000,-0.028021446,left_link,medium,0.129012316
3.000000,-0.032287174,left_link,medium,0.129012316
3.040000,-0.036410497,left_link,medium,0.129012316
3.080000,-0.040380886,left_link,medium,0.129012316
3.120000,-0.044184407,left_link,medium,0.129012316
3.160000,-0.047802824,left_link,medium,0.129012316
3.200000,-0.051212691,left_link,medium,0.129012316
3.240000,-0.054384524,left_link,medium,0.129012316
3.280000,-0.057282179,left_link,medium,0.129012316
3.320000,-0.059862681,left_link,medium,0.129012316
3.360000,-0.062076755,left_link,medium,0.129012316
3.400000,-0.064477022,left_link,medium,0.129012316
3.440000,-0.068007278,left_link,medium,0.129012316
3.480000,-0.071013724,left_link,medium,0.129012316
3.520000,-0.073318180,left_link,medium,0.129012316
3.560000,-0.074728515,left_link,medium,0.129012316
3.600000,-0.075312482,left_link,medium,0.129012316
3.640000,-0.076987500,left_link,medium,0.129012316
3.680000,-0.077669885,gripper_base_link,medium,0.129012316
3.720000,-0.077735104,gripper_base_link,medium,0.129012316
3.760000,-0.076436106,gripper_base_link,medium,0.129012316
3.800000,-0.075373596,left_link,medium,0.129012316
3.840000,-0.078383805,left_link,medium,0.129012316
3.880000,-0.080147861,left_link,medium,0.129012316
3.920000,-0.080427953,left_link,medium,0.129012316
3.960000,-0.079199067,left_link,medium,0.129012316
4.000000,-0.076807195,left_link,medium,0.129012316
4.040000,-0.074844077,left_link,medium,0.129012316
4.080000,-0.073388711,left_link,medium,0.129012316
4.120000,-0.071428558,left_link,medium,0.129012316
4.160000,-0.068925006,right_link,medium,0.129012316
4.200000,-0.073752304,right_link,medium,0.129012316
4.240000,-0.078078673,right_link,medium,0.129012316
4.280000,-0.081772739,right_link,medium,0.129012316
4.320000,-0.084674259,right_link,medium,0.129012316
4.360000,-0.086616499,right_link,medium,0.129012316
4.400000,-0.087483955,right_link,medium,0.129012316
4.440000,-0.087281960,right_link,medium,0.129012316
4.480000,-0.086151054,right_link,medium,0.129012316
4.520000,-0.084301836,right_link,medium,0.129012316
4.560000,-0.081932722,right_link,medium,0.129012316
4.600000,-0.079187346,right_link,medium,0.129012316
4.640000,-0.076150564,right_link,medium,0.129012316
4.680000,-0.072860430,right_link,medium,0.129012316
4.720000,-0.069322037,right_link,medium,0.129012316
4.760000,-0.065518746,right_link,medium,0.129012316
4.800000,-0.061420477,right_link,medium,0.129012316
4.840000,-0.056989785,right_link,medium,0.129012316
4.880000,-0.052186445,right_link,medium,0.129012316
4.920000,-0.046971064,right_link,medium,0.129012316
4.960000,-0.041308069,right_link,medium,0.129012316
5.000000,-0.035168276,right_link,medium,0.129012316
5.040000,-0.028531169,right_link,medium,0.129012316
5.080000,-0.021386986,right_link,medium,0.129012316
5.120000,-0.013738664,right_link,medium,0.129012316
5.160000,-0.005603689,right_link,medium,0.129012316
5.200000,0.002984127,right_link,medium,0.129012316
5.240000,0.011972910,right_link,medium,0.129012316
5.280000,0.021291061,right_link,medium,0.129012316
5.320000,0.029906301,right_link,medium,0.129012316
5.360000,0.038250067,right_link,medium,0.129012316
5.400000,0.046688992,right_link,medium,0.129012316
5.440000,0.055092249,right_link,medium,0.129012316
5.480000,0.063324553,right_link,medium,0.129012316
5.520000,0.071250983,right_link,medium,0.129012316
5.560000,0.078741714,right_link,medium,0.129012316
5.600000,0.085676657,right_link,medium,0.129012316
5.640000,0.091949990,right_link,medium,0.129012316
5.680000,0.097474597,right_link,medium,0.129012316
5.720000,0.102186417,right_link,medium,0.129012316
5.760000,0.106048724,right_link,medium,0.129012316
5.800000,0.109056330,right_link,medium,0.129012316
5.840000,0.111239733,right_link,medium,0.129012316
5.880000,0.112669204,right_link,medium,0.129012316
5.920000,0.113458818,right_link,medium,0.129012316
5.960000,0.113770442,right_link,medium,0.129012316
6.000000,0.113817691,right_link,medium,0.129012316
